m,M,delta prima,epsilon prima,average,average_laplacian,average_gaussian,difference_laplacian_prima,difference_gaussian_prima
0.1,0.9,2.0250405006075078e-10,8.195987029498756,42.82262322623226,42.82142391122343,42.826821099650935,0.0011993150088329,0.0041978734186756
0.1,0.8,2.0250405006075078e-10,7.2953945291203475,42.82262322623226,42.82238368867958,42.82666151463299,0.0002395375526802,0.0040382884007286
0.1,0.7,2.0250405006075078e-10,6.415735221843628,42.82262322623226,42.8219363558592,42.82392849532887,0.000686870373066,0.0013052690966119
0.1,0.6,2.0250405006075078e-10,5.523137163611585,42.82262322623226,42.821921840724926,42.82098969115295,0.0007013855073338,0.0016335350793141
0.1,0.5,2.0250405006075078e-10,4.620114506958277,42.82262322623226,42.82243761396703,42.82453281590159,0.0001856122652341,0.0019095896693315
0.1,0.4,2.0250405006075078e-10,3.7085130668623143,42.82262322623226,42.82623952529193,42.82388081283,0.0036162990596722,0.0012575865977382
0.1,0.3,2.0250405006075078e-10,2.789728043577631,42.82262322623226,42.82206080053576,42.82939349962173,0.0005624256965006,0.0067702733894705
0.1,0.2,2.0250405006075078e-10,1.8648397251631903,42.82262322623226,42.81818988880995,42.83736394401301,0.0044333374223128,0.0147407177807536
0.1,0.1,2.0250405006075078e-10,0.9347016640011662,42.82262322623226,42.81961303258775,42.84627332188427,0.0030101936445134,0.0236500956520089
0.2,0.9,1.8000360005400074e-10,4.536418382828267,42.82262322623226,42.82387777430375,42.817029793748354,0.0012545480714862,0.0055934324839057
0.2,0.8,1.8000360005400074e-10,3.335993124944123,42.82262322623226,42.82228335473024,42.8187811403207,0.000339871502021,0.0038420859115575
0.2,0.7,1.8000360005400074e-10,2.915735221843628,42.82262322623226,42.82301844146193,42.82779300383834,0.0003952152296733,0.0051697776060777
0.2,0.6,1.8000360005400074e-10,2.523137163611585,42.82262322623226,42.81994846561644,42.82202090949861,0.0026747606158181,0.0006023167336479
0.2,0.5,1.8000360005400074e-10,2.1201145069582776,42.82262322623226,42.82090002642549,42.820946426387614,0.0017231998067757,0.0016767998446454
0.2,0.4,1.8000360005400074e-10,1.7085130668623152,42.82262322623226,42.82038919801349,42.83478403515005,0.0022340282187656,0.0121608089177911
0.2,0.3,1.8000360005400074e-10,1.289728043577631,42.82262322623226,42.82398893257469,42.82495731556624,0.0013657063424332,0.0023340893339778
0.2,0.2,1.8000360005400074e-10,0.8648397251631903,42.82262322623226,42.81873101447314,42.8370353908276,0.0038922117591226,0.0144121645953347
0.3,0.9,1.5750315004725062e-10,3.55575364861844,42.82262322623226,42.82224588666316,42.82797646338899,0.0003773395690984,0.0053532371567328
0.3,0.8,1.5750315004725062e-10,2.180266386740503,42.82262322623226,42.82182003507217,42.84557464053091,0.000803191160088,0.0229514142986531
0.3,0.7,1.5750315004725062e-10,1.7804540248006575,42.82262322623226,42.82212395446432,42.81595551708836,0.0004992717679428,0.0066677091438975
0.3,0.6,1.5750315004725062e-10,1.5238551221072782,42.82262322623226,42.82268727025082,42.804521091453935,6.404401855775177e-05,0.0181021347783243
0.3,0.5,1.5750315004725062e-10,1.2867811736249442,42.82262322623226,42.82432769924088,42.837034208561406,0.0017044730086155,0.0144109823291458
0.3,0.4,1.5750315004725062e-10,1.041846400195649,42.82262322623226,42.821835436273496,42.7854468955228,0.000787789958764,0.0371763307094568
0.3,0.3,1.5750315004725062e-10,0.7897280435776314,42.82262322623226,42.8325696010269,42.810906562976776,0.0099463747946444,0.0117166632554841
0.4,0.9,1.350027000405005e-10,2.970877397374573,42.82262322623226,42.82341165560728,42.817017041561726,0.0007884293750208,0.0056061846705333
0.4,0.8,1.350027000405005e-10,1.6219243544110258,42.82262322623226,42.82363759203706,42.82826260780411,0.0010143658047994,0.0056393815718536
0.4,0.7,1.350027000405005e-10,1.2474029062976228,42.82262322623226,42.823253095793184,42.81104328900022,0.0006298695609245,0.0115799372320424
0.4,0.6,1.350027000405005e-10,1.040004453643959,42.82262322623226,42.824806515358574,42.80739485643373,0.0021832891263144,0.0152283697985282
0.4,0.5,1.350027000405005e-10,0.8719887568651667,42.82262322623226,42.82113778730061,42.80844076267203,0.0014854389316454,0.0141824635602318
0.4,0.4,1.350027000405005e-10,0.7085130668623151,42.82262322623226,42.82518100791575,42.90227822496627,0.0025577816834854,0.0796549987340071
0.5,0.9,1.1250225003375044e-10,2.41573522184363,42.82262322623226,42.822191708808646,42.81048857373283,0.000431517423614,0.0121346524994265
0.5,0.8,1.1250225003375044e-10,1.24047842129593,42.82262322623226,42.82398929145813,42.82456689877701,0.0013660652258735,0.0019436725447476
0.5,0.7,1.1250225003375044e-10,0.9109181462991324,42.82262322623226,42.82566002017063,42.81425045849744,0.0030367939383708,0.0083727677348193
0.5,0.6,1.1250225003375044e-10,0.744131224208421,42.82262322623226,42.82205433023067,42.83179043229208,0.0005688960015888,0.0091672060598213
0.5,0.5,1.1250225003375044e-10,0.6201145069582775,42.82262322623226,42.82761465592568,42.8167186053087,0.004991429693419,0.0059046209235589
0.6,0.9,9.000180002700037e-11,1.8573740195087889,42.82262322623226,42.82079510821634,42.82926024013089,0.001828118015922,0.0066370138986329
0.6,0.8,9.000180002700037e-11,0.9168332207542772,42.82262322623226,42.81548752274969,42.83593086030399,0.007135703482568,0.0133076340717295
0.6,0.7,9.000180002700037e-11,0.6491258279171364,42.82262322623226,42.81990857109789,42.86624782511488,0.002714655134369,0.0436245988826229
0.6,0.6,9.000180002700037e-11,0.5231371636115855,42.82262322623226,42.82083691326889,42.87577848252438,0.0017863129633681,0.053155256292122
