m,M,delta_suppression,epsilon_suppression,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,2.0250405006075078e-10,8.195987029498752,4.165871658716587,3.9525471199021525e-05,0.0001957269938692
0.1,0.8,2.0250405006075078e-10,7.295394529120346,4.165871658716587,4.435339004988926e-05,0.0002271246049978
0.1,0.7,2.0250405006075078e-10,6.415735221843628,4.165871658716587,4.7579000028577326e-05,0.0002574747246065
0.1,0.6,2.0250405006075078e-10,5.523137163611585,4.165871658716587,5.7804570501898514e-05,0.0002892412909991
0.1,0.5,2.0250405006075078e-10,4.620114506958276,4.165871658716587,6.25365192466795e-05,0.0003523565588975
0.1,0.4,2.0250405006075078e-10,3.7085130668623134,4.165871658716587,7.894630582290111e-05,0.0004513199707622
0.1,0.3,2.0250405006075078e-10,2.789728043577632,4.165871658716587,0.0001067442844727,0.0005688885585349
0.1,0.2,2.0250405006075078e-10,1.8648397251631903,4.165871658716587,0.0001666130281955,0.0008795455993257
0.1,0.1,2.0250405006075078e-10,0.9347016640011662,4.165871658716587,0.000366287693675,0.0016051278774162
0.2,0.9,1.8000360005400076e-10,4.536418382828267,4.165871658716587,6.969961925302035e-05,0.0003416325706722
0.2,0.8,1.8000360005400076e-10,3.335993124944124,4.165871658716587,8.889205703494098e-05,0.0004797851678776
0.2,0.7,1.8000360005400076e-10,2.915735221843628,4.165871658716587,0.0001176412622513,0.0005430637575418
0.2,0.6,1.8000360005400076e-10,2.5231371636115854,4.165871658716587,0.0001237117665284,0.00060603248151
0.2,0.5,1.8000360005400076e-10,2.1201145069582776,4.165871658716587,0.0001445140132289,0.0008118521649868
0.2,0.4,1.8000360005400076e-10,1.7085130668623156,4.165871658716587,0.0001785295527278,0.0009341738013725
0.2,0.3,1.8000360005400076e-10,1.289728043577631,4.165871658716587,0.00023424290166,0.0012480397688815
0.2,0.2,1.8000360005400076e-10,0.86483972516319,4.165871658716587,0.0003598634772704,0.0018050786345352
0.3,0.9,1.5750315004725067e-10,3.555753648618441,4.165871658716587,8.154828773154623e-05,0.0004261468072662
0.3,0.8,1.5750315004725067e-10,2.1802663867405028,4.165871658716587,0.0001529974876966,0.0007971873171463
0.3,0.7,1.5750315004725067e-10,1.780454024800658,4.165871658716587,0.0001873449534991,0.0009354288870654
0.3,0.6,1.5750315004725067e-10,1.5238551221072782,4.165871658716587,0.0002032894074554,0.0010294856532144
0.3,0.5,1.5750315004725067e-10,1.2867811736249446,4.165871658716587,0.0002436460744782,0.0011839089536018
0.3,0.4,1.5750315004725067e-10,1.041846400195649,4.165871658716587,0.0002946259550394,0.0015810950727999
0.3,0.3,1.5750315004725067e-10,0.7897280435776313,4.165871658716587,0.0003756144776619,0.0019858761029357
0.4,0.9,1.3500270004050048e-10,2.970877397374573,4.165871658716587,9.76229617133485e-05,0.0005293675962118
0.4,0.8,1.3500270004050048e-10,1.621924354411025,4.165871658716587,0.0001789372603505,0.0009360342828174
0.4,0.7,1.3500270004050048e-10,1.2474029062976228,4.165871658716587,0.0002600507776064,0.0013008367387237
0.4,0.6,1.3500270004050048e-10,1.040004453643959,4.165871658716587,0.0003043977852125,0.0015888961368185
0.4,0.5,1.3500270004050048e-10,0.8719887568651661,4.165871658716587,0.0003294053830278,0.0018759284882913
0.4,0.4,1.3500270004050048e-10,0.7085130668623149,4.165871658716587,0.0004560197563328,0.0022406191447367
0.5,0.9,1.1250225003375047e-10,2.41573522184363,4.165871658716587,0.0001263649156523,0.000687139992572
0.5,0.8,1.1250225003375047e-10,1.24047842129593,4.165871658716587,0.0002509713454097,0.0012719125368316
0.5,0.7,1.1250225003375047e-10,0.910918146299132,4.165871658716587,0.000330193707508,0.0017848495686494
0.5,0.6,1.1250225003375047e-10,0.7441312242084209,4.165871658716587,0.0004261301562949,0.0020715716651218
0.5,0.5,1.1250225003375047e-10,0.6201145069582774,4.165871658716587,0.0004813795889402,0.0025476221613725
0.6,0.9,9.000180002700038e-11,1.8573740195087889,4.165871658716587,0.0001678581495324,0.0008658491737213
0.6,0.8,9.000180002700038e-11,0.916833220754278,4.165871658716587,0.0003222381341594,0.0016852967223402
0.6,0.7,9.000180002700038e-11,0.6491258279171362,4.165871658716587,0.0004794181746136,0.0026456144968442
0.6,0.6,9.000180002700038e-11,0.5231371636115855,4.165871658716587,0.0005933375643992,0.0031243883508708
0.7,0.9,6.750135002025028e-11,1.2953945291203477,4.165871658716587,0.0002363432501664,0.0012187567815729
0.7,0.8,6.750135002025028e-11,0.6073740195087886,4.165871658716587,0.0005351764562383,0.0027424406046162
0.7,0.7,6.750135002025028e-11,0.4157352218436286,4.165871658716587,0.0007481581901993,0.003818248510999
0.8,0.9,4.5000900013500165e-11,0.7293182678690189,4.165871658716587,0.000428367221479,0.0021922192523507
0.8,0.8,4.5000900013500165e-11,0.2953945291203476,4.165871658716587,0.0011337448250909,0.0056401089270674
0.9,0.9,2.250045000675008e-11,0.1585650787404291,4.165871658716587,0.0019673677274008,0.0108292339803795
0.01,0.09,2.2275445506682583e-10,8.941426744254743,4.165871658716587,3.485044572443015e-05,0.0001749930775538
0.01,0.08,2.2275445506682583e-10,7.94810689975826,4.165871658716587,4.005744246689498e-05,0.0002008300130918
0.01,0.07,2.2275445506682583e-10,6.954742726741888,4.165871658716587,4.753832746390071e-05,0.0002268018748739
0.01,0.06,2.2275445506682583e-10,5.96133480964445,4.165871658716587,5.466582242252947e-05,0.0002677651401725
0.01,0.05,2.2275445506682583e-10,4.967883721422339,4.165871658716587,6.202445962819079e-05,0.00031359137786
0.01,0.04,2.2275445506682583e-10,3.974390023848344,4.165871658716587,8.133116556506909e-05,0.0003727171818505
0.01,0.03,2.2275445506682583e-10,2.9808542678008307,4.165871658716587,9.557621456812882e-05,0.0005199755449328
0.01,0.02,2.2275445506682583e-10,1.9872769935436303,4.165871658716587,0.0001525764309176,0.0007880817496489
0.01,0.01,2.2275445506682583e-10,0.9936587309970014,4.165871658716587,0.0002957409989877,0.0016068354276765
0.02,0.09,2.2050441006615078e-10,4.44142674425474,4.165871658716587,7.145392531242889e-05,0.0003558648659317
0.02,0.08,2.2050441006615078e-10,3.948106899758264,4.165871658716587,8.086611465767998e-05,0.0003865829407174
0.02,0.07,2.2050441006615078e-10,3.45474272674189,4.165871658716587,9.112858818100488e-05,0.0004475943503549
0.02,0.06,2.2050441006615078e-10,2.96133480964445,4.165871658716587,0.0001213019746478,0.0005481141417589
0.02,0.05,2.2050441006615078e-10,2.46788372142234,4.165871658716587,0.0001310201402148,0.0006192949937598
0.02,0.04,2.2050441006615078e-10,1.9743900238483445,4.165871658716587,0.0001585739743081,0.0007671184095272
0.02,0.03,2.2050441006615078e-10,1.480854267800831,4.165871658716587,0.0001990176874378,0.0010841395748785
0.02,0.02,2.2050441006615078e-10,0.9872769935436306,4.165871658716587,0.0003032316704824,0.0016306667155014
