m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,42.822623226232274,0.0385161402725609,0.1023422718579928
0.1,0.8,42.822623226232274,0.0377925090808619,0.1025309155083774
0.1,0.7,42.822623226232274,0.0350828760921254,0.0910776724164793
0.1,0.6,42.822623226232274,0.0339655095304454,0.0908349515466128
0.1,0.5,42.822623226232274,0.031547926496318,0.0902503373313622
0.1,0.4,42.822623226232274,0.0300288017512367,0.0886364184904073
0.1,0.3,42.822623226232274,0.0266534365537923,0.0854397845099848
0.1,0.2,42.822623226232274,0.0245298660587146,0.0803206022988639
0.1,0.1,42.822623226232274,0.0236395745600212,0.0806293027371417
0.2,0.9,42.822623226232274,0.0468917345222827,0.1214284103870903
0.2,0.8,42.822623226232274,0.0448197772957845,0.1147281274734176
0.2,0.7,42.822623226232274,0.0425978220477698,0.1099567039628777
0.2,0.6,42.822623226232274,0.0401156809327486,0.1140263734072847
0.2,0.5,42.822623226232274,0.038591527968552,0.1039548229794287
0.2,0.4,42.822623226232274,0.0343024378927912,0.0928167246853999
0.2,0.3,42.822623226232274,0.0343731057505182,0.0935424719694366
0.2,0.2,42.822623226232274,0.0325366561269574,0.0902277380293998
0.3,0.9,42.822623226232274,0.0537723695342325,0.1328988003894196
0.3,0.8,42.822623226232274,0.0519837583977436,0.1295046773294832
0.3,0.7,42.822623226232274,0.0499972370237563,0.1314908693245428
0.3,0.6,42.822623226232274,0.0473416866073182,0.1180874506436989
0.3,0.5,42.822623226232274,0.0460273698165553,0.1145548784637582
0.3,0.4,42.822623226232274,0.0450947174581854,0.1082725596349674
0.3,0.3,42.822623226232274,0.0412000399464397,0.1036221095434282
0.4,0.9,42.822623226232274,0.0614273699835062,0.1493606885829474
0.4,0.8,42.822623226232274,0.0616456755292033,0.1414725009580907
0.4,0.7,42.822623226232274,0.0578524647832688,0.1404346035230142
0.4,0.6,42.822623226232274,0.0552634016427565,0.1342545552177055
0.4,0.5,42.822623226232274,0.050836868284594,0.1264673538971025
0.4,0.4,42.822623226232274,0.0512816331739758,0.1274719546217949
0.5,0.9,42.822623226232274,0.0728696241366558,0.1842798940431688
0.5,0.8,42.822623226232274,0.066684594833168,0.1712363512817511
0.5,0.7,42.822623226232274,0.066715839748621,0.1612653317487272
0.5,0.6,42.822623226232274,0.0661657528485069,0.1564499444754266
0.5,0.5,42.822623226232274,0.0629539192663242,0.1528822376242573
0.6,0.9,42.822623226232274,0.0882725918045945,0.2295923837323389
0.6,0.8,42.822623226232274,0.0826541767420648,0.2092815982467181
0.6,0.7,42.822623226232274,0.0788795349062151,0.2033109731546179
0.6,0.6,42.822623226232274,0.0733513091048729,0.187058803490004
0.7,0.9,42.822623226232274,0.1027452639415848,0.2885159385698669
0.7,0.8,42.822623226232274,0.1000068269244755,0.275206363070052
0.7,0.7,42.822623226232274,0.1002846705198313,0.2420999294902175
0.8,0.9,42.822623226232274,0.1395310049098503,0.422686195028039
0.8,0.8,42.822623226232274,0.1316216518317815,0.3610959252633636
0.9,0.9,42.822623226232274,0.2174900575717977,0.6432015353897955
0.01,0.09,42.822623226232274,0.0175151154410573,0.0715909707692091
0.01,0.08,42.822623226232274,0.0175156774587153,0.0715133316462844
0.01,0.07,42.822623226232274,0.0157611335604298,0.0692803357873012
0.01,0.06,42.822623226232274,0.0163624610624809,0.0708900471340069
0.01,0.05,42.822623226232274,0.0161772602727949,0.0731535780472349
0.01,0.04,42.822623226232274,0.0156753674038948,0.0737057606743807
0.01,0.03,42.822623226232274,0.0145665435311262,0.0686993843326997
0.01,0.02,42.822623226232274,0.015277543998837,0.0753899674732511
0.01,0.01,42.822623226232274,0.0143841831579337,0.0708786507990134
0.02,0.09,42.822623226232274,0.0170297791722643,0.0744727469211455
0.02,0.08,42.822623226232274,0.0175393945173276,0.0724049628859041
0.02,0.07,42.822623226232274,0.016659498591693,0.0723105793206536
0.02,0.06,42.822623226232274,0.0161636855394857,0.0758821006564546
