m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,2.0250405006075078e-10,8.124460256902678,-0.0053145530866224,-0.0043659666539423,-0.0056986186880151,-0.0063502677522653
0.1,0.8,2.0250405006075078e-10,7.20163387054215,-0.0046916555236138,-0.0040886607529337,-0.0050861700214795,-0.0058725734387578
0.1,0.7,2.0250405006075078e-10,6.289006199146817,-0.0046302139289788,-0.0034218805415836,-0.0049646209266591,-0.0052473032091227
0.1,0.6,2.0250405006075078e-10,5.369354225688749,-0.0039645516608658,-0.0030067614743892,-0.0043124028029534,-0.0049029957580794
0.1,0.5,2.0250405006075078e-10,4.4437238255549545,-0.0037593086298805,-0.0027172159039223,-0.0040952914157081,-0.0045419258529627
0.1,0.4,2.0250405006075078e-10,3.5129433857049017,-0.0034012073465481,-0.0023398834686543,-0.0037393781491944,-0.0040013325542118
0.1,0.3,2.0250405006075078e-10,2.57768021727734,-0.0028785834165169,-0.0020127933018344,-0.0031656057529274,-0.0035011152675594
0.1,0.2,2.0250405006075078e-10,1.6384797862360887,-0.0028036828831305,-0.0018157959456637,-0.0030315289667777,-0.002943308557377
0.1,0.1,2.0250405006075078e-10,0.6957936829567963,-0.0021179134190039,-0.0011995503674097,-0.0020819197232011,-0.0008633605154431
0.2,0.9,1.8000360005400076e-10,4.401828373024444,-0.005867212748325,-0.005017315192024,-0.0062038153772785,-0.0068365591918938
0.2,0.8,1.8000360005400076e-10,3.223680689207993,-0.0056693567050034,-0.0049970786950246,-0.0059811893623266,-0.0066647775083716
0.2,0.7,1.8000360005400076e-10,2.7890061991468182,-0.0051236616433597,-0.0042754999064304,-0.0054255302376264,-0.0059214089977879
0.2,0.6,1.8000360005400076e-10,2.3693542256887485,-0.0048327362518662,-0.0037607169754423,-0.0051072823937846,-0.0053371479534739
0.2,0.5,1.8000360005400076e-10,1.9437238255549547,-0.004818280378436,-0.0038817574202595,-0.0050635508329166,-0.0052183233420422
0.2,0.4,1.8000360005400076e-10,1.512943385704903,-0.0042288501325384,-0.0035086550503892,-0.0044563729401274,-0.004525254476973
0.2,0.3,1.8000360005400076e-10,1.07768021727734,-0.0035878905520039,-0.0027248120733955,-0.0037300010439924,-0.0033026320865533
0.2,0.2,1.8000360005400076e-10,0.6384797862360887,-0.0036978483396536,-0.0026667649760767,-0.0036625443117624,-0.0022096862511983
0.3,0.9,1.5750315004725067e-10,3.4099494362087515,-0.0073914100684907,-0.00676732475479,-0.0077165715136679,-0.0083491654975304
0.3,0.8,1.5750315004725067e-10,2.045994587032702,-0.0068764147974495,-0.0061926637871072,-0.0071065218458636,-0.0075696030025063
0.3,0.7,1.5750315004725067e-10,1.640458799262465,-0.0059841773120903,-0.0056258797978237,-0.0062149040632734,-0.0066982123876279
0.3,0.6,1.5750315004725067e-10,1.369354225688749,-0.0060194574384675,-0.0052392209797075,-0.0062186274727064,-0.0059611744550965
0.3,0.5,1.5750315004725067e-10,1.110390492221622,-0.005668316131728,-0.0046856323921477,-0.0057854356806964,-0.0053190050841834
0.3,0.4,1.5750315004725067e-10,0.8462767190382364,-0.0051331670441367,-0.0039964235030167,-0.0051567652296666,-0.0044586543854346
0.3,0.3,1.5750315004725067e-10,0.5776802172773403,-0.0049575487766741,-0.004025581006883,-0.0048450041912411,-0.0033676381417281
0.4,0.9,1.3500270004050048e-10,2.829986971112398,-0.0080809980486388,-0.0072321206045639,-0.0083729581880869,-0.0088581901032185
