m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,4.165871658716587,0.0006146426528364,0.0033243583200798
0.1,0.8,4.165871658716587,0.00058584266648,0.0032288548680248
0.1,0.7,4.165871658716587,0.0006033178183712,0.0031485443015237
0.1,0.6,4.165871658716587,0.0005948695657819,0.0031134319560351
0.1,0.5,4.165871658716587,0.0005888381066302,0.0033442616539583
0.1,0.4,4.165871658716587,0.000607674405454,0.0032994051690175
0.1,0.3,4.165871658716587,0.0006271578069891,0.0031876429730552
0.1,0.2,4.165871658716587,0.0006531009749326,0.0031345634603788
0.1,0.1,4.165871658716587,0.0006553467544671,0.003144494222099
0.2,0.9,4.165871658716587,0.0006148712642774,0.0032240041016129
0.2,0.8,4.165871658716587,0.0006210898995624,0.0031772202513628
0.2,0.7,4.165871658716587,0.0006301405847161,0.0032921235249314
0.2,0.6,4.165871658716587,0.0006371534675786,0.0031457733851795
0.2,0.5,4.165871658716587,0.000639091762588,0.0031876731937984
0.2,0.4,4.165871658716587,0.0006246342419093,0.0030762207516727
0.2,0.3,4.165871658716587,0.0006387111715951,0.0031016398260259
0.2,0.2,4.165871658716587,0.0005735568892629,0.0031701778767246
0.3,0.9,4.165871658716587,0.0006123154058535,0.0031709206703077
0.3,0.8,4.165871658716587,0.0006200828000392,0.0031477745963204
0.3,0.7,4.165871658716587,0.0006177884833767,0.0031338523386379
0.3,0.6,4.165871658716587,0.0006467692591917,0.0032206113021495
0.3,0.5,4.165871658716587,0.000579999674283,0.0032912899360792
0.3,0.4,4.165871658716587,0.0006157078194011,0.0031676619511961
0.3,0.3,4.165871658716587,0.000690948469671,0.0030778367413631
0.4,0.9,4.165871658716587,0.0006020055848198,0.0033476531525074
0.4,0.8,4.165871658716587,0.0006116022105361,0.003392310913283
0.4,0.7,4.165871658716587,0.0006337064020494,0.0032745604941384
0.4,0.6,4.165871658716587,0.0006055251086029,0.003035458140231
0.4,0.5,4.165871658716587,0.0005696238374835,0.0033987905467989
0.4,0.4,4.165871658716587,0.0005920043730117,0.0032356785959298
0.5,0.9,4.165871658716587,0.0006173550381902,0.0029635676927617
0.5,0.8,4.165871658716587,0.0005682907594487,0.0031946053207001
0.5,0.7,4.165871658716587,0.0005843387917194,0.0031531957251244
0.5,0.6,4.165871658716587,0.0006616875024493,0.0031747682089099
0.5,0.5,4.165871658716587,0.0006136612089702,0.0033015493352485
0.6,0.9,4.165871658716587,0.0005914836627941,0.0031834042316354
0.6,0.8,4.165871658716587,0.0006224565631275,0.0032274032614633
0.6,0.7,4.165871658716587,0.0005649513284607,0.0031206526064589
0.6,0.6,4.165871658716587,0.000643968487707,0.0032374808368433
0.7,0.9,4.165871658716587,0.0006276421380401,0.0031171585118827
0.7,0.8,4.165871658716587,0.0006355025964116,0.0032556935931633
0.7,0.7,4.165871658716587,0.0005797387023393,0.0031293249504413
0.8,0.9,4.165871658716587,0.0006516740789769,0.0032260418441861
0.8,0.8,4.165871658716587,0.0006546510342337,0.0033166957270992
0.9,0.9,4.165871658716587,0.0007037314479304,0.0031866250124992
0.01,0.09,4.165871658716587,0.0005970946158581,0.0031360339541649
0.01,0.08,4.165871658716587,0.0006396341105389,0.0032902920935002
0.01,0.0699999999999999,4.165871658716587,,
0.01,0.06,4.165871658716587,0.0005702433848046,0.0031188640816482
0.01,0.05,4.165871658716587,0.0006481901352206,0.0031679104203471
0.01,0.04,4.165871658716587,0.0005958203792855,0.003179008918235
0.01,0.03,4.165871658716587,0.0005670339578279,0.0033103541571547
0.01,0.02,4.165871658716587,0.0005697009360051,0.0031706400710891
0.01,0.01,4.165871658716587,0.0005938621117246,0.0035277588158494
0.02,0.09,4.165871658716587,0.0006372485353754,0.0031431308198091
0.02,0.08,4.165871658716587,0.0006085483792565,0.0034801355758863
0.02,0.0699999999999999,4.165871658716587,,
0.02,0.06,4.165871658716587,0.0006174821056565,0.0030891489721267
0.02,0.05,4.165871658716587,0.0006195208582663,0.0031743657975534
0.02,0.04,4.165871658716587,0.0006708697241949,0.0033654164600985
0.02,0.03,4.165871658716587,0.0006264916952754,0.0031675407343705
0.02,0.02,4.165871658716587,0.0006132457545136,0.0029693271485243
0.03,0.09,4.165871658716587,0.0006720043779308,0.0031185602444618
0.03,0.08,4.165871658716587,0.0006586522678372,0.0030197171662162
0.03,0.0699999999999999,4.165871658716587,,
0.03,0.06,4.165871658716587,0.0005952557121963,0.0032033482381098
0.03,0.05,4.165871658716587,0.0006111656993215,0.0033344657893859
0.03,0.04,4.165871658716587,0.0005920047054149,0.0032607457583541
0.03,0.03,4.165871658716587,0.0006589025244288,0.0030325957242855
0.04,0.09,4.165871658716587,0.0006260842121064,0.0033063020968955
0.04,0.08,4.165871658716587,0.0006499409001468,0.003128932410693
0.04,0.0699999999999999,4.165871658716587,,
0.04,0.06,4.165871658716587,0.0005750812145348,0.0032315538503857
0.04,0.05,4.165871658716587,0.0006225643216697,0.0031784440181629
0.04,0.04,4.165871658716587,0.0006133786829072,0.003179769400371
0.05,0.09,4.165871658716587,0.0006446098811089,0.0032686759232261
0.05,0.08,4.165871658716587,0.0006344995565523,0.0031830467102733
0.05,0.0699999999999999,4.165871658716587,,
0.05,0.06,4.165871658716587,0.0006413997546117,0.003176736785595
0.05,0.05,4.165871658716587,0.000625994990626,0.0030541553027912
0.06,0.09,4.165871658716587,0.0006097017383971,0.0029542449135552
0.06,0.08,4.165871658716587,0.000582443748301,0.0030976627868737
0.06,0.0699999999999999,4.165871658716587,,
0.06,0.06,4.165871658716587,0.0006225895948197,0.0030059337012646
0.0699999999999999,0.09,4.165871658716587,,
0.0699999999999999,0.08,4.165871658716587,,
0.0699999999999999,0.0699999999999999,4.165871658716587,,
0.08,0.09,4.165871658716587,0.0006215363603086,0.0032971665689586
0.08,0.08,4.165871658716587,0.0006024268130167,0.0032818152203438
0.09,0.09,4.165871658716587,0.0006643970035227,0.0031999658523512
