m,M,original_average,supressed_database_average,supressed_database_sum,supressed_database_number_of_elements,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
0.05,0.05,4.165871658716587,4.164545167403664,263699,63320,4.166168444819546,4.1630352677626545,0.00029678610295924557,0.0028363909539326215
0.08,0.08,4.165871658716587,4.160968776976074,255471,61397,4.1611735495286934,4.156372826191939,0.0046981091878937065,0.009498832524648115
0.3,0.6,4.165871658716587,4.175364834144076,170810,40909,4.174615173003126,4.175099990265457,0.008743514286538634,0.009228331548869484
0.7,0.9,4.165871658716587,4.15804437851536,67273,16179,4.155302121632537,4.165672333435868,0.010569537084050395,0.00019932528071908706
0.09,0.09,4.165871658716587,4.164516235480464,252403,60608,4.164639798336734,4.168658384590882,0.0012318603798533445,0.0027867258742944045
0.2,0.8,4.165871658716587,4.170882906940703,174931,41941,4.170856098130995,4.174075587058578,0.0049844394144074045,0.008203928341990796
0.3,0.8,4.165871658716587,4.169185984403375,156111,37444,4.167179720164461,4.157936818034664,0.0013080614478742092,0.00793484068192285
0.01,0.04,4.165871658716587,4.167267726161369,272706,65440,4.167285585003789,4.168106675061845,0.0014139262872019387,0.002235016345258245
0.0699999999999999,0.08,4.165871658716587,4.163322716763941,257514,61853,4.163643656132051,4.161073653654738,0.0022280025845358153,0.004798005061848798
0.03,0.06,4.165871658716587,4.167557876685634,267328,64145,4.169156456148372,4.166826878894006,0.0032847974317844475,0.0009552201774187807
0.06,0.06,4.165871658716587,4.162256678856012,260653,62623,4.162085215563823,4.162738069480211,0.0037864431527641074,0.0031335892363761886
0.2,0.3,4.165871658716587,4.160295547345907,213964,51430,4.160490690052451,4.161177122329574,0.0053809686641361765,0.004694536387012782
0.7,0.7,4.165871658716587,4.176806369235392,83415,19971,4.179818076250467,4.171400905056302,0.013946417533880151,0.005529246339714966
0.2,0.4,4.165871658716587,4.157336452367509,206154,49588,4.156767957839189,4.15976768324486,0.009103700877398424,0.006103975471726919
0.3,0.7,4.165871658716587,4.175380593572197,162915,39018,4.174502941966468,4.171204837532128,0.008631283249880717,0.005333178815540407
0.03,0.05,4.165871658716587,4.163455552788845,267527,64256,4.163283798867582,4.160989640173574,0.002587859849005447,0.004882018543012734
0.04,0.09,4.165871658716587,4.165247990869752,262773,63087,4.165478365199646,4.161673211102145,0.00039329351694128434,0.004198447614442102
0.06,0.09,4.165871658716587,4.169065790744855,258924,62106,4.169934757806089,4.170130763441309,0.004063099089501421,0.004259104724721574
0.05,0.08,4.165871658716587,4.163709124535642,261152,62721,4.165815234948449,4.164145826590213,5.642376813774774e-05,0.0017258321263744492
0.03,0.03,4.165871658716587,4.164149308242285,269079,64618,4.164165037260946,4.165376019680112,0.0017066214556411552,0.0004956390364752039
0.06,0.0699999999999999,4.165871658716587,4.157813801499327,259564,62428,4.158005738417295,4.163038079020561,0.007865920299292561,0.002833579696026156
0.5,0.9,4.165871658716587,4.154018287742582,107668,25919,4.154266103353431,4.156268696673177,0.011605555363155773,0.009602962043410379
0.02,0.09,4.165871658716587,4.162640524102131,266230,63957,4.162865618924604,4.1603466117487535,0.003006039791983106,0.0055250469678336245
0.2,0.9,4.165871658716587,4.152558000448553,166638,40129,4.152440772618365,4.1560964346935885,0.013430886098221961,0.009775224022998685
0.04,0.04,4.165871658716587,4.168573035814738,266772,63996,4.168736473199097,4.167196853918694,0.0028648144825096367,0.0013251952021064994
0.02,0.04,4.165871658716587,4.164419821483533,270604,64980,4.164247452718195,4.1663453558342045,0.001624205998392192,0.00047369711761735545
0.1,0.5,4.165871658716587,4.164965206087023,217861,52308,4.1645488345,4.168537637783903,0.0013228242165874704,0.0026659790673155825
0.4,0.6,4.165871658716587,4.158839893133556,150995,36307,4.158875522217777,4.170108108078997,0.006996136498810479,0.004236449362410077
0.8,0.9,4.165871658716587,4.143224092116918,46777,11290,4.141831266817643,4.156183300473522,0.024040391898943803,0.009688358243065132
0.7,0.8,4.165871658716587,4.152077758969038,76037,18313,4.145573719177287,4.152990952382897,0.020297939539299925,0.012880706333690206
0.1,0.7,4.165871658716587,4.1725041794803,202162,48451,4.173774744681491,4.175445911267285,0.007903085964903411,0.009574252550697437
0.1,0.6,4.165871658716587,4.163553259141494,209510,50320,4.163839308488486,4.16171123569938,0.0020323502281014427,0.00416042301720676
0.04,0.08,4.165871658716587,4.163716604185451,263226,63219,4.164218307178597,4.166419817409371,0.0016533515379899555,0.0005481586927835735
0.4,0.5,4.165871658716587,4.159290869817186,157895,37962,4.160601680555363,4.155738084970764,0.005269978161224209,0.010133573745823021
0.6,0.6,4.165871658716587,4.165512543989102,110082,26427,4.163348953387283,4.167057244354503,0.002522705329304209,0.0011855856379154872
0.01,0.0699999999999999,4.165871658716587,4.165126432880263,269971,64817,4.1646223416624055,4.168109831141338,0.0012493170541816312,0.002238172424751106
0.1,0.4,4.165871658716587,4.164796208879011,226744,54443,4.164824443937028,4.173360101937569,0.001047214779559269,0.007488443220982077
0.6,0.7,4.165871658716587,4.168834325999757,102891,24681,4.170112653425605,4.176220771123102,0.00424099470901762,0.010349112406514926
0.3,0.9,4.165871658716587,4.159534396329548,146869,35309,4.159385535420566,4.157315013681317,0.006486123296021162,0.008556645035270094
0.1,0.2,4.165871658716587,4.172530609437336,242641,58152,4.173705784641209,4.1702808895137045,0.007834125924621738,0.004409230797117303
0.1,0.8,4.165871658716587,4.167439376135028,195057,46805,4.167283727893964,4.160099509557713,0.0014120691773769067,0.005772149158874029
0.3,0.5,4.165871658716587,4.165842507930584,178598,42872,4.165335459918584,4.167708394744757,0.0005361987980032623,0.0018367360281699163
0.04,0.05,4.165871658716587,4.161447405505276,265775,63866,4.160900631528934,4.157687499019023,0.0049710271876532985,0.008184159697564475
0.4,0.8,4.165871658716587,4.1716085989621945,135060,32376,4.172242398721241,4.16328520142116,0.006370740004653541,0.00258645729542728
0.03,0.0699999999999999,4.165871658716587,4.162264978004602,265873,63877,4.162815663440097,4.154194384597284,0.003055995276490364,0.011677274119302972
0.3,0.4,4.165871658716587,4.156448581401593,185760,44692,4.156463513703845,4.165359930110234,0.009408145012741898,0.000511728606353401
0.0699999999999999,0.0699999999999999,4.165871658716587,4.168917612171223,258673,62048,4.168641067564743,4.168285621248553,0.0027694088481560186,0.0024139625319659075
0.9,0.9,4.165871658716587,4.189201451905626,27699,6612,4.189206029351008,4.212751750929782,0.02333437063442112,0.04688009221319511
0.5,0.7,4.165871658716587,4.159006671608599,123431,29678,4.160595140861009,4.150078275446058,0.0052765178555782555,0.015793383270529482
0.1,0.3,4.165871658716587,4.162357807652533,233450,56086,4.163007697734959,4.162247782580182,0.002863960981628111,0.0036238761364053573
0.06,0.08,4.165871658716587,4.169005716487892,259629,62276,4.168807756589801,4.168597013166469,0.0029360978732135834,0.002725354449881756
0.01,0.05,4.165871658716587,4.164713641522746,271531,65198,4.165261237165711,4.161986726413217,0.0006104215508759836,0.003884932303369837
0.05,0.06,4.165871658716587,4.165988312243638,263053,63143,4.16615490701704,4.161217338812647,0.00028324830045267646,0.004654319903940163
0.04,0.06,4.165871658716587,4.16410731967999,264933,63623,4.1638915930765465,4.162644220748841,0.001980065640040607,0.0032274379677463827
0.01,0.06,4.165871658716587,4.167278874971183,271144,65065,4.165940400031431,4.166242772072154,6.8741314843912e-05,0.00037111335556705427
0.5,0.6,4.165871658716587,4.17192614485016,131278,31467,4.1720728360685735,4.175755205688942,0.006201177351986331,0.009883546972354829
0.2,0.2,4.165871658716587,4.165137786431032,222485,53416,4.165833663350356,4.172246985685312,3.799536623105837e-05,0.006375326968725226
0.4,0.7,4.165871658716587,4.177562456222274,143140,34264,4.177761718957888,4.166733379578727,0.011890060241301015,0.0008617208621402028
0.1,0.1,4.165871658716587,4.163082467174961,249531,59939,4.162044013679408,4.16090912105694,0.0038276450371794724,0.004962537659647381
0.01,0.09,4.165871658716587,4.164854257481036,268479,64463,4.164957003733607,4.1598535579730616,0.0009146549829797124,0.006018100743525601
