m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,2.0250405006075078e-10,8.195987029498752,-0.0053650875574202,-0.0043547955895014,-0.0056273799320481,-0.0057555094133801
0.1,0.8,2.0250405006075078e-10,7.295394529120346,-0.004878457084569,-0.00386172525553,-0.0051099662724216,-0.0052863066041537
0.1,0.7,2.0250405006075078e-10,6.415735221843628,-0.004692046261807,-0.0037509571783265,-0.0049608622240574,-0.0050674673729371
0.1,0.6,2.0250405006075078e-10,5.523137163611585,-0.0040713007167153,-0.0032293525758361,-0.004330783080721,-0.0046251867158022
0.1,0.5,2.0250405006075078e-10,4.620114506958276,-0.0038171963350224,-0.0030843266669928,-0.0040600194868122,-0.0042669218978349
0.1,0.4,2.0250405006075078e-10,3.7085130668623134,-0.003588529749296,-0.0026782099489335,-0.0038146651596213,-0.0038255853225576
0.1,0.3,2.0250405006075078e-10,2.789728043577632,-0.002996489277301,-0.002178144322598,-0.0031731027805189,-0.0032234941180722
0.1,0.2,2.0250405006075078e-10,1.8648397251631903,-0.0029260467073771,-0.0020959475156292,-0.0030559511013647,-0.0028408211121963
0.1,0.1,2.0250405006075078e-10,0.9347016640011662,-0.0022364907741422,-0.0015662538809834,-0.0021648265946597,-0.0015208242918977
0.2,0.9,1.8000360005400076e-10,4.536418382828267,-0.0059179545368194,-0.0054032903333286,-0.0061713716995391,-0.0066820561793483
0.2,0.8,1.8000360005400076e-10,3.335993124944124,-0.0056841801923178,-0.0049321285860262,-0.0059212741676139,-0.0060219226086918
0.2,0.7,1.8000360005400076e-10,2.915735221843628,-0.0052333210954628,-0.0044925343507664,-0.0054260362498799,-0.005517878781211
0.2,0.6,1.8000360005400076e-10,2.5231371636115854,-0.0049137121189853,-0.0041320871742482,-0.0051134423919551,-0.0051304619879311
0.2,0.5,1.8000360005400076e-10,2.1201145069582776,-0.0048833716004402,-0.004008340966914,-0.0050519434810291,-0.0047554794516471
0.2,0.4,1.8000360005400076e-10,1.7085130668623156,-0.0043877618305106,-0.0033964355504279,-0.0045056916420275,-0.0040598950629099
