m,M,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,42.822623226232274,0.0395953617936864,0.1050039490501888
0.1,0.8,42.822623226232274,0.0374353460403311,0.0953214182422089
0.1,0.7,42.822623226232274,0.0365617969732819,0.1043717035962202
0.1,0.6,42.822623226232274,0.033831127650509,0.089343173647746
0.1,0.5,42.822623226232274,0.0309210864400983,0.086260651437063
0.1,0.4,42.822623226232274,0.0295563667718376,0.08898703753034
0.1,0.3,42.822623226232274,0.0289691293704608,0.0819579452549318
0.1,0.2,42.822623226232274,0.0254960996498966,0.0817738835229651
0.1,0.1,42.822623226232274,0.0236867906982423,0.0780783137073425
0.2,0.9,42.822623226232274,0.0493817797190581,0.1226756618810299
0.2,0.8,42.822623226232274,0.0426915043566759,0.1127388345162457
0.2,0.7,42.822623226232274,0.0418054102756199,0.1092607773401932
0.2,0.6,42.822623226232274,0.0386843301323399,0.102364615570436
0.2,0.5,42.822623226232274,0.0415707540622806,0.1000107318173989
0.2,0.4,42.822623226232274,0.0365588713278126,0.0981985842196101
0.2,0.3,42.822623226232274,0.0323510562514845,0.0892601238098115
0.2,0.2,42.822623226232274,0.0327866499351093,0.0907867441644705
0.3,0.9,42.822623226232274,0.0506551174721626,0.1315385559186356
0.3,0.8,42.822623226232274,0.051629934744257,0.1280936876074432
0.3,0.7,42.822623226232274,0.0470944965258491,0.1253964816879698
0.3,0.6,42.822623226232274,0.0440972309256581,0.1199487764903684
0.3,0.5,42.822623226232274,0.0461623396950114,0.1119524058525205
0.3,0.4,42.822623226232274,0.0451411135248912,0.1063768098484373
0.3,0.3,42.822623226232274,0.0414030134947142,0.1087879204383531
0.4,0.9,42.822623226232274,0.0595711520986507,0.1551065047887571
0.4,0.8,42.822623226232274,0.0603959070148604,0.1523265422264589
0.4,0.7,42.822623226232274,0.0586093184828662,0.1417234184036742
0.4,0.6,42.822623226232274,0.0562727437369639,0.135864650430952
0.4,0.5,42.822623226232274,0.0501471080150597,0.118708741991025
0.4,0.4,42.822623226232274,0.0488751672727595,0.1278648016784375
0.5,0.9,42.822623226232274,0.0750290565278047,0.1712099980095896
0.5,0.8,42.822623226232274,0.0693680477551286,0.167829431593993
0.5,0.7,42.822623226232274,0.0630191830340294,0.1696242036736947
0.5,0.6,42.822623226232274,0.0590952209933565,0.1575735803530213
0.5,0.5,42.822623226232274,0.0611789135047973,0.1503881123995937
0.6,0.9,42.822623226232274,0.0897311041577978,0.2239794545571872
0.6,0.8,42.822623226232274,0.0847529072556806,0.2127170084538202
0.6,0.7,42.822623226232274,0.0784929538990769,0.1928148851177996
0.6,0.6,42.822623226232274,0.0767901095220577,0.1881173889841591
0.7,0.9,42.822623226232274,0.1107121983317758,0.2784323966947487
0.7,0.8,42.822623226232274,0.0967756490301332,0.2840157283488701
0.7,0.7,42.822623226232274,0.0986872116099808,0.2641424156887618
0.8,0.9,42.822623226232274,0.1402724928155462,0.4079681342559965
0.8,0.8,42.822623226232274,0.1271894317909845,0.3680649371994194
0.9,0.9,42.822623226232274,0.1985017102951152,0.7457295518802814
0.01,0.09,42.822623226232274,0.016827065088342,0.070722113646071
0.01,0.08,42.822623226232274,0.0172818923831699,0.0707262844677941
0.01,0.0699999999999999,,,
0.01,0.06,42.822623226232274,0.0164924360400775,0.073263563479937
0.01,0.05,42.822623226232274,0.0170467816513072,0.0730920743834306
0.01,0.04,42.822623226232274,0.0152447793945915,0.0727093995503567
0.01,0.03,42.822623226232274,0.0153131830118658,0.0691984113528949
0.01,0.02,42.822623226232274,0.01575745096152,0.0703197482342931
0.01,0.01,42.822623226232274,0.0155392661569,0.0713203087746983
0.02,0.09,42.822623226232274,0.0184125741651743,0.0729404063408954
0.02,0.08,42.822623226232274,0.0167303337170716,0.0734266453578228
0.02,0.0699999999999999,,,
0.02,0.06,42.822623226232274,0.0178687726664187,0.0725794172761332
0.02,0.05,42.822623226232274,0.0168774432305778,0.0743593958242023
0.02,0.04,42.822623226232274,0.015943457062236,0.0688704644575139
0.02,0.03,42.822623226232274,0.0165080948832375,0.0701642836309017
0.02,0.02,42.822623226232274,0.0161741920636046,0.0714448974244782
0.03,0.09,42.822623226232274,0.0175628616359785,0.0721474820585459
0.03,0.08,42.822623226232274,0.0194260637853111,0.0732769734259246
0.03,0.0699999999999999,,,
0.03,0.06,42.822623226232274,0.0173062996115784,0.072966483225362
