original average,supression average,total_sum,total_element,m,M,average_laplace,average_gaussian,difference_laplace_supression,difference_gaussian_supression
42.82262322623226,42.81250208590595,2565582,59926,0.1,0.1,42.81386025013751,42.81281323630921,0.00876297609475074,0.009809989923049045
42.82262322623226,42.87648723157284,2364038,55136,0.1,0.2,42.88769420741212,42.89378571801885,0.06507098117985777,0.07116249178658762
42.82262322623226,42.83078154708296,2140040,49965,0.1,0.3,42.82459030647913,42.824630430726415,0.001967080246870978,0.002007204494155701
42.82262322623226,42.852504823365045,1932348,45093,0.1,0.4,42.85890717610213,42.85785778193144,0.03628394986986905,0.035234555699183545
42.82262322623226,42.80593228852722,1704361,39816,0.1,0.5,42.80922397827177,42.75766717603816,0.013399247960492744,0.06495605019409822
42.82262322623226,42.822410933836565,1497671,34974,0.1,0.6,42.813414111280444,42.82659772821617,0.009209114951815423,0.0039745019839116935
42.82262322623226,42.78585925802695,1285929,30055,0.1,0.7,42.79107533500957,42.84023865065529,0.03154789122268653,0.017615424423027548
42.82262322623226,42.66748244734202,1063487,24925,0.1,0.8,42.67339198647761,42.737188792258436,0.14923123975464847,0.08543443397382333
42.82262322623226,42.76075187969925,853077,19950,0.1,0.9,42.766309408843604,42.653864584032796,0.05631381738865571,0.1687586421994638
42.82262322623226,42.77643301395192,2290293,53541,0.2,0.2,42.771086675401385,42.779466441973966,0.05153655083087472,0.04315678425829361
42.82262322623226,42.86180339039045,2075840,48431,0.2,0.3,42.8616981043588,42.8689835353225,0.039074878126541535,0.04636030909023958
42.82262322623226,42.78540267294509,1853592,43323,0.2,0.4,42.783271100267534,42.78565456948869,0.039352125964725815,0.03696865674356786
42.82262322623226,42.75189438325131,1641801,38403,0.2,0.5,42.75465266226015,42.77486089307434,0.06797056397211065,0.047762333157919556
42.82262322623226,42.85130267739224,1427634,33316,0.2,0.6,42.850065702504885,42.87800764520388,0.027442476272625527,0.055384418971620164
42.82262322623226,42.96253934942288,1228299,28590,0.2,0.7,42.963484554251494,42.882675668906,0.14086132801923412,0.060052442673743656
42.82262322623226,42.93714506969541,998031,23244,0.2,0.8,42.92973716847042,42.90026318641446,0.10711394223815773,0.07763996018220354
42.82262322623226,42.87207207207207,785202,18315,0.2,0.9,42.81774160838156,42.88620018561914,0.004881617850699627,0.06357695938687868
42.82262322623226,42.850762620837806,1994703,46550,0.3,0.3,42.84943210796919,42.812490043481404,0.026808881736933188,0.010133182750855951
42.82262322623226,42.79706402716014,1790030,41826,0.3,0.4,42.798259791399694,42.82298138496518,0.024363434832565645,0.0003581587329222202
42.82262322623226,42.895648130419325,1568222,36559,0.3,0.5,42.8948826996456,42.94690049786603,0.07225947341333949,0.12427727163377256
42.82262322623226,42.75467097346254,1350107,31578,0.3,0.6,42.73623868211,42.712904522260295,0.08638454412226082,0.10971870397196426
42.82262322623226,42.8863559923764,1147596,26759,0.3,0.7,42.87484487821187,42.85809152802206,0.052221651979607486,0.03546830178979832
42.82262322623226,42.91001186456147,940330,21914,0.3,0.8,42.9053851200002,42.88508303409092,0.08276189376793752,0.06245980785865868
42.82262322623226,42.81295478945485,717802,16766,0.3,0.9,42.84694938688172,42.81005237745985,0.024326160649458473,0.012570848772412546
42.82262322623226,42.79047880573169,1714101,40058,0.4,0.4,42.780475842325515,42.79561496958731,0.04214738390674455,0.027008256644947437
42.82262322623226,42.850557620817845,1498484,34970,0.4,0.5,42.83947911071719,42.811459013136606,0.016855884484932915,0.011164213095653963
42.82262322623226,42.83304463690872,1285848,30020,0.4,0.6,42.82110643654642,42.723555760461934,0.0015167896858372387,0.09906746577032521
42.82262322623226,42.90297557482696,1078495,25138,0.4,0.7,42.9195908844959,42.90765907493435,0.09696765826364384,0.08503584870209124
42.82262322623226,42.734711197643655,856019,20031,0.4,0.8,42.746864046791124,42.71483684976655,0.07575917944113542,0.10778637646571099
42.82262322623226,42.813041161582525,642795,15014,0.4,0.9,42.8359578706791,42.696679206391515,0.013334644446842958,0.12594401984074466
42.82262322623226,42.83957491393504,1431056,33405,0.5,0.5,42.828814383554516,42.844699711367056,0.006191157322255947,0.022076485134796542
42.82262322623226,42.82211589580011,1208226,28215,0.5,0.6,42.810906555930316,42.77334509667085,0.011716670301943566,0.04927812956140798
42.82262322623226,42.92426835529694,1003226,23372,0.5,0.7,42.91452474887239,42.952841301707444,0.09190152264012852,0.1302180754751845
42.82262322623226,42.65244463695923,787748,18469,0.5,0.8,42.6600381653742,42.62145467544411,0.16258506085805635,0.20116855078814666
42.82262322623226,42.83112828898469,576250,13454,0.5,0.9,42.82706882173365,42.810633930766805,0.004445595501387345,0.011989295465454575
42.82262322623226,42.868983655833176,1140958,26615,0.6,0.6,42.87076833196057,42.87983462450275,0.048145105728309545,0.057211398270489155
42.82262322623226,42.77055065976594,917300,21447,0.6,0.7,42.765807472256135,42.85402088152767,0.05681575397612448,0.03139765529540739
42.82262322623226,42.96215925394548,718671,16728,0.6,0.8,42.93330444267408,43.01762832055159,0.11068121644181872,0.19500509431932755
42.82262322623226,42.811940298507466,501970,11725,0.6,0.9,42.813961437538346,42.8062464514404,0.008661788693913763,0.016376774791858395
42.82262322623226,43.00252105077397,852869,19833,0.7,0.7,43.011592995322275,42.93359553128247,0.18896976909001495,0.11097230505021116
42.82262322623226,42.7874755117206,633383,14803,0.7,0.8,42.78725598990488,42.863243356558506,0.03536723632738159,0.04062013032624634
42.82262322623226,42.72164745295103,433582,10149,0.7,0.9,42.7241719892638,42.48804177210354,0.09845123696845803,0.33458145412871687
42.82262322623226,42.844271495921575,572528,13363,0.8,0.8,42.894294524716514,42.8839063794355,0.07167129848425446,0.061283153203241625
42.82262322623226,42.669424417917504,361026,8461,0.8,0.9,42.70173115689379,42.423468936198006,0.12089206933846697,0.39915429003425373
42.82262322623226,42.87194114997748,285570,6661,0.9,0.9,42.865604751496384,43.16000563042652,0.0429815252641248,0.33738240419425836
42.82262322623226,42.77255006497617,2567294,60022,0.1,0.1,42.76938714996471,42.759079413691985,0.053236076267552335,0.0635438125402743
42.82262322623226,42.78658658295378,2357926,55109,0.1,0.2,42.7853312811283,42.76980519345544,0.03729194510395928,0.052818032776819734
42.82262322623226,42.8512275485193,2132877,49774,0.1,0.3,42.849262780643876,42.86945023224493,0.026639554411616473,0.04682700601266987
42.82262322623226,42.828492700162215,1927325,45001,0.1,0.4,42.85825731127533,42.821139232579924,0.035634085043071195,0.0014839936523358688
42.82262322623226,42.9097395469514,1719994,40084,0.1,0.5,42.915085414588475,42.90427462629334,0.09246218835621534,0.08165140006108373
42.82262322623226,42.760346843891725,1499135,35059,0.1,0.6,42.75523952093437,42.72846409113682,0.0673837052978925,0.09415913509543827
