original average,supression average,total_sum,total_element,m,M,average_laplacian,average_gaussian,difference_laplacian_supression,difference_gaussian_supression
4.165871658716587,4.167995064363369,249963,59972,0.1,0.1,4.1678569278664375,4.168599006708647,0.0019852691498503106,0.002727347992060203
4.165871658716587,4.164904862579281,232460,55814,0.1,0.2,4.164218243898579,4.167020190005314,0.001653414818008514,0.0011485312887264953
4.165871658716587,4.17437003361116,214859,51471,0.1,0.3,4.173861732736814,4.174334808876411,0.007990074020226778,0.008463150159824018
4.165871658716587,4.161613815817253,197119,47366,0.1,0.4,4.163514573868902,4.16188911533095,0.0023570848476852646,0.003982543385637527
4.165871658716587,4.158265001863586,178506,42928,0.1,0.5,4.157796344438196,4.157381010849638,0.008075314278391588,0.00849064786694953
4.165871658716587,4.172105982817781,161715,38761,0.1,0.6,4.171917543125106,4.173450820874516,0.006045884408519164,0.007579162157928643
4.165871658716587,4.163399446494465,144420,34688,0.1,0.7,4.164064530118304,4.164122455528281,0.0018071285982834695,0.001749203188306403
4.165871658716587,4.1772563176895305,127281,30470,0.1,0.8,4.176568144120797,4.182469629549125,0.010696485404209533,0.01659797083253789
4.165871658716587,4.163660731380433,108734,26115,0.1,0.9,4.162406232402039,4.1648393516562345,0.003465426314548381,0.0010323070603526219
4.165871658716587,4.165855393717003,222515,53414,0.2,0.2,4.166800838598733,4.165195539662921,0.000929179882145803,0.0006761190536659356
4.165871658716587,4.172933246711061,205542,49256,0.2,0.3,4.17290254200249,4.172264345163836,0.007030883285902512,0.006392686447249218
4.165871658716587,4.149710892326926,185878,44793,0.2,0.4,4.149548123909939,4.151588438009854,0.01632353480664772,0.014283220706732713
4.165871658716587,4.154134877217084,169335,40763,0.2,0.5,4.154369034501082,4.1552291491228575,0.011502624215505186,0.010642509593729699
4.165871658716587,4.173558260296178,151905,36397,0.2,0.6,4.173435772338402,4.1784763035161285,0.007564113621814528,0.012604644799541376
4.165871658716587,4.173558333591836,134543,32237,0.2,0.7,4.172993212195564,4.172129593335844,0.007121553478977027,0.006257934619257277
4.165871658716587,4.1732207392564495,116629,27947,0.2,0.8,4.175052190707217,4.177038822910912,0.009180531990629959,0.011167164194325174
4.165871658716587,4.173799823596119,99374,23809,0.2,0.9,4.173791685502643,4.165119352382072,0.007920026786055523,0.0007523063345153957
4.165871658716587,4.16554968423766,193923,46554,0.3,0.3,4.165269117381545,4.168052709067845,0.0006025413350423392,0.0021810503512575963
4.165871658716587,4.1619202030170594,177123,42558,0.3,0.4,4.1620689542532885,4.1675198741308535,0.0038027044632986673,0.0016482154142662964
4.165871658716587,4.163059427732942,158879,38164,0.3,0.5,4.163061733491302,4.1602222779806874,0.0028099252252848927,0.005649380735899712
4.165871658716587,4.159839688807685,141160,33934,0.3,0.6,4.160049015039844,4.1568507806945965,0.005822643676743233,0.009020878021990697
4.165871658716587,4.15926884177279,123784,29761,0.3,0.7,4.157748818022179,4.156473760124499,0.008122840694408495,0.009397898592087728
4.165871658716587,4.149790598457865,106023,25549,0.3,0.8,4.1490754271672206,4.145628348402114,0.016796231549366603,0.02024331031447346
4.165871658716587,4.193872756319895,89254,21282,0.3,0.9,4.191888991694042,4.18627690033021,0.0260173329774549,0.02040524161362267
4.165871658716587,4.165561097256858,167039,40100,0.4,0.4,4.165571179764193,4.165259071409538,0.0003004789523943785,0.0006125873070494947
4.165871658716587,4.176000222890895,149885,35892,0.4,0.5,4.176662739813175,4.1788993942924675,0.01079108109658744,0.013027735575880328
4.165871658716587,4.166719623792577,131135,31472,0.4,0.6,4.165811861295079,4.164940530200442,5.9797421507745696e-05,0.0009311285161448524
4.165871658716587,4.1830593071051085,113980,27248,0.4,0.7,4.183539031315015,4.184313436918709,0.01766737259842799,0.01844177820212156
4.165871658716587,4.174321051721155,96527,23124,0.4,0.8,4.173848086838057,4.174336933159806,0.007976428121470036,0.00846527444321854
4.165871658716587,4.193425975414217,78459,18710,0.4,0.9,4.193782861188047,4.199212978275703,0.027911202471459617,0.03334131955911612
4.165871658716587,4.174702942144803,139481,33411,0.5,0.5,4.174223591383439,4.176633605417646,0.008351932666851525,0.010761946701058456
4.165871658716587,4.170855477455855,121643,29165,0.5,0.6,4.170701955819217,4.170929950917247,0.0048302971026297215,0.005058292200660119
4.165871658716587,4.1710568973901765,102925,24676,0.5,0.7,4.170666659223336,4.173404880028169,0.00479500050674897,0.007533221311581961
4.165871658716587,4.173423093809454,85551,20499,0.5,0.8,4.1737622449885965,4.1698742487390295,0.007890586272009337,0.004002590022442298
4.165871658716587,4.15435951306927,67230,16183,0.5,0.9,4.156867661124947,4.153958362141316,0.009003997591640278,0.011913296575270849
4.165871658716587,4.1802942054958185,111965,26784,0.6,0.6,4.179773785690173,4.179785627922205,0.01390212697358617,0.013913969205617605
4.165871658716587,4.184767592138687,93902,22439,0.6,0.7,4.1832557749933,4.178127645026131,0.017384116276712547,0.012255986309543943
4.165871658716587,4.178164695575997,76310,18264,0.6,0.8,4.180418882836037,4.192073999258988,0.014547224119449531,0.026202340542401004
4.165871658716587,4.1804156845939575,58530,14001,0.6,0.9,4.181959135016473,4.178755815631627,0.016087476299885495,0.012884156915039746
4.165871658716587,4.147730110373071,83050,20023,0.7,0.7,4.146636832068364,4.141733697375336,0.019234826648222736,0.024137961341251568
4.165871658716587,4.18249665114499,65569,15677,0.7,0.8,4.1843049193929325,4.198553490378045,0.01843326067634532,0.032681831661458105
4.165871658716587,4.176377676377676,47594,11396,0.7,0.9,4.177570603299293,4.167825672861717,0.011698944582706261,0.0019540141451299675
