average,total_sum,total_element,m,M,delta_prima,epsilon_prima,average_laplacian,average_gaussian
42.8219705171983,2570817,60035,0.1,0.1,4.4444444444444454e-08,0.9347016640011662,42.50700766710185,43.50579594498017
42.79978225367447,2358696,55110,0.1,0.2,4.4444444444444454e-08,1.8648397251631903,42.794201787626356,42.342313767847244
42.8070157885258,2139195,49973,0.1,0.3,4.4444444444444454e-08,2.789728043577631,42.83920848330373,43.20612439364021
42.78279254017003,1922402,44934,0.1,0.4,4.4444444444444454e-08,3.7085130668623147,42.80285815384903,43.086729149727105
42.7807896582824,1707638,39916,0.1,0.5,4.4444444444444454e-08,4.620114506958277,42.832440189591274,42.890740204293856
42.89990315045861,1506044,35106,0.1,0.6,4.4444444444444454e-08,5.523137163611585,42.86999531194372,42.995975480200784
42.88023310335589,1280318,29858,0.1,0.7,4.4444444444444454e-08,6.415735221843628,42.913005341960925,42.71679291910162
42.86167365688037,1073042,25035,0.1,0.8,4.4444444444444454e-08,7.2953945291203475,42.77619712487466,42.968190198751024
42.759030726954784,855822,20015,0.1,0.9,4.4444444444444454e-08,8.195987029498756,42.66838805536451,42.674696621360965
42.824345839030514,2286349,53389,0.2,0.2,3.9506172839506184e-08,0.8648397251631903,42.78739895926417,42.68054622009705
42.84267777225261,2067759,48264,0.2,0.3,3.9506172839506184e-08,1.289728043577631,42.93713139255517,43.60618934311681
42.86720331186753,1863866,43480,0.2,0.4,3.9506172839506184e-08,1.7085130668623152,42.78397414420316,42.188371327729534
42.807691300133605,1634098,38173,0.2,0.5,3.9506172839506184e-08,2.1201145069582776,42.988253339720934,42.933380338792674
42.8003008423586,1422682,33240,0.2,0.6,3.9506172839506184e-08,2.523137163611585,42.86385114772537,41.62071912566182
42.84630625530711,1211008,28264,0.2,0.7,3.9506172839506184e-08,2.915735221843628,42.93610719461322,42.39798653958131
42.714088695427314,991095,23203,0.2,0.8,3.9506172839506184e-08,3.335993124944123,42.64752708853713,41.14587079555336
42.80538922155689,786335,18370,0.2,0.9,3.9506172839506184e-08,4.536418382828267,42.7857761636411,42.1634153601482
42.85499231294841,2006985,46832,0.3,0.3,3.45679012345679e-08,0.7897280435776314,43.10995106843032,43.63141120486767
42.80977739397429,1784654,41688,0.3,0.4,3.45679012345679e-08,1.0418464001956487,43.11327807893271,43.00552428434395
42.84300939751774,1563727,36499,0.3,0.5,3.45679012345679e-08,1.2867811736249442,42.927383585301214,41.87517191280537
42.74321345342319,1357268,31754,0.3,0.6,3.45679012345679e-08,1.5238551221072782,42.643818041898946,41.53087685361761
42.77500187842813,1138585,26618,0.3,0.7,3.45679012345679e-08,1.7804540248006577,42.92077441290396,41.525894608897566
42.87264150943396,936167,21836,0.3,0.8,3.45679012345679e-08,2.180266386740503,43.00098742073495,42.74094024365694
42.8587148154903,704983,16449,0.3,0.9,3.45679012345679e-08,3.55575364861844,43.02068557305119,42.21156779960629
42.79703480336726,1703108,39795,0.4,0.4,2.9629629629629632e-08,0.7085130668623151,42.73796941687308,44.20638500696405
42.81758687700046,1498273,34992,0.4,0.5,2.9629629629629632e-08,0.8719887568651667,42.71494960093108,42.629724070768184
42.874681507308566,1278866,29828,0.4,0.6,2.9629629629629632e-08,1.040004453643959,43.034712105388635,43.79037171207374
42.775385231138685,1068743,24985,0.4,0.7,2.9629629629629632e-08,1.2474029062976228,42.73802673097547,46.003108620070904
42.89990476667836,855896,19951,0.4,0.8,2.9629629629629632e-08,1.6219243544110258,42.35826432292947,41.765922095861974
42.93592722926765,646658,15061,0.4,0.9,2.9629629629629632e-08,2.9708773973745735,42.886542791254755,41.089972258702154
42.789587721938005,1421898,33230,0.5,0.5,2.4691358024691362e-08,0.6201145069582775,41.876548465998404,43.031465779360296
43.14197224975223,1218847,28252,0.5,0.6,2.4691358024691362e-08,0.744131224208421,43.11978837285289,43.447141352361115
42.74844467327412,996338,23307,0.5,0.7,2.4691358024691362e-08,0.9109181462991323,42.8137699845147,43.17484210182748
42.895018659743634,793086,18489,0.5,0.8,2.4691358024691362e-08,1.2404784212959301,43.38734563409055,42.62421234532868
42.88315765866786,573648,13377,0.5,0.9,2.4691358024691362e-08,2.41573522184363,42.933650394299605,44.97896971416915
42.92236778262979,1150019,26793,0.6,0.6,1.9753086419753092e-08,0.5231371636115855,42.41741380581267,50.6253236374305
42.70993316432358,926592,21695,0.6,0.7,1.9753086419753092e-08,0.6491258279171364,42.4619084570744,41.41556897900242
42.60703008638666,715159,16785,0.6,0.8,1.9753086419753092e-08,0.9168332207542773,42.38087703265818,48.124996579688606
42.75527971726575,496004,11601,0.6,0.9,1.9753086419753092e-08,1.8573740195087889,42.3692709461055,46.572100673331796
43.04943269855551,861290,20007,0.7,0.7,1.4814814814814819e-08,0.41573522184362866,43.742626434989916,63.017944845497205
42.97473268405639,630998,14683,0.7,0.8,1.4814814814814819e-08,0.6073740195087887,43.02244599862689,46.412340286866296
42.54145465429512,426393,10023,0.7,0.9,1.4814814814814819e-08,1.2953945291203475,42.93208424409632,38.33142928717379
42.79141738680848,579353,13539,0.8,0.8,9.876543209876543e-09,0.29539452912034764,39.63008708315573,34.16129591155003
42.76797583081571,353905,8275,0.8,0.9,9.876543209876543e-09,0.7293182678690191,42.75838077758591,32.69044319096038
43.02531830821016,293992,6833,0.9,0.9,4.938271604938271e-09,0.1585650787404291,42.89297796156172,174.09193892509097
42.80593782279831,2569298,60022,0.1,0.1,4.4444444444444454e-08,0.9347016640011662,42.82476435816142,41.956288513614915
