m,M,delta_suppression,epsilon_suppression,original_average,difference_laplace_supression,difference_gaussian_supression
0.1,0.9,2.0250405006075078e-10,8.029507033393072,4.165871658716587,3.902406282437507e-05,0.0001927980746758
0.1,0.8,2.0250405006075078e-10,7.055250284336993,4.165871658716587,4.4982188525395806e-05,0.0002246756119852
0.1,0.7,2.0250405006075078e-10,6.08177132813837,4.165871658716587,4.6354080772489e-05,0.0002572808196821
0.1,0.6,2.0250405006075078e-10,5.10760714011372,4.165871658716587,5.926837898755576e-05,0.0003107258321525
0.1,0.5,2.0250405006075078e-10,4.132792239318897,4.165871658716587,7.283253084637898e-05,0.0003727659682335
0.1,0.4,2.0250405006075078e-10,3.15735860038312,4.165871658716587,9.750783934750742e-05,0.0005168133160606
0.1,0.3,2.0250405006075078e-10,2.181335897592665,4.165871658716587,0.0001464025896409,0.0006907444094293
0.1,0.2,2.0250405006075078e-10,1.204751720390425,4.165871658716587,0.0002642696167422,0.0013836837424396
0.1,0.1,2.0250405006075078e-10,0.2276317642164649,4.165871658716587,0.0014371867511617,0.0068944871956447
0.2,0.9,1.8000360005400076e-10,4.184423931697394,4.165871658716587,7.779424766141654e-05,0.0003875971834309
0.2,0.8,1.8000360005400076e-10,3.0573522448022388,4.165871658716587,9.795826882239972e-05,0.0005334827024883
0.2,0.7,1.8000360005400076e-10,2.5817713281383705,4.165871658716587,0.0001155595373652,0.0006158782301861
0.2,0.6,1.8000360005400076e-10,2.1076071401137213,4.165871658716587,0.0001434491814952,0.0007747795476304
0.2,0.5,1.8000360005400076e-10,1.632792239318899,4.165871658716587,0.0001872051438595,0.0009615725619361
0.2,0.4,1.8000360005400076e-10,1.1573586003831198,4.165871658716587,0.0002730083965649,0.00135801564762
0.2,0.3,1.8000360005400076e-10,0.6813358975926657,4.165871658716587,0.0004687154772118,0.0023158161576106
0.2,0.2,1.8000360005400076e-10,0.2047517203904248,4.165871658716587,0.0014219647982193,0.008172397736277
0.3,0.9,1.5750315004725067e-10,3.1680653810118526,4.165871658716587,8.752528532349524e-05,0.0005089039429906
0.3,0.8,1.5750315004725067e-10,1.831825639857176,4.165871658716587,0.0001714772080832,0.0008653843309392
0.3,0.7,1.5750315004725067e-10,1.4170752389268555,4.165871658716587,0.0002082257323184,0.00110357336592
0.3,0.6,1.5750315004725067e-10,1.107607140113722,4.165871658716587,0.0002770841012279,0.0014748723896601
0.3,0.5,1.5750315004725067e-10,0.7994589059855651,4.165871658716587,0.0003752626521813,0.0019526532876947
0.3,0.4,1.5750315004725067e-10,0.4906919337164526,4.165871658716587,0.0006035633956941,0.0032284629906532
0.3,0.3,1.5750315004725067e-10,0.1813358975926657,4.165871658716587,0.0016343493368183,0.0087849844167557
0.4,0.9,1.3500270004050048e-10,2.594772667953173,4.165871658716587,0.0001218800855722,0.0006298786877092
0.4,0.8,1.3500270004050048e-10,1.2587587916218517,4.165871658716587,0.0002569945855856,0.0013131347326508
0.4,0.7,1.3500270004050048e-10,0.8614405358423055,4.165871658716587,0.000379298121023,0.0019233282079562
0.4,0.6,1.3500270004050048e-10,0.608842815911888,4.165871658716587,0.0005003549620615,0.0027309734735312
0.4,0.5,1.3500270004050048e-10,0.3827922393188983,4.165871658716587,0.0008429066833813,0.0042266903175892
0.4,0.4,1.3500270004050048e-10,0.1573586003831194,4.165871658716587,0.0019411057701275,0.0100954503898189
0.5,0.9,1.1250225003375047e-10,2.0817713281383723,4.165871658716587,0.0001406860927247,0.0007985771260178
0.5,0.8,1.1250225003375047e-10,0.8877165533807067,4.165871658716587,0.0003544288689815,0.0018041401173497
0.5,0.7,1.1250225003375047e-10,0.5281196739639038,4.165871658716587,0.0005824428328816,0.0031598255180334
0.5,0.6,1.1250225003375047e-10,0.3136329875496595,4.165871658716587,0.0009947206019394,0.0050015321497758
0.5,0.5,1.1250225003375047e-10,0.1327922393188982,4.165871658716587,0.0023685164747575,0.0125657989291547
0.6,0.9,9.000180002700038e-11,1.5685987243816586,4.165871658716587,0.0001990706660161,0.0010977001792154
0.6,0.8,9.000180002700038e-11,0.5900686112809056,4.165871658716587,0.0004811940646401,0.002763189518067
0.6,0.7,9.000180002700038e-11,0.2850142197159535,4.165871658716587,0.0011343453985377,0.0055056005685645
0.6,0.6,9.000180002700038e-11,0.1076071401137224,4.165871658716587,0.0030008137737764,0.0138275511791279
0.7,0.9,6.750135002025028e-11,1.0552502843369955,4.165871658716587,0.0002983927752234,0.001508893566007
0.7,0.8,6.750135002025028e-11,0.3190579893061341,4.165871658716587,0.0009273396797542,0.005335487810979
0.7,0.7,6.750135002025028e-11,0.08177132813837,4.165871658716587,0.0040344696964889,0.0199005917544333
0.8,0.9,4.5000900013500165e-11,0.5417212500717896,4.165871658716587,0.0005776357205602,0.0033284711366685
