m,M,delta prima,epsilon prima,average,metric_laplacian,metric_gaussian
0.1,0.9,2.0250405006075078e-10,8.195987029498756,4.165871658716587,-0.0020663557979938,-0.0025132284246218
0.1,0.8,2.0250405006075078e-10,7.2953945291203475,4.165871658716587,-0.0022700577599268,-0.0021738414183865
0.1,0.7,2.0250405006075078e-10,6.415735221843628,4.165871658716587,-0.001244145074823,-0.0007073997824811
0.1,0.6,2.0250405006075078e-10,5.523137163611585,4.165871658716587,-0.0018899917563004,-0.0014866715275552
0.1,0.5,2.0250405006075078e-10,4.620114506958277,4.165871658716587,-0.0003687012508972,-0.0007722173942816
0.1,0.4,2.0250405006075078e-10,3.7085130668623134,4.165871658716587,-0.0004214016762675,0.0002718706247977
0.1,0.3,2.0250405006075078e-10,2.789728043577631,4.165871658716587,-2.9074974260190345e-05,0.0008534969002731
0.1,0.2,2.0250405006075078e-10,1.8648397251631903,4.165871658716587,-0.0004757637449062,-0.0005488540036573
0.1,0.1,2.0250405006075078e-10,0.9347016640011662,4.165871658716587,0.0001373883478752,0.0019119328179204
0.2,0.9,1.8000360005400074e-10,4.536418382828267,4.165871658716587,-0.002491373916607,-0.0022984578951747
0.2,0.8,1.8000360005400074e-10,3.335993124944123,4.165871658716587,-0.0014965707866121,-0.0008003310927149
0.2,0.7,1.8000360005400074e-10,2.915735221843628,4.165871658716587,-0.0001146753931964,0.0002273973886701
0.2,0.6,1.8000360005400074e-10,2.523137163611585,4.165871658716587,-0.0002286571250502,-0.000472841448194
0.2,0.5,1.8000360005400074e-10,2.1201145069582776,4.165871658716587,-0.0012033122289389,-0.0006958206903719
0.2,0.4,1.8000360005400074e-10,1.7085130668623152,4.165871658716587,-0.0003463527154918,7.289818044586838e-05
0.2,0.3,1.8000360005400074e-10,1.289728043577631,4.165871658716587,0.0002625644313569,0.0004674013288994
0.2,0.2,1.8000360005400074e-10,0.8648397251631903,4.165871658716587,0.0003396053574986,7.849246399249665e-05
0.3,0.9,1.5750315004725062e-10,3.55575364861844,4.165871658716587,-0.0007523272571408,-0.0002365467006733
0.3,0.8,1.5750315004725062e-10,2.180266386740503,4.165871658716587,-0.001848405280989,-0.0011057792960009
0.3,0.7,1.5750315004725062e-10,1.7804540248006575,4.165871658716587,-0.0005806688350968,-0.0001272329076691
0.3,0.6,1.5750315004725062e-10,1.5238551221072782,4.165871658716587,-0.0016645637121079,-0.0020199686445554
0.3,0.5,1.5750315004725062e-10,1.2867811736249442,4.165871658716587,-0.0008721260922959,0.0003323885234731
0.3,0.4,1.5750315004725062e-10,1.041846400195649,4.165871658716587,8.53040017121387e-05,0.000804436228635
0.3,0.3,1.5750315004725062e-10,0.7897280435776314,4.165871658716587,0.0006053345190455,0.0016039236682754
0.4,0.9,1.3500270004050048e-10,2.970877397374573,4.165871658716587,-0.0012061511156336,-0.001332528895289
0.4,0.8,1.3500270004050048e-10,1.6219243544110258,4.165871658716587,-0.0012417269645563,-0.0001824151435032
0.4,0.7,1.3500270004050048e-10,1.2474029062976228,4.165871658716587,-0.0020441438791003,0.0009470132781981
0.4,0.6,1.3500270004050048e-10,1.040004453643959,4.165871658716587,-0.0009830535521881,0.000497100791593
0.4,0.5,1.3500270004050048e-10,0.8719887568651667,4.165871658716587,-3.281744883842918e-06,0.0017168481769216
0.4,0.4,1.3500270004050048e-10,0.7085130668623151,4.165871658716587,-0.000391889898859,0.0032758290764656
0.5,0.9,1.1250225003375044e-10,2.41573522184363,4.165871658716587,-0.0008985863561052,-0.0003558506752678
0.5,0.8,1.1250225003375044e-10,1.24047842129593,4.165871658716587,-0.0010546092275527,-0.0002886238906851
0.5,0.7,1.1250225003375044e-10,0.9109181462991324,4.165871658716587,-0.0011380095597584,-4.211598455228227e-05
0.5,0.6,1.1250225003375044e-10,0.744131224208421,4.165871658716587,-0.0009087147546322,0.0006698565988649
0.5,0.5,1.1250225003375044e-10,0.6201145069582775,4.165871658716587,0.0004894353531481,0.0021230856370246
0.6,0.9,9.000180002700037e-11,1.8573740195087889,4.165871658716587,-0.0017151124604088,0.0003871689245515
0.6,0.8,9.000180002700037e-11,0.9168332207542772,4.165871658716587,-0.001024685794408,-0.0003939297644892
0.6,0.7,9.000180002700037e-11,0.6491258279171364,4.165871658716587,-0.0022289604961374,-0.0003775269301016
0.6,0.6,9.000180002700037e-11,0.5231371636115855,4.165871658716587,-0.0009890122420861,-0.0008022658596011
0.7,0.9,6.750135002025028e-11,1.2953945291203477,4.165871658716587,-0.0030234900296353,-0.0017522437786734
0.7,0.8,6.750135002025028e-11,0.6073740195087887,4.165871658716587,0.0010920984844506,0.0010140892089545
0.7,0.7,6.750135002025028e-11,0.4157352218436286,4.165871658716587,-0.002798983860428,-0.0004882130678698
0.8,0.9,4.5000900013500165e-11,0.7293182678690191,4.165871658716587,-0.0015207004437174,0.002084428178116
0.8,0.8,4.5000900013500165e-11,0.2953945291203476,4.165871658716587,-0.0004270697720674,-0.0010520971346856
0.9,0.9,2.250045000675009e-11,0.1585650787404291,4.165871658716587,-0.004835155965889,0.0068087548470883
