m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,2.0250405006075078e-10,8.195987029498752,-0.0292898494489497,-0.0234395455802969,-0.032322431198155,-0.0391499699936851
0.1,0.8,2.0250405006075078e-10,7.295394529120346,-0.030363730980982,-0.0243667980150253,-0.0330742834094281,-0.0386389493947693
0.1,0.7,2.0250405006075078e-10,6.415735221843628,-0.0270108845444917,-0.021403542478012,-0.0297962594521377,-0.0357480874908306
0.1,0.6,2.0250405006075078e-10,5.523137163611585,-0.0246545683295031,-0.016758315586306,-0.0275632132936998,-0.0313684062447301
0.1,0.5,2.0250405006075078e-10,4.620114506958276,-0.0236885290824999,-0.015664716496706,-0.026555489266553,-0.0299850719646675
0.1,0.4,2.0250405006075078e-10,3.7085130668623134,-0.0209307584294026,-0.0144875057111804,-0.0234784004273404,-0.0263617612342879
0.1,0.3,2.0250405006075078e-10,2.789728043577632,-0.0189728631362806,-0.0117161395364494,-0.0213155361055561,-0.0232560094383928
0.1,0.2,2.0250405006075078e-10,1.8648397251631903,-0.0157490603549829,-0.0103567501926543,-0.0171241180444339,-0.0173632878778805
0.1,0.1,2.0250405006075078e-10,0.9347016640011662,-0.0154828688952745,-0.0095102827170212,-0.0156577629229534,-0.0079380705130808
0.2,0.9,1.8000360005400076e-10,4.536418382828267,-0.0376857206476301,-0.0326380388334551,-0.0402048193310211,-0.0461229297751691
0.2,0.8,1.8000360005400076e-10,3.335993124944124,-0.035978627240194,-0.0291391277130096,-0.0384849756054578,-0.0418219057789098
0.2,0.7,1.8000360005400076e-10,2.915735221843628,-0.0339126970997466,-0.0279779747119218,-0.0361639546863448,-0.0389061748335168
0.2,0.6,1.8000360005400076e-10,2.5231371636115854,-0.0312934660598161,-0.0254681211282217,-0.0335198569583455,-0.034674194488341
0.2,0.5,1.8000360005400076e-10,2.1201145069582776,-0.0296027737191375,-0.0219517082266425,-0.0314413869895573,-0.0320748158896676
0.2,0.4,1.8000360005400076e-10,1.7085130668623156,-0.026726437726622,-0.0209642544650125,-0.0280693965753953,-0.0284372767260289
0.2,0.3,1.8000360005400076e-10,1.289728043577631,-0.0244837354284466,-0.0184795462736442,-0.0253924096258185,-0.0222021063207845
0.2,0.2,1.8000360005400076e-10,0.86483972516319,-0.0245236527509947,-0.0190776100024324,-0.023760880594443,-0.0146058613714711
0.3,0.9,1.5750315004725067e-10,3.555753648618441,-0.0435038219458003,-0.0397733265569255,-0.0460443823656364,-0.0511645199614622
0.3,0.8,1.5750315004725067e-10,2.1802663867405028,-0.0415308954065498,-0.0401731838368148,-0.0435847142108664,-0.0490752700041772
0.3,0.7,1.5750315004725067e-10,1.780454024800658,-0.0413686337806031,-0.0347726780156543,-0.0432621173484445,-0.0417722314065717
0.3,0.6,1.5750315004725067e-10,1.5238551221072782,-0.037230343811371,-0.0300758406653573,-0.0382727034342985,-0.0357762815823112
0.3,0.5,1.5750315004725067e-10,1.2867811736249446,-0.037750885638971,-0.0312767230840721,-0.0388150042911897,-0.0361865250631537
0.3,0.4,1.5750315004725067e-10,1.041846400195649,-0.0350756428799043,-0.0304411746741618,-0.0348754593277379,-0.0302262193272948
0.3,0.3,1.5750315004725067e-10,0.7897280435776313,-0.0313145708044434,-0.0229440634706461,-0.0305356555725812,-0.0190434248259557
0.4,0.9,1.3500270004050048e-10,2.970877397374573,-0.0514207048269405,-0.0478421356004672,-0.0536423239541541,-0.0599923831728819
0.4,0.8,1.3500270004050048e-10,1.621924354411025,-0.0499305757943027,-0.0468808226757824,-0.0511669234499406,-0.0525958539106191
0.4,0.7,1.3500270004050048e-10,1.2474029062976228,-0.047825461593823,-0.041165861093527,-0.048155231214993,-0.0441646018686429
0.4,0.6,1.3500270004050048e-10,1.040004453643959,-0.0468249572336592,-0.0417282559477429,-0.046826209627549,-0.0407724889456354
0.4,0.5,1.3500270004050048e-10,0.8719887568651661,-0.0400618416989715,-0.0353939050515764,-0.0395680384075168,-0.032453259746965
0.4,0.4,1.3500270004050048e-10,0.7085130668623149,-0.0417636058764976,-0.0348105365462563,-0.0403497406669801,-0.0270500611062499
0.5,0.9,1.1250225003375047e-10,2.41573522184363,-0.0639281205013757,-0.0624780596676206,-0.0660402551334929,-0.0726278619330637
0.5,0.8,1.1250225003375047e-10,1.24047842129593,-0.0575084034683104,-0.0564442628327139,-0.0581150996166986,-0.0596583311783488
0.5,0.7,1.1250225003375047e-10,0.910918146299132,-0.0551053798814549,-0.0523234588298293,-0.0549010311782247,-0.0504944518787332
0.5,0.6,1.1250225003375047e-10,0.7441312242084209,-0.0550367250891945,-0.0488682507472719,-0.0536261484890691,-0.0403295056100958
0.5,0.5,1.1250225003375047e-10,0.6201145069582774,-0.0519771998387504,-0.047904837955531,-0.0498403280086947,-0.0370685234580822
0.6,0.9,9.000180002700038e-11,1.8573740195087889,-0.0736422668295459,-0.0772194068872721,-0.0755290107768701,-0.0852055621226187
0.6,0.8,9.000180002700038e-11,0.916833220754278,-0.0639873577663162,-0.0660530035127097,-0.0636892486867645,-0.0647864652997338
0.6,0.7,9.000180002700038e-11,0.6491258279171362,-0.0632317133465644,-0.063373029928912,-0.061186956770297,-0.0541785384583328
0.6,0.6,9.000180002700038e-11,0.5231371636115855,-0.0622181384211725,-0.0630188804178611,-0.059488026697,-0.0503873495002708
0.7,0.9,6.750135002025028e-11,1.2953945291203477,-0.0876144713160871,-0.0966865947448517,-0.0884397326881634,-0.0984719092843033
0.7,0.8,6.750135002025028e-11,0.6073740195087886,-0.0826357564797529,-0.0822524223426059,-0.0798996976532321,-0.069266782836233
0.7,0.7,6.750135002025028e-11,0.4157352218436286,-0.0810781607448208,-0.0839604989798212,-0.0766157631347716,-0.0587965892446031
0.8,0.9,4.5000900013500165e-11,0.7293182678690189,-0.1111970769334095,-0.1323498814901311,-0.1104991403812545,-0.1229944216085151
0.8,0.8,4.5000900013500165e-11,0.2953945291203476,-0.1101843485394524,-0.1277783769010297,-0.1014746621991586,-0.0823768617139664
0.9,0.9,2.250045000675008e-11,0.1585650787404291,-0.1701196032223578,-0.2290485915477245,-0.1518834703669082,-0.1279694365533971
0.01,0.09,2.2275445506682583e-10,8.941426744254743,-0.0067129260853743,-0.0020165887938552,-0.0097667172529945,-0.0174000134641617
0.01,0.08,2.2275445506682583e-10,7.94810689975826,-0.0066740677853645,-0.0038170707593364,-0.009601588842246,-0.0180394995484435
0.01,0.07,2.2275445506682583e-10,6.954742726741888,-0.0056508029116544,-0.0020196946989586,-0.0084753479054248,-0.0171718595551021
0.01,0.06,2.2275445506682583e-10,5.96133480964445,-0.0050264946961222,-0.0035747863332468,-0.0077762901725707,-0.0173093265365065
0.01,0.05,2.2275445506682583e-10,4.967883721422339,-0.0052421658710233,-0.002479575963329,-0.0078247285130959,-0.0163778583674549
0.01,0.04,2.2275445506682583e-10,3.974390023848344,-0.0044720800251146,-0.0012662358458652,-0.0068784242701618,-0.0143315597397858
0.01,0.03,2.2275445506682583e-10,2.9808542678008307,-0.0040761700882742,-0.0018431928657649,-0.00603350264492,-0.0127380907953435
