m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS
0.1,0.9,2.0250405006075078e-10,8.029507033393072,-0.0259186411282222,-0.0309100456844751,-0.038127457950618,-0.1001700595047613
0.1,0.8,2.0250405006075078e-10,7.055250284336993,-0.0244544720217955,-0.0297180605049666,-0.0372997560291761,-0.100005568127663
0.1,0.7,2.0250405006075078e-10,6.08177132813837,-0.022308066726519,-0.0229215626398725,-0.0345670152532606,-0.0882909233207974
0.1,0.6,2.0250405006075078e-10,5.10760714011372,-0.0207504907230706,-0.0209085260124319,-0.0333173777341225,-0.0873671812405845
0.1,0.5,2.0250405006075078e-10,4.132792239318897,-0.0170043746050479,-0.0249930738403357,-0.0307244611904906,-0.0861580371189816
0.1,0.4,2.0250405006075078e-10,3.15735860038312,-0.0160834670589299,-0.0201000592298314,-0.0289245030356065,-0.082913188714423
0.1,0.3,2.0250405006075078e-10,2.181335897592665,-0.0132890464278425,-0.0133126006560478,-0.0252054327164908,-0.07777881735494
0.1,0.2,2.0250405006075078e-10,1.204751720390425,-0.010473514704922,-0.0100969800064542,-0.0217583986889451,-0.0660806127962111
0.1,0.1,2.0250405006075078e-10,0.2276317642164649,-0.0103725465370355,-0.0103863162590645,-0.0088233780114624,-1.8792229796699145e-05
0.2,0.9,1.8000360005400076e-10,4.184423931697394,-0.0333343154685346,-0.0519731234006736,-0.046089515390882,-0.1173684925106208
0.2,0.8,1.8000360005400076e-10,3.0573522448022388,-0.0308848624800434,-0.0441800779918841,-0.0437670902209929,-0.1090224638458235
0.2,0.7,1.8000360005400076e-10,2.5817713281383705,-0.0299083415167076,-0.0441785977299933,-0.0412479423571669,-0.1033156019460055
0.2,0.6,1.8000360005400076e-10,2.1076071401137213,-0.0278360401562197,-0.0484157230601711,-0.0384638892588395,-0.1059436139789399
0.2,0.5,1.8000360005400076e-10,1.632792239318899,-0.0241498280024032,-0.0317752899182226,-0.0363703988448555,-0.0929692860201094
