m,M,original average,difference_laplacian_supression,difference_gaussian_supression
0.1,0.9,4.165871658716588,0.0103407560966627,0.0111834495088688
0.1,0.8,4.165871658716588,0.0085595176958165,0.0089982692741878
0.1,0.7,4.165871658716588,0.0064142347393207,0.007016305792388
0.1,0.6,4.165871658716588,0.0069252419482025,0.0075163121899034
0.1,0.5,4.165871658716588,0.0052694916936416,0.0059284183684966
0.1,0.4,4.165871658716588,0.0051352588097755,0.0053430522660661
0.1,0.3,4.165871658716588,0.0037893984390606,0.004157729609323
0.1,0.2,4.165871658716588,0.0034215293099025,0.0036757906271666
0.1,0.1,4.165871658716588,0.0026885569983597,0.0027985760355228
0.2,0.9,4.165871658716588,0.0098340611590392,0.0111107931748736
0.2,0.8,4.165871658716588,0.0102154468864969,0.0104971009611198
0.2,0.7,4.165871658716588,0.0093901020716942,0.0096851620731025
0.2,0.6,4.165871658716588,0.007048058902378,0.0080406776325009
0.2,0.5,4.165871658716588,0.0060301017845731,0.0060083017219919
0.2,0.4,4.165871658716588,0.0052179915121997,0.0054740744131261
0.2,0.3,4.165871658716588,0.005478832327603,0.0054201281769903
0.2,0.2,4.165871658716588,0.0036358284623803,0.0039327135431054
0.3,0.9,4.165871658716588,0.0108851076726248,0.0111107986406703
0.3,0.8,4.165871658716588,0.0099835183600013,0.0113759333088672
0.3,0.7,4.165871658716588,0.0087079556803554,0.0092143992072921
0.3,0.6,4.165871658716588,0.0085003810299711,0.0090709173038912
0.3,0.5,4.165871658716588,0.0072873809886391,0.0078453900569795
0.3,0.4,4.165871658716588,0.0061491553710308,0.0062304552817787
0.3,0.3,4.165871658716588,0.0050043969033608,0.0052454403463182
0.4,0.9,4.165871658716588,0.011309213739169,0.0128327926490062
0.4,0.8,4.165871658716588,0.0109828579588804,0.0114494381985392
0.4,0.7,4.165871658716588,0.0099899721698791,0.0106005695736156
0.4,0.6,4.165871658716588,0.0083030113686802,0.0088039796047061
0.4,0.5,4.165871658716588,0.0069352524631463,0.0078933206800187
0.4,0.4,4.165871658716588,0.006450179677114,0.0073379100531448
0.5,0.9,4.165871658716588,0.0130441387296604,0.0143801403140931
0.5,0.8,4.165871658716588,0.0123213433266478,0.012781925114199
0.5,0.7,4.165871658716588,0.0102288547942818,0.0113336369296674
0.5,0.6,4.165871658716588,0.0079007248458062,0.0089889598655096
0.5,0.5,4.165871658716588,0.0090151791147261,0.0096500472913697
0.6,0.9,4.165871658716588,0.0172238976159176,0.0179553932086031
0.6,0.8,4.165871658716588,0.0110731046415679,0.0119908340261067
0.6,0.7,4.165871658716588,0.0106544757351855,0.0118509099717792
0.6,0.6,4.165871658716588,0.0094632138103395,0.0106969131574022
0.7,0.9,4.165871658716588,0.0179366315042958,0.0199815077107079
0.7,0.8,4.165871658716588,0.0157714100319174,0.0166230385502557
0.7,0.7,4.165871658716588,0.0109317789834834,0.0120428246171265
0.8,0.9,4.165871658716588,0.0190793194994926,0.023086341311346
0.8,0.8,4.165871658716588,0.0190794879732202,0.0208297963993469
0.9,0.9,4.165871658716588,0.0251496367137356,0.0306873046796511
