m,M,delta_suppression,epsilon_suppression,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,8.946242031631923e-07,8.195987029498752,139.88104711199523,119.54886147346863,0.0644654480774125,0.0697901000991328,0.4701103413364563,0.4682253045603302
0.1,0.8,8.946242031631923e-07,7.295394529120346,139.88104711199523,119.54886147346863,0.0740072259073742,0.0736389268413059,0.4680058862008006,0.4731973116905895
0.1,0.7,8.946242031631923e-07,6.415735221843628,139.88104711199523,119.54886147346863,0.0827478820456772,0.0843436361363909,0.4679543907172871,0.4683484369275207
0.1,0.6,8.946242031631923e-07,5.523137163611585,139.88104711199523,119.54886147346863,0.0977654494750204,0.0943819578763412,0.4771444532737754,0.4721920089218465
0.1,0.5,8.946242031631923e-07,4.620114506958276,139.88104711199523,119.54886147346863,0.1139567344078363,0.1158759950900001,0.4813100816598932,0.479877727137076
0.1,0.4,8.946242031631923e-07,3.7085130668623134,139.88104711199523,119.54886147346863,0.1487166400090778,0.1498886902148148,0.4878510979142427,0.4924625540942275
0.1,0.3,8.946242031631923e-07,2.789728043577632,139.88104711199523,119.54886147346863,0.2082072619589939,0.1974054101523437,0.5123096610588971,0.4970242752592979
0.1,0.2,8.946242031631923e-07,1.8648397251631903,139.88104711199523,119.54886147346863,0.2832494713193981,0.3086097588582652,0.5259381440518062,0.552610413225989
0.1,0.1,8.946242031631923e-07,0.9347016640011662,139.88104711199523,119.54886147346863,0.5770547407997176,0.5779667869793069,0.7249977599823739,0.7235357599506606
0.2,0.9,7.952215139228375e-07,4.536418382828267,139.88104711199523,119.54886147346863,0.1204479971443012,0.1176436733134324,0.4882160260932526,0.4806448586469407
0.2,0.8,7.952215139228375e-07,3.335993124944124,139.88104711199523,119.54886147346863,0.1634831622587512,0.1657222168221243,0.4957545359085456,0.4947255254570238
0.2,0.7,7.952215139228375e-07,2.915735221843628,139.88104711199523,119.54886147346863,0.1851705579832921,0.1858284539199691,0.4982531281803673,0.499899370449108
0.2,0.6,7.952215139228375e-07,2.5231371636115854,139.88104711199523,119.54886147346863,0.2070582855023701,0.219041002253517,0.5040195861217439,0.5214977162331815
0.2,0.5,7.952215139228375e-07,2.1201145069582776,139.88104711199523,119.54886147346863,0.2458228718007246,0.2539017967461302,0.5225405237837365,0.5166533112841784
0.2,0.4,7.952215139228375e-07,1.7085130668623156,139.88104711199523,119.54886147346863,0.3292086879915107,0.3281869230130325,0.551437682506355,0.5665590638228283
0.2,0.3,7.952215139228375e-07,1.289728043577631,139.88104711199523,119.54886147346863,0.401039260955543,0.4381194362687419,0.5888838067910653,0.6224040952332224
0.2,0.2,7.952215139228375e-07,0.86483972516319,139.88104711199523,119.54886147346863,0.6202797737271003,0.6189610475041601,0.7560825428338038,0.7799094026429777
0.3,0.9,6.958188246824828e-07,3.555753648618441,139.88104711199523,119.54886147346863,0.1499716128154942,0.1457538508092082,0.4805637914735316,0.4802252083566012
0.3,0.8,6.958188246824828e-07,2.1802663867405028,139.88104711199523,119.54886147346863,0.2555105230306589,0.2516697516435286,0.5180927245806061,0.5168812424946536
0.3,0.7,6.958188246824828e-07,1.780454024800658,139.88104711199523,119.54886147346863,0.2787969702419393,0.3117278856108811,0.5400765254711302,0.5652350335358626
0.3,0.6,6.958188246824828e-07,1.5238551221072782,139.88104711199523,119.54886147346863,0.362730112698609,0.3459543362154827,0.5850511811591139,0.5755979641315797
0.3,0.5,6.958188246824828e-07,1.2867811736249446,139.88104711199523,119.54886147346863,0.4217390969679963,0.4079612393825556,0.614408370004167,0.6136882599253368
0.3,0.4,6.958188246824828e-07,1.041846400195649,139.88104711199523,119.54886147346863,0.5184777342371157,0.4969683887974085,0.6959469529229224,0.6857375771192176
0.3,0.3,6.958188246824828e-07,0.7897280435776313,139.88104711199523,119.54886147346863,0.6988132741805514,0.6908789681840918,0.8228779294672345,0.8165081725214193
0.4,0.9,5.964161354421282e-07,2.970877397374573,139.88104711199523,119.54886147346863,0.1875121070433584,0.1828890855488219,0.4976463680422121,0.5080909634010042
0.4,0.8,5.964161354421282e-07,1.621924354411025,139.88104711199523,119.54886147346863,0.3389944247080655,0.3509341779325529,0.5681730159461684,0.5682209737693418
0.4,0.7,5.964161354421282e-07,1.2474029062976228,139.88104711199523,119.54886147346863,0.4187776529646431,0.4372728318602376,0.6269297241262841,0.6398493040148532
0.4,0.6,5.964161354421282e-07,1.040004453643959,139.88104711199523,119.54886147346863,0.5215574520978218,0.5497104653959176,0.6815372507754407,0.7044665800629755
0.4,0.5,5.964161354421282e-07,0.8719887568651661,139.88104711199523,119.54886147346863,0.5936613893534891,0.5752741355807528,0.7413684220048323,0.7422766747987091
0.4,0.4,5.964161354421282e-07,0.7085130668623149,139.88104711199523,119.54886147346863,0.7547906978525659,0.7485544480293636,0.8797739331028488,0.8634445550725522
0.5,0.9,4.970134462017736e-07,2.41573522184363,139.88104711199523,119.54886147346863,0.2189623224436038,0.2174971494142932,0.5090996753999106,0.5065295718785263
0.5,0.8,4.970134462017736e-07,1.24047842129593,139.88104711199523,119.54886147346863,0.4278293182388666,0.4303244516226798,0.6089606697737795,0.6369456294602475
0.5,0.7,4.970134462017736e-07,0.910918146299132,139.88104711199523,119.54886147346863,0.601134906794928,0.6147886693419369,0.7546785220693694,0.7596662870110336
0.5,0.6,4.970134462017736e-07,0.7441312242084209,139.88104711199523,119.54886147346863,0.7445945491298724,0.718792113320976,0.8766971066086747,0.827163683506748
0.5,0.5,4.970134462017736e-07,0.6201145069582774,139.88104711199523,119.54886147346863,0.920476409658494,0.8648802804066759,1.0240366462081574,0.9597253636870708
0.6,0.9,3.976107569614187e-07,1.8573740195087889,139.88104711199523,119.54886147346863,0.297160034505521,0.2781840833178496,0.530347504425649,0.536127214686225
0.6,0.8,3.976107569614187e-07,0.916833220754278,139.88104711199523,119.54886147346863,0.5957042737909594,0.6159902803105992,0.7709199983267585,0.7524232329900572
0.6,0.7,3.976107569614187e-07,0.6491258279171362,139.88104711199523,119.54886147346863,0.8149512052595348,0.8473330076176409,0.9341613335629204,0.963614301458705
0.6,0.6,3.976107569614187e-07,0.5231371636115855,139.88104711199523,119.54886147346863,1.022959135805532,1.0876607202485615,1.1150170047745305,1.194158430328594
0.7,0.9,2.982080677210641e-07,1.2953945291203477,139.88104711199523,119.54886147346863,0.4244890856107394,0.3958060034297348,0.6249227980158878,0.6011429388953291
