m,M,delta prima,epsilon prima,average weight,average_laplacian weight,average_gaussian weight,average volume,average_laplacian volume,average_gaussian volume,L2_laplacian_prima,L2_gaussian_prima
0.1,0.9,8.946242031631922e-07,8.195987029498756,1503.489986337656,1503.7442258268302,1504.4676766034002,200.1541735914337,200.11454539501705,199.63103948466247,3.745977534612537,4.482885911379771
0.1,0.8,8.946242031631922e-07,7.2953945291203475,1503.489986337656,1503.098443011992,1501.5204634679733,200.1541735914337,200.2327380604328,200.85790431563797,3.107171720928229,1.7457975175350524
0.1,0.7,8.946242031631922e-07,6.415735221843628,1503.489986337656,1504.5934285289434,1499.834631407792,200.1541735914337,199.79189655783557,199.54833184283,4.598140134135933,0.4809894962369228
0.1,0.6,8.946242031631922e-07,5.523137163611585,1503.489986337656,1503.01301728897,1503.0314659213016,200.1541735914337,200.06186438351511,200.57375149009968,3.0136523332294143,3.085283845030198
0.1,0.5,8.946242031631922e-07,4.620114506958277,1503.489986337656,1503.6432667796346,1499.0359046325705,200.1541735914337,200.3752398448125,199.4121534684572,3.662539797561784,1.1291782065493556
0.1,0.4,8.946242031631922e-07,3.7085130668623143,1503.489986337656,1504.6829046010264,1502.3281047626754,200.1541735914337,200.02951365786527,200.24304629686333,4.68299760391939,2.3407569904649894
0.1,0.3,8.946242031631922e-07,2.789728043577631,1503.489986337656,1502.483419919904,1499.4769981282043,200.1541735914337,200.97778110241745,199.99193429901047,2.6689755305773537,0.5230640624570129
0.1,0.2,8.946242031631922e-07,1.8648397251631903,1503.489986337656,1503.954693879689,1505.169713346642,200.1541735914337,200.13110201847573,200.09465273983548,3.956866363841551,5.1705797767373545
0.1,0.1,8.946242031631922e-07,0.9347016640011662,1503.489986337656,1502.2497792158335,1545.743089149792,200.1541735914337,200.5315158333913,206.89185969416295,2.311712698659206,46.25935510801949
0.2,0.9,7.952215139228376e-07,4.536418382828267,1503.489986337656,1504.707436022107,1504.3032604293344,200.1541735914337,199.8287556870372,199.6113977157481,4.710549704328861,4.320771002726361
0.2,0.8,7.952215139228376e-07,3.335993124944123,1503.489986337656,1502.946284798432,1504.8996028196302,200.1541735914337,200.21881043374492,200.35481881564183,2.954398774605024,4.912433631313695
0.2,0.7,7.952215139228376e-07,2.915735221843628,1503.489986337656,1502.4254531181286,1501.945076943205,200.1541735914337,200.1825135170609,199.2989143368869,2.4323104267650333,2.067569931589184
0.2,0.6,7.952215139228376e-07,2.523137163611585,1503.489986337656,1503.8812150683746,1501.1640065133083,200.1541735914337,200.27373056888567,198.8895650627416,3.8908557967779056,1.6087190285778017
0.2,0.5,7.952215139228376e-07,2.1201145069582776,1503.489986337656,1503.6942641329906,1483.3586875205417,200.1541735914337,199.69273752313265,200.0229672964988,3.7070200584824935,16.641328328462556
0.2,0.4,7.952215139228376e-07,1.7085130668623152,1503.489986337656,1503.6732764218584,1509.752728981674,200.1541735914337,199.713305045871,200.16550555132065,3.68444753906254,9.75413320995264
0.2,0.3,7.952215139228376e-07,1.289728043577631,1503.489986337656,1504.3805917653128,1473.912359881106,200.1541735914337,199.899043960366,199.39291752884648,4.38175493795182,26.094702836010907
0.2,0.2,7.952215139228376e-07,0.8648397251631903,1503.489986337656,1499.269128189398,1485.071556356774,200.1541735914337,200.03081895637447,199.6306428145435,0.7315212994881696,14.93301223261484
0.3,0.9,6.958188246824828e-07,3.55575364861844,1503.489986337656,1507.0051335118333,1503.3313893625605,200.1541735914337,199.4046849431357,201.5672075813688,7.030383740276114,3.681615771380916
0.3,0.8,6.958188246824828e-07,2.180266386740503,1503.489986337656,1504.3619494977547,1517.48910028536,200.1541735914337,199.93914390814788,200.19864985268669,4.36237399644714,17.49022843062227
0.3,0.7,6.958188246824828e-07,1.7804540248006575,1503.489986337656,1502.3727091750764,1495.5805482372782,200.1541735914337,200.7035806118862,199.36620738820005,2.474828177250626,4.464666500176351
0.3,0.6,6.958188246824828e-07,1.5238551221072782,1503.489986337656,1504.0208777856024,1490.8483743804654,200.1541735914337,200.75540434372493,203.4444809938773,4.091221564431455,9.778379252069522
0.3,0.5,6.958188246824828e-07,1.2867811736249442,1503.489986337656,1503.042286728077,1515.8040349506198,200.1541735914337,200.2331702720643,197.9015709115905,3.0512090901162328,15.942738954128757
0.3,0.4,6.958188246824828e-07,1.041846400195649,1503.489986337656,1503.6902354235622,1512.374936786969,200.1541735914337,200.067167822776,197.12451758937004,3.6908466505301374,12.704623551106463
0.3,0.3,6.958188246824828e-07,0.7897280435776314,1503.489986337656,1502.678206765922,1525.9755780141943,200.1541735914337,200.14452082456287,200.9992232626992,2.6821032324956224,25.994789868360645
0.4,0.9,5.964161354421281e-07,2.970877397374573,1503.489986337656,1504.3455327132654,1503.814624307434,200.1541735914337,199.9822393094515,199.22152567703705,4.345569008103326,3.893248114156053
0.4,0.8,5.964161354421281e-07,1.6219243544110258,1503.489986337656,1496.6925268300736,1516.0008699984176,200.1541735914337,200.0758191687674,199.70620867470487,3.3083420796731,16.003566916443273
0.4,0.7,5.964161354421281e-07,1.2474029062976228,1503.489986337656,1503.210852510623,1493.42336120759,200.1541735914337,199.83353864373868,198.52173129934263,3.215164572475626,6.74073112927486
0.4,0.6,5.964161354421281e-07,1.040004453643959,1503.489986337656,1502.132108464627,1487.00209320815,200.1541735914337,201.3447751795969,199.48667774100196,2.5207750372839617,13.008039080169
0.4,0.5,5.964161354421281e-07,0.8719887568651667,1503.489986337656,1498.6208730171074,1502.8661636777972,200.1541735914337,199.37405963329252,210.24752519584496,1.514527179556772,10.640801984220984
0.4,0.4,5.964161354421281e-07,0.7085130668623151,1503.489986337656,1504.072832610926,1478.96525125866,200.1541735914337,198.38065779496333,197.22619840562552,4.382948169170599,21.21684778416089
0.5,0.9,4.970134462017734e-07,2.41573522184363,1503.489986337656,1503.4453465961576,1526.571369651175,200.1541735914337,200.44170605184632,199.88483427059208,3.473545365169781,26.571619225869824
0.5,0.8,4.970134462017734e-07,1.24047842129593,1503.489986337656,1503.5224525770482,1486.9938277228796,200.1541735914337,200.9335663075615,202.37192813878596,3.644066164076514,13.22068683532365
0.5,0.7,4.970134462017734e-07,0.9109181462991324,1503.489986337656,1502.4417328376533,1491.4784269737552,200.1541735914337,200.11295574244716,201.52631322154937,2.4443441349830497,8.65718423576048
0.5,0.6,4.970134462017734e-07,0.744131224208421,1503.489986337656,1494.240368314163,1529.8947085501452,200.1541735914337,200.84558897675856,204.08822481745588,5.821372507760461,30.17295447012418
0.5,0.5,4.970134462017734e-07,0.6201145069582775,1503.489986337656,1517.6766850554934,1517.745627289432,200.1541735914337,200.8512400004196,200.4820689235345,17.697169380706573,17.75217390469316
0.6,0.9,3.976107569614188e-07,1.8573740195087889,1503.489986337656,1506.770933378886,1508.2363747337668,200.1541735914337,199.73251860607567,198.94972899632884,6.776214659926861,8.303067983353127
0.6,0.8,3.976107569614188e-07,0.9168332207542772,1503.489986337656,1503.4892803936373,1518.8581370436773,200.1541735914337,200.8917662667311,203.1650452831923,3.6014337061649524,19.121894372754277
0.6,0.7,3.976107569614188e-07,0.6491258279171364,1503.489986337656,1502.6886008261768,1504.7080528361062,200.1541735914337,200.58040898570732,200.86500524848748,2.75053612832265,4.786856545529452
0.6,0.6,3.976107569614188e-07,0.5231371636115855,1503.489986337656,1497.610145016135,1488.300179341703,200.1541735914337,199.1978368284284,200.3410644558633,2.5208872639866766,11.704790831081455
0.7,0.9,2.982080677210641e-07,1.2953945291203477,1503.489986337656,1499.0074715307126,1498.0861580872004,200.1541735914337,200.3404394047217,202.718606814044,1.0492910705010932,3.324697561667071
0.7,0.8,2.982080677210641e-07,0.6073740195087887,1503.489986337656,1499.4724818590992,1508.1362778409891,200.1541735914337,200.33455061072027,203.98134128191808,0.6246595073420262,9.05815077755254
0.7,0.7,2.982080677210641e-07,0.4157352218436286,1503.489986337656,1497.25033418133,1377.776963910176,200.1541735914337,199.8864953801751,196.1469803996028,2.7520075241690587,122.28375325878528
0.8,0.9,1.9880537848070934e-07,0.7293182678690191,1503.489986337656,1505.005127826043,1480.850138613904,200.1541735914337,200.3977127265476,203.52548529235128,5.02090429782205,19.4716778335427
0.8,0.8,1.9880537848070934e-07,0.2953945291203476,1503.489986337656,1499.5065688764166,1528.8848532087177,200.1541735914337,198.9053621991549,185.9780251269044,1.200710701526268,32.1084182766902
0.9,0.9,9.94026892403547e-08,0.1585650787404291,1503.489986337656,1503.2305551849377,1515.102739494651,200.1541735914337,205.5982758823573,199.2849603245149,6.463526874540823,15.119656807639718
