m,M,delta_suppression,epsilon_suppression,difference_laplace_M_minus_MoS,difference_gaussian_M_minus_MoS,difference_laplace_MChangeEpsDelta_minus_MoS,difference_gaussian_MChangeEpsDelta_minus_MoS,difference_laplace_M_minus_MoS_realmean,difference_gaussian_M_minus_MoS_realmean,difference_laplace_MChangeEpsDelta_minus_MoS_realmean,difference_gaussian_MChangeEpsDelta_minus_MoS_realmean
0.4,0.5,5.964161354421282e-07,1.6946183296263162,-0.3563570967280209,-0.376261209990302,-0.3116774875898807,-0.3315401808086958,-0.2402265028790406,-0.2373255129215099,-0.2150558422094385,-0.2227460197931771
0.4,0.4,5.964161354421282e-07,1.5755571176516256,-0.3596615369678252,-0.3379661387473431,-0.2881304151528711,-0.2563077097027265,-0.2221700782767068,-0.1993257683367184,-0.1646505973557508,-0.168324822199247
0.5,0.9,4.970134462017736e-07,3.07045861030067,-0.5378489985843894,-0.5828243721647062,-0.6306150819485616,-0.6832539678885015,-0.3763257150445406,-0.4142964044133925,-0.4363445127439739,-0.4476470125601886
0.5,0.8,4.970134462017736e-07,1.929451895067676,-0.5358588926653785,-0.6069759340851371,-0.5356140980666736,-0.5740876024954835,-0.3732198281529605,-0.4162199587931361,-0.3894767046193881,-0.3871888049118424
0.5,0.7,4.970134462017736e-07,1.6326197279579056,-0.54617591366885,-0.5193128114660066,-0.4901449211059516,-0.4655829241284457,-0.3829630009582104,-0.3685555224308664,-0.3678660994550137,-0.370362378506971
0.5,0.6,4.970134462017736e-07,1.5124860248224743,-0.5091844688922686,-0.5082146494041127,-0.4210080292018027,-0.417050487361012,-0.3568656373953014,-0.3372953606190088,-0.2944790088334319,-0.3040953043384995
0.5,0.5,4.970134462017736e-07,1.433780830483027,-0.4648122744524094,-0.4874627243842847,-0.3715198407877706,-0.3731659249284568,-0.3294750482392165,-0.3222447423192253,-0.2874143975482696,-0.2732217062376055
0.6,0.9,3.976107569614187e-07,2.454458592793241,-0.7093387112671694,-0.7799784772678037,-0.762824527144231,-0.8344951032592638,-0.5369031455292663,-0.5682016379854102,-0.5500806936770567,-0.5956014223510196
0.6,0.8,3.976107569614187e-07,1.5704586103006697,-0.7460764560126032,-0.6860444034160541,-0.6428687897157921,-0.6190540080217167,-0.558491324677637,-0.5129919972960316,-0.5009592779712077,-0.4742456863850057
0.6,0.7,3.976107569614187e-07,1.3448557771330518,-0.715934005285574,-0.7270759748380771,-0.5765733585435178,-0.5964960829036912,-0.5432809498326939,-0.5653866563517407,-0.47068877709785,-0.4872403802328864
0.6,0.6,3.976107569614187e-07,1.268530136416278,-0.6909240143566914,-0.7110662860177759,-0.5273398355981243,-0.5339681920053635,-0.4951655714944911,-0.5351023289141091,-0.4054757123782365,-0.4281223321842617
0.7,0.9,2.982080677210641e-07,1.823214990557691,-1.0744474066388758,-1.029492161007235,-1.0316115570621278,-1.013237891820002,-0.8623998284769092,-0.8650506631639107,-0.8320181912905965,-0.8334947633375521
0.7,0.8,2.982080677210641e-07,1.204458592793241,-1.0149053375973285,-0.936469812103116,-0.8297550829310802,-0.7444285578163427,-0.8224387946245868,-0.785845066979327,-0.6956110042912982,-0.6513737583267452
0.7,0.7,2.982080677210641e-07,1.0704586103006697,-0.9775891256673472,-1.006470130939174,-0.765344094834236,-0.7939589602584552,-0.8152978557136579,-0.8368394646945229,-0.6864827147688018,-0.731572186692286
0.8,0.9,1.9880537848070934e-07,1.1721065788577625,-1.5717353864845995,-1.5109796708084702,-1.382779595912241,-1.332794706669324,-1.3880499919516445,-1.2870258919213544,-1.2661340392534792,-1.1888352530840989
0.8,0.8,1.9880537848070934e-07,0.823214990557691,-1.517789337160405,-1.5109928916741682,-1.126307359361285,-1.1180230029146672,-1.3064309291109324,-1.3164265334480594,-1.0590124684327558,-1.0372700332053393
0.9,0.9,9.94026892403547e-08,0.4940287080441788,-2.888539595692184,-3.0151810907983663,-2.062732437777939,-2.197984265839181,-2.6933063679869647,-2.794871792552729,-2.0474800896543623,-2.125154612172373
0.01,0.09,9.840866234795116e-07,9.918985343586185,-0.0177538764330271,-0.0105132836706916,-0.2289595298628199,-0.2313204594730656,0.0111589539783157,0.0026968814806239,-0.0550519034395743,-0.0571599574231893
0.01,0.08,9.840866234795116e-07,8.928317968810918,-0.0186857303459057,-0.0160381925763115,-0.2286863230878826,-0.2269136444749822,-0.0154230773456914,-0.0012345645887856,-0.0498373054164544,-0.0604155022070148
0.01,0.07,9.840866234795116e-07,7.937564300863371,-0.0249338552681112,-0.0068813514579965,-0.214733841428609,-0.2097154707516948,-0.0096887088057735,0.0306855335486361,-0.0533122237037889,-0.0441296186028276
0.01,0.06,9.840866234795116e-07,6.946725920936476,-0.016032165657034,-0.0179885856415897,-0.2095492049423836,-0.2055223354842504,0.0093575090381718,0.0352227748326433,-0.0516163502815125,-0.0405014869266989
0.01,0.05,9.840866234795116e-07,5.955804367157967,-0.0217570482899644,0.0101394234036978,-0.2006853607160026,-0.192360020797532,0.0073588721429074,0.0277330358655963,-0.0467306186028887,-0.0307241567096644
0.01,0.04,9.840866234795116e-07,4.964801136140165,-0.0226830911091076,-0.0300321866310785,-0.1794671206711343,-0.1748092799819174,0.0004204026050347,-0.0109328997014859,-0.0375993803550061,-0.048010956692237
0.01,0.03,9.840866234795116e-07,3.9737176844607256,0.0050730496865025,0.0053532637687925,-0.1388845372657386,-0.1466457192967674,0.0085670287868488,0.0180780983469386,-0.0454335307077112,-0.0320457799909569
0.01,0.02,9.840866234795116e-07,2.982555430077965,-0.016449191313857,-0.0139949184863612,-0.0996634929849248,-0.10052682814107,0.0123246584222294,0.0102686367265011,-0.0111542541771123,-0.0278269239288653
0.01,0.01,9.840866234795116e-07,1.9913157536841373,0.0102836831880648,-0.0064546104071775,-0.0096441270261353,-0.0049900855315301,0.0384359732843467,0.0086865741705771,0.0370354992360496,0.0028283623166359
0.02,0.09,9.741463545554763e-07,5.418985343586186,-0.0140123543303994,-0.0364538454985183,-0.1800224680027211,-0.2027357698730101,0.0021059468630776,0.0125808755398948,-0.0494059661633757,-0.036037214475924
0.02,0.08,9.741463545554763e-07,4.928317968810917,-0.0105885605897518,-0.0209177009991614,-0.1846432592579509,-0.1928600580443533,-0.0002389350855964,-0.0010045645717892,-0.0507723610311153,-0.053451007104263
0.02,0.07,9.741463545554763e-07,4.437564300863365,-0.0240414886373672,-0.038981172307746,-0.1839047921959852,-0.1825679535421374,-0.0045982633553106,0.0054008083722225,-0.0621998319310499,-0.064434885403814
0.02,0.06,9.741463545554763e-07,3.9467259209364793,-0.0365336798761908,-0.0123496348991608,-0.1692982471728134,-0.1430979189096181,0.0034355917895381,0.0208164487823182,-0.0566927426800651,-0.0410140543286108
0.02,0.05,9.741463545554763e-07,3.455804367157969,-0.0279191536702625,-0.0004646096328894,-0.1460125815165082,-0.1229130538769092,-0.0074094193359229,-0.0006059366312285,-0.0426170215665384,-0.0421994157209164
0.02,0.04,9.741463545554763e-07,2.9648011361401645,-0.0338001942213656,-0.0584773024071581,-0.1173654464919908,-0.1237831869995624,-0.000120958611923,0.0035321977808193,-0.0239962319303497,-0.0241623557615603
0.02,0.03,9.741463545554763e-07,2.473717684460726,-0.0311241823130827,-0.0060226147550673,-0.0708326668470284,-0.0420148374210941,0.0073778613395517,0.0198021504667444,-0.0215023444416857,-0.0105591521850374
0.02,0.02,9.741463545554763e-07,1.9825554300779653,-0.0363533004858498,-0.026725036633145,-0.0196914839838266,-0.0082986491218307,-0.0021377028885037,0.0109677925246094,0.0034623215465772,0.0278287052781949
0.03,0.09,9.642060856314406e-07,3.918985343586185,-0.0257626764616832,-0.0258090315718305,-0.1630967528079177,-0.1702254173749245,0.0034477884600355,-0.0055599724368589,-0.0493015156673436,-0.0537227893840986
0.03,0.08,9.642060856314406e-07,3.5949846354775845,-0.0243999347260557,-0.0341845705817024,-0.1443988558602161,-0.1663077283902208,0.0326038369069736,-0.0094870764316883,-0.0208105466522175,-0.0587831076803926
0.03,0.07,9.642060856314406e-07,3.2708976341967,-0.0250024675548424,-0.020286016599059,-0.1417878519296778,-0.1295263495539866,0.0096299855266126,-0.0128763751902142,-0.0533912634303683,-0.0238117449269553
0.03,0.06,9.642060856314406e-07,2.946725920936479,-0.0346925453664885,-0.0445478990359666,-0.123903747474357,-0.1306387379104891,0.0088195993741769,-0.0066861567882453,-0.0415896263802654,-0.040844439267703
0.03,0.05,9.642060856314406e-07,2.622471033824637,-0.0196671596785862,-0.0050284538356948,-0.0936527124843084,-0.0821707450845309,-0.0037363388576205,0.0062151411206947,-0.0344727459597375,-0.0115408086444339
0.03,0.04,9.642060856314406e-07,2.2981344694734966,-0.0333689185461185,-0.0304229213997733,-0.0660158026340023,-0.0673276164822591,-0.0222347829590846,0.0244512864748539,-0.0196044080894791,0.0063487112930742
0.03,0.03,9.642060856314406e-07,1.9737176844607265,-0.018653624565752,-0.0197031030958196,-0.0210014164619087,-0.0274846194415648,0.0082441539590071,-0.0039488541709761,0.0079630518038606,-0.0165936729037754
0.04,0.09,9.542658167074057e-07,3.168985343586184,-0.0404928351001928,-0.0502598794346316,-0.1403781038114235,-0.1432568225142561,0.002858431123194,-0.0158706437457584,-0.0275834092169113,-0.0477832324796597
0.04,0.08,9.542658167074057e-07,2.928317968810916,-0.0298879335043438,-0.0329955027837478,-0.1314409721355654,-0.1210657783579085,-0.0146229360907261,-0.0007427790672728,-0.0598681185876496,-0.0268956395366
0.04,0.07,9.542658167074057e-07,2.6875643008633654,-0.0567588082015153,-0.030194919933532,-0.1202764606156374,-0.1196154371313691,-0.0213238031150424,-0.029788322021387,-0.0381731481766635,-0.0503939547738843
0.04,0.06,9.542658167074057e-07,2.446725920936479,-0.0243074054487233,-0.0345528498245393,-0.0723367729915846,-0.0704734449802644,0.0032811998356715,0.0008272681600965,-0.0285122451086381,-0.0143320143122605
0.04,0.05,9.542658167074057e-07,2.20580436715797,-0.0474427073349722,-0.0511197859625967,-0.0803074634318739,-0.0702030351811299,-0.0089338342978421,-0.0096198433584802,-0.0338627010979754,-0.0155223421918544
0.04,0.04,9.542658167074057e-07,1.964801136140164,-0.0388401097060869,-0.0197586837349421,-0.0422639869445496,-0.0268285141857279,0.0075872885076037,0.0149554822031423,-0.0088237121778451,-0.0113372812385884
0.05,0.09,9.4432554778337e-07,2.718985343586183,-0.0523223830072163,-0.0446861729433502,-0.128130379833908,-0.1238114438846255,0.0104353320676353,-0.0145657482432688,-0.0305705387612893,-0.0414061846208813
0.05,0.08,9.4432554778337e-07,2.5283179688109167,-0.0212347931292201,-0.0432504596069382,-0.103284936372161,-0.1022011119530814,0.0136969353143711,0.0147840963938605,-0.0350082605340738,-0.0160194950128993
0.05,0.07,9.4432554778337e-07,2.337564300863366,-0.0547276158911363,-0.0490747152827315,-0.0854086709061962,-0.0860211579834549,-0.0040144185245641,-0.0026497894404907,-0.0172789180849434,-0.0221248428135339
0.05,0.06,9.4432554778337e-07,2.146725920936478,-0.0616955147803134,-0.0474192077214821,-0.0632530436956534,-0.0604806523885116,-0.0370678630821579,-0.0188987816332057,-0.0399210855360525,-0.0237766348958836
0.05,0.05,9.4432554778337e-07,1.9558043671579688,-0.0281921132905769,-0.0559305532558594,-0.0224586709110898,-0.0503781435201647,0.0129318142654705,-0.0051692840940613,0.025478699282033,0.0072655818121786
0.06,0.09,9.343852788593344e-07,2.418985343586184,-0.0434801168873436,-0.0495537684271105,-0.0922893705937457,-0.0995153648117744,-0.0167732925388361,-0.0030890108123292,-0.0434707729683395,-0.0446690177591951
0.06,0.08,9.343852788593344e-07,2.261651302144251,-0.0641641946693235,-0.0552332188873209,-0.0852472802123288,-0.0749792093580976,-0.0019647534033191,-0.013853312401676,-0.0270804579672526,-0.0461794234201459
0.06,0.07,9.343852788593344e-07,2.104230967530033,-0.0412934792600515,-0.0615361011988455,-0.0615538526237278,-0.0734188742833027,-0.0214528271579351,-0.0018472960394827,-0.0297485484158078,-0.0138179282068273
0.06,0.06,9.343852788593344e-07,1.9467259209364776,-0.0639215098608362,-0.0415587691458285,-0.0299493258576185,-0.0498338019972952,-0.0257135994052249,-0.0039026246772422,0.022425280345149,-0.003909625892585
0.07,0.09,9.244450099352984e-07,2.20469962930047,-0.0626721982336788,-0.0885073258572272,-0.0787077302682919,-0.1051637779171251,-0.0453633548467637,-0.0143752535999389,-0.0401312823912822,-0.0316249128721233
0.07,0.08,9.244450099352984e-07,2.071175111668061,-0.0653589889946084,-0.0373978521204861,-0.0719236801742919,-0.0523192488406006,-0.0213648951158861,-0.0082241873951866,-0.0260477959756881,0.0084913472850951
0.07,0.07,9.244450099352984e-07,1.937564300863367,-0.0657977056288258,-0.0563126160010969,-0.0484405989065941,-0.0508065689974132,-0.015130786938272,0.0002692895897685,-0.0154424467572851,-0.0204326789767006
0.08,0.09,9.145047410112634e-07,2.043985343586184,-0.0534411122766139,-0.0659687666127252,-0.0354605231769902,-0.0697150579838821,0.0051735829263214,-0.0252576469414439,0.0269544139447519,-0.0219179925273713
0.08,0.08,9.145047410112634e-07,1.9283179688109169,-0.068749513741771,-0.0921560019305035,-0.0435629701059336,-0.0701029428861265,-0.008780478375187,-0.0138503740033154,-0.0001207916793773,-0.0134188025255194
0.09,0.09,9.045644720872276e-07,1.918985343586184,-0.0595583754538303,-0.0708863849920451,-0.0514936334692839,-0.0678205395986762,-0.0101897166786001,-0.0271552315769444,-0.0190322094645923,-0.0322087850992166
