m,M,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,100.13666576832377,79.7445391952011,0.193285688724423,0.2003104080051987,0.3468133559428573,0.3383435492739325
0.1,0.8,100.13666576832377,79.7445391952011,0.1913822913487158,0.1985472749792209,0.3387685216747167,0.3431031957296127
0.1,0.7,100.13666576832377,79.7445391952011,0.1886697447718839,0.1984485597978162,0.3356689064564673,0.3439264392093295
0.1,0.6,100.13666576832377,79.7445391952011,0.1860168825213223,0.1965792869786288,0.3374008277052273,0.3457800908464808
0.1,0.5,100.13666576832377,79.7445391952011,0.190538044990483,0.1869144976140512,0.3459857565532709,0.3408122063878989
0.1,0.4,100.13666576832377,79.7445391952011,0.1918489189015164,0.1893207585309497,0.3446536155192277,0.3377426956916093
0.1,0.3,100.13666576832377,79.7445391952011,0.2011424635542297,0.1933825034445527,0.3427359331859518,0.3441883511592141
0.1,0.2,100.13666576832377,79.7445391952011,0.1909191490147987,0.1938703985936594,0.3485687349684911,0.3430150653092237
0.1,0.1,100.13666576832377,79.7445391952011,0.1904049390110014,0.1905559392706652,0.3413115055277534,0.3352677811301731
0.2,0.9,100.13666576832377,79.7445391952011,0.1945456886191036,0.188756953262478,0.3357125856544147,0.3414029169311114
0.2,0.8,100.13666576832377,79.7445391952011,0.1858103456554093,0.1971388228567362,0.3287303853439056,0.3425677408174488
0.2,0.7,100.13666576832377,79.7445391952011,0.1936103730939518,0.197871239401939,0.3419535027798773,0.3519581485468639
0.2,0.6,100.13666576832377,79.7445391952011,0.1948587120622401,0.1919906499708767,0.344855566148903,0.3447724510080081
0.2,0.5,100.13666576832377,79.7445391952011,0.1847494430834392,0.1937136899135673,0.3342544492329237,0.3448452762826803
0.2,0.4,100.13666576832377,79.7445391952011,0.1960517907666945,0.1993289281618283,0.350683563385926,0.3363227947016887
0.2,0.3,100.13666576832377,79.7445391952011,0.1943725156472172,0.1887759065670445,0.3368883656058686,0.3433439679965887
0.2,0.2,100.13666576832377,79.7445391952011,0.1887689356672899,0.1984111368036471,0.3312933819213439,0.3407594080334676
0.3,0.9,100.13666576832377,79.7445391952011,0.1914251388811803,0.1956027650155483,0.3339788819479893,0.3441813237323032
0.3,0.8,100.13666576832377,79.7445391952011,0.1990430750425345,0.195866978533431,0.3440332478683999,0.3396895579729711
0.3,0.7,100.13666576832377,79.7445391952011,0.1956720466232142,0.1869870069702962,0.3446108997715736,0.3396320313992861
0.3,0.6,100.13666576832377,79.7445391952011,0.1962103673114107,0.1884707388260035,0.3321040727869039,0.341090091497396
0.3,0.5,100.13666576832377,79.7445391952011,0.1906547894272929,0.185671558040274,0.3463877016836708,0.3432928990077083
0.3,0.4,100.13666576832377,79.7445391952011,0.1862603077491434,0.1841667880375924,0.3352069864561033,0.3347288167950574
0.3,0.3,100.13666576832377,79.7445391952011,0.1867207801194607,0.1892035257124163,0.3381742291904073,0.3405570984801717
0.4,0.9,100.13666576832377,79.7445391952011,0.1880977329909892,0.1895651693092267,0.340482605084434,0.3422932517302238
0.4,0.8,100.13666576832377,79.7445391952011,0.1863907815831661,0.1923274817872972,0.3399699033239758,0.3362510574670862
0.4,0.7,100.13666576832377,79.7445391952011,0.1972737515179273,0.1923780203848901,0.3428241568226147,0.3446913001857481
0.4,0.6,100.13666576832377,79.7445391952011,0.1940807788093718,0.1861371780436921,0.3465194155999624,0.3330600899431099
0.4,0.5,100.13666576832377,79.7445391952011,0.193762411339895,0.196520157492088,0.3353921421896508,0.3464432758230601
0.4,0.4,100.13666576832377,79.7445391952011,0.1898936500525753,0.1957157842299865,0.3419398359841367,0.3447865682466803
0.5,0.9,100.13666576832377,79.7445391952011,0.1895369996558296,0.1954672581634239,0.3423651737969486,0.3462918812544377
0.5,0.8,100.13666576832377,79.7445391952011,0.1990907758857805,0.1916164125592586,0.3469890706208769,0.3408511529188338
0.5,0.7,100.13666576832377,79.7445391952011,0.1850742042408643,0.1865540466654914,0.3417971360585119,0.3441651791719101
0.5,0.6,100.13666576832377,79.7445391952011,0.1873606478781282,0.1908931186919645,0.3345777540491405,0.3462384012321038
0.5,0.5,100.13666576832377,79.7445391952011,0.193055865491469,0.1881756026658122,0.3439066989647046,0.3306168465413757
0.6,0.9,100.13666576832377,79.7445391952011,0.1886646902587717,0.2029698539529363,0.335589205764664,0.3473464155832692
0.6,0.8,100.13666576832377,79.7445391952011,0.2026787441780494,0.193570209711423,0.3404246749014469,0.345788090768639
0.6,0.7,100.13666576832377,79.7445391952011,0.1911461956198973,0.1934261432303313,0.3410229040581904,0.3437887950458033
0.6,0.6,100.13666576832377,79.7445391952011,0.1971761735431395,0.190979781767723,0.3369936439654135,0.3393917119232558
