average weight,total_sum weight,average volume,total_sum volume,total_element,m,M,average_laplacian weight,average_gaussian weight,average_laplacian volume,average_gaussian volume,L2_laplacian_supression,L2_gaussian_supression
139.6560628661399,127785.297522518,119.48825015427713,109331.74889116356,915,0.1,0.1,139.80299277072066,142.27603603275458,119.48222931891762,119.29471785200965,0.5539840490274379,2.38280568462287
139.73384565252067,124502.85647639591,119.51044031920638,106483.80232441289,891,0.1,0.2,139.77036613505896,142.87736995342405,119.6266135823942,119.76882948845838,0.43834818213407845,2.8866412410055284
139.53082080495753,120415.09835467834,119.5517976292346,103173.20135402949,863,0.1,0.3,140.22607177614367,136.37500550343032,119.25282515081301,121.45631815188743,0.7806271217593935,3.906590285617026
139.84749543215108,120408.69356708208,119.76380294003422,103116.63433136948,861,0.1,0.4,139.57954497623072,139.7937671063791,119.56978207505189,122.36362358545995,0.6015562234400723,2.3726037301146152
139.75630830902523,119212.13098759852,119.7008286644939,102104.8068508133,853,0.1,0.5,139.65858223618622,138.55717808342155,120.06371196377232,120.61470838776651,0.3473115370605007,1.5683116670322976
139.9155955342597,113471.5479782846,119.4724099331646,96892.1244557965,811,0.1,0.6,139.37190607094314,133.63375836470874,118.73522364863899,119.31383960841275,1.4121477269323297,6.403112418339936
140.0116751548721,113829.49190091105,119.5649813281912,97206.32981981944,813,0.1,0.7,139.3652444965522,142.7925110237114,118.80278551388498,124.45283562525144,1.3550782541687032,5.256031099894487
139.4612985719898,109058.73548329604,119.60178990825692,93528.59970825692,782,0.1,0.8,139.0147116063406,143.983407403142,119.43411331636212,122.11742940836832,1.1362310317002478,4.5112129010754405
139.9279096874267,115300.5975824396,119.713729122023,98644.11279654696,824,0.1,0.9,139.8797848521814,140.38826862543198,119.35327351198644,119.67785913104707,0.657804554608281,0.5045069523253215
140.17396834451816,114662.30610581586,119.740778246836,97947.95660591184,818,0.2,0.2,139.7939074541539,143.17699712001075,118.80043220493368,120.19673847253699,1.2171429794455495,3.183082896679383
139.92666764789683,109422.65410065532,119.495661368262,93445.60718998087,782,0.2,0.3,139.30573995433664,142.04506917576322,118.4623227770721,119.07306310827569,1.6871420369713197,2.245332922952935
139.9896343708142,107372.04956241448,119.5087896732043,91663.2416793477,767,0.2,0.4,138.48207230656107,138.82748130088058,120.18880274461846,118.82474319981435,1.5296244502767036,1.6601291052708267
140.12790388894072,105656.43953226133,119.22015679371668,89891.99822246238,754,0.2,0.5,139.79255529876554,143.69341472192414,119.24318542472419,123.11969307863477,0.7847302755852886,4.834645510583756
140.11232894072998,105924.92067919188,119.44234245682075,90298.41089735649,756,0.2,0.6,139.56409193174326,135.75567114371248,118.79626262333295,121.50815240483423,1.2802341645013973,4.504314722188298
139.51453719131652,101566.58307527842,119.86962916607436,87265.09003290214,728,0.2,0.7,138.8269989303213,142.60506756430928,118.67980873417633,122.43704525907054,1.7660227880252417,3.567291214545639
139.62357687003708,99830.85746207651,119.64603151530928,85546.91253344613,715,0.2,0.8,140.26177322113386,139.7907933123358,119.85066800390936,117.83211639735704,0.30137230191113035,2.1779547177964096
139.85231315634095,101532.77935150352,119.29084644735148,86605.15452077717,726,0.2,0.9,138.68880264355704,143.001239741565,120.10586026686521,116.0262261165823,1.3154637599127468,4.979791046106432
140.00602197636348,98564.23947135988,119.27513552209862,83969.69540755743,704,0.3,0.3,139.7963729565386,135.84990835307622,119.29718020510931,116.85059704644483,0.7317237435801994,5.209798426208885
139.74608411893075,93350.38419144574,119.402806933762,79761.07503175302,668,0.3,0.4,139.96137343805722,136.42961310244118,119.6763743534428,121.51150246826231,0.3259226448056158,3.8771513137641067
140.32904061707592,92196.17968541889,119.29030801485273,78373.73236575823,657,0.3,0.5,139.2760304154775,140.30891693867864,121.7668821630002,119.56964246479633,1.9094513707455272,0.5297520958987861
140.16726987592335,93912.07081686864,120.15395822378424,80503.15200993544,670,0.3,0.6,140.3329670921169,139.07655120514673,119.8146747596651,119.7269566299038,0.3810676175404656,0.962969552306537
140.51495576530894,90913.17638015488,119.82116735061663,77524.29527584897,647,0.3,0.7,140.6205312719682,143.38651683213226,119.98282418545848,122.48335177513626,0.6207689329336836,4.199468096484066
139.5537695436347,88337.53612112076,119.93245143157264,75917.24175618548,633,0.3,0.8,139.26293590943996,139.33409148164236,120.05172451973971,118.27986598483331,0.7388767823767383,1.84453115586448
139.6190881930956,86424.21559152617,119.25646868642475,73819.75411689692,619,0.3,0.9,140.49284193544295,142.29223692243326,119.93558629156274,119.06518556880268,0.49703349903783794,2.4755258288575956
139.51070047448346,81613.75977757282,119.93476636781504,70161.83832517179,585,0.4,0.4,139.47344526677028,143.31684358193542,120.02150272062957,117.51904535518175,0.526993599658564,4.1420510977861476
