m,M,delta prima,epsilon prima,real_weight,real_volume,metric_laplacian,metric_gaussian
0.1,0.9,8.946242031631922e-07,8.195987029498756,140.0,120.0,-0.5297115899973825,-2.388526298994151
0.1,0.8,8.946242031631922e-07,7.2953945291203475,140.0,120.0,-0.3466975796709995,-1.9757332417733997
0.1,0.7,8.946242031631922e-07,6.415735221843628,140.0,120.0,-0.3935539449966952,-1.7216915151458048
0.1,0.6,8.946242031631922e-07,5.523137163611585,140.0,120.0,-0.3896200726375094,-1.9119442812176228
0.1,0.5,8.946242031631922e-07,4.620114506958277,140.0,120.0,-0.4109296986888059,-2.110789620089551
0.1,0.4,8.946242031631922e-07,3.7085130668623134,140.0,120.0,-0.3556429418414868,-1.7799541041006808
0.1,0.3,8.946242031631922e-07,2.789728043577631,140.0,120.0,-0.2471742977487122,-1.3251456865370312
0.1,0.2,8.946242031631922e-07,1.8648397251631903,140.0,120.0,-0.5258221756279353,-1.5118942032284142
0.1,0.1,8.946242031631922e-07,0.9347016640011662,140.0,120.0,0.8535856973235836,0.0214991146211258
0.2,0.9,7.952215139228376e-07,4.536418382828267,140.0,120.0,-0.3647975439335064,-2.296778287314071
0.2,0.8,7.952215139228376e-07,3.335993124944123,140.0,120.0,-0.4534372640263465,-2.530830605416001
0.2,0.7,7.952215139228376e-07,2.915735221843628,140.0,120.0,-0.1617568706015376,-2.8849564814436626
0.2,0.6,7.952215139228376e-07,2.523137163611585,140.0,120.0,-0.1511446586546352,-2.3281869332322978
0.2,0.5,7.952215139228376e-07,2.1201145069582776,140.0,120.0,-0.2711962582283367,-2.2878200064945404
0.2,0.4,7.952215139228376e-07,1.7085130668623152,140.0,120.0,-0.5300302440573439,-1.80525040852934
0.2,0.3,7.952215139228376e-07,1.289728043577631,140.0,120.0,-0.3614166199194497,0.1404571043678033
0.2,0.2,7.952215139228376e-07,0.8648397251631903,140.0,120.0,0.5639616332939043,-0.8381635941108669
0.3,0.9,6.958188246824828e-07,3.55575364861844,140.0,120.0,-0.3801073501315791,-1.7109196319933255
0.3,0.8,6.958188246824828e-07,2.180266386740503,140.0,120.0,-0.5324741680329332,-1.8141665440744377
0.3,0.7,6.958188246824828e-07,1.7804540248006575,140.0,120.0,-0.44559054498542,-1.0935359478403206
0.3,0.6,6.958188246824828e-07,1.5238551221072782,140.0,120.0,0.2285537677415519,-1.7336513829834108
0.3,0.5,6.958188246824828e-07,1.2867811736249442,140.0,120.0,-0.294406779264301,-1.5642405878734285
0.3,0.4,6.958188246824828e-07,1.041846400195649,140.0,120.0,-0.7050549172734684,-1.4358203191233712
0.3,0.3,6.958188246824828e-07,0.7897280435776314,140.0,120.0,-0.1283296945854358,-1.546491238032529
0.4,0.9,5.964161354421281e-07,2.970877397374573,140.0,120.0,-0.266200303245157,-3.388430820540062
0.4,0.8,5.964161354421281e-07,1.6219243544110258,140.0,120.0,-0.2289758349827328,-1.24810911886568
0.4,0.7,5.964161354421281e-07,1.2474029062976228,140.0,120.0,-0.6112146489591417,-2.894110490792829
0.4,0.6,5.964161354421281e-07,1.040004453643959,140.0,120.0,-0.214206291332227,-2.6032833691110104
0.4,0.5,5.964161354421281e-07,0.8719887568651667,140.0,120.0,0.0329052175362747,-3.182772092370697
0.4,0.4,5.964161354421281e-07,0.7085130668623151,140.0,120.0,-0.2149392096851322,-3.112652113076751
0.5,0.9,4.970134462017734e-07,2.41573522184363,140.0,120.0,-0.7388106409627826,-3.449002392950628
0.5,0.8,4.970134462017734e-07,1.24047842129593,140.0,120.0,-0.6587271864378695,-2.439672538706784
0.5,0.7,4.970134462017734e-07,0.9109181462991324,140.0,120.0,-0.2294922572740405,-2.016432044681585
0.5,0.6,4.970134462017734e-07,0.744131224208421,140.0,120.0,0.0169121631416782,3.359243922734837
0.5,0.5,4.970134462017734e-07,0.6201145069582775,140.0,120.0,-0.4858580947759897,2.168039254158752
0.6,0.9,3.976107569614188e-07,1.8573740195087889,140.0,120.0,-1.5017457630594475,-3.9547566020316
0.6,0.8,3.976107569614188e-07,0.9168332207542772,140.0,120.0,-1.1163284299846938,-2.230790001816924
0.6,0.7,3.976107569614188e-07,0.6491258279171364,140.0,120.0,-0.7306695347805623,-1.2498706489768594
0.6,0.6,3.976107569614188e-07,0.5231371636115855,140.0,120.0,0.679063275904505,-1.216212907748175
0.7,0.9,2.982080677210641e-07,1.2953945291203477,140.0,120.0,-1.2711522936728954,-7.520978257219747
0.7,0.8,2.982080677210641e-07,0.6073740195087887,140.0,120.0,-1.272160629881678,-5.180423835943751
0.7,0.7,2.982080677210641e-07,0.4157352218436286,140.0,120.0,-0.6813406969939013,-2.566373814691296
0.8,0.9,1.9880537848070934e-07,0.7293182678690191,140.0,120.0,-2.6053799420885966,-4.766884634436238
0.8,0.8,1.9880537848070934e-07,0.2953945291203476,140.0,120.0,-1.3687021327464024,-1.2495124834644429
0.9,0.9,9.94026892403547e-08,0.1585650787404291,140.0,120.0,1.4616683246206872,-6.040902987928781
