m,M,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,100.13666576832377,79.7445391952011,1.9710042923300823,1.9778573859449369,1.987909630165525,1.9994349442778852
0.1,0.8,100.13666576832377,79.7445391952011,1.9833793495947412,1.887304727867752,2.0137315507470963,1.914575882219168
0.1,0.7,100.13666576832377,79.7445391952011,1.9026158175047776,1.802198131856296,1.931048763873628,1.819424130533525
0.1,0.6,100.13666576832377,79.7445391952011,1.933353724440681,1.8057393804352395,1.963430791425516,1.8400760992270115
0.1,0.5,100.13666576832377,79.7445391952011,1.7782597248357674,1.811451169483807,1.794214247950105,1.8289956214544631
0.1,0.4,100.13666576832377,79.7445391952011,1.7357249949746676,1.864416984691367,1.758901023880909,1.8955049159493784
0.1,0.3,100.13666576832377,79.7445391952011,1.792952795953217,1.6983234035652557,1.8004802592273368,1.7336124510807325
0.1,0.2,100.13666576832377,79.7445391952011,1.6948043385129183,1.690223416511938,1.7216666370678069,1.708849184626253
0.1,0.1,100.13666576832377,79.7445391952011,1.765886399728915,1.65118588115869,1.7862001983929634,1.6582912367135787
0.2,0.9,100.13666576832377,79.7445391952011,2.2518241436547304,2.230081638761348,2.279562604149511,2.2459323570335754
0.2,0.8,100.13666576832377,79.7445391952011,2.177057183920136,2.195161154196695,2.204025932377694,2.2175534741814573
0.2,0.7,100.13666576832377,79.7445391952011,2.039230382867442,2.187745272664756,2.056915826101699,2.2021042077825994
0.2,0.6,100.13666576832377,79.7445391952011,2.0379679352222837,2.072753769802857,2.0554453837333178,2.081243315380939
0.2,0.5,100.13666576832377,79.7445391952011,1.9674769824477876,2.1216219681944204,1.9829535490391348,2.159393675695277
0.2,0.4,100.13666576832377,79.7445391952011,2.072206744776186,2.043852800095177,2.0952653198829267,2.0601090899573085
0.2,0.3,100.13666576832377,79.7445391952011,1.9616863614762663,1.9876402255142191,1.9822245768436704,2.016211417027183
0.2,0.2,100.13666576832377,79.7445391952011,1.890304404672476,1.92711494346664,1.89458270358766,1.9492398376512887
0.3,0.9,100.13666576832377,79.7445391952011,2.541314768342707,2.462816083319388,2.565053759093091,2.474842625645473
0.3,0.8,100.13666576832377,79.7445391952011,2.420127661331356,2.660317234806363,2.4405025988935605,2.679157554438643
0.3,0.7,100.13666576832377,79.7445391952011,2.445364442527106,2.367808102758867,2.4387290425875827,2.391406813492769
0.3,0.6,100.13666576832377,79.7445391952011,2.4003507141161537,2.20974047178986,2.415992386748468,2.217607299782462
0.3,0.5,100.13666576832377,79.7445391952011,2.2964228336178256,2.4346247672180743,2.300457938716244,2.4444324895486997
0.3,0.4,100.13666576832377,79.7445391952011,2.2549022070268547,2.3329661894553344,2.2613287254187835,2.34392803860734
0.3,0.3,100.13666576832377,79.7445391952011,2.1101113981471533,2.145818687984556,2.1309589765374137,2.142537473065317
0.4,0.9,100.13666576832377,79.7445391952011,2.9692311043598987,2.97217932372462,2.9782985791530905,2.984293899024949
0.4,0.8,100.13666576832377,79.7445391952011,2.7907875874883485,2.896689201234006,2.801179946153115,2.9148630137795406
0.4,0.7,100.13666576832377,79.7445391952011,2.826521424191004,2.6765723653184668,2.8423803185513323,2.7034039460642494
0.4,0.6,100.13666576832377,79.7445391952011,2.813038920596345,2.60045763915754,2.8274110206813625,2.623659189279187
0.4,0.5,100.13666576832377,79.7445391952011,2.674706610975888,2.636492215737769,2.6835340838822104,2.639931063304682
0.4,0.4,100.13666576832377,79.7445391952011,2.562770010951265,2.4741710900590754,2.559696686501812,2.4864916839194557
0.5,0.9,100.13666576832377,79.7445391952011,3.6227035240288754,3.518979365720291,3.625188745640075,3.514314366305868
0.5,0.8,100.13666576832377,79.7445391952011,3.2336693074203704,3.5017494735039727,3.229559849427453,3.5199534500663447
0.5,0.7,100.13666576832377,79.7445391952011,3.193330151902088,3.189823435816975,3.220897488809559,3.2077075817784366
0.5,0.6,100.13666576832377,79.7445391952011,3.199516077100254,3.2341705957355704,3.206802762690037,3.2682916016094503
0.5,0.5,100.13666576832377,79.7445391952011,3.0171848415259537,3.1568153881873093,3.0292155523423854,3.166001903390905
0.6,0.9,100.13666576832377,79.7445391952011,4.340085333464241,4.146740938542283,4.356459092481871,4.157527641086569
0.6,0.8,100.13666576832377,79.7445391952011,4.161067548335423,4.221860359067043,4.175660568614758,4.234778068943562
0.6,0.7,100.13666576832377,79.7445391952011,4.286579684562399,4.0976359669294204,4.297860815801156,4.10188059709353
0.6,0.6,100.13666576832377,79.7445391952011,4.004251416930485,4.034754526143922,4.000643692600075,4.041967747932388
0.7,0.9,100.13666576832377,79.7445391952011,5.774257250422303,5.387218668335745,5.776744649368904,5.389371019733892
0.7,0.8,100.13666576832377,79.7445391952011,5.343567564079169,5.337440087292319,5.34713053044263,5.33129631636806
0.7,0.7,100.13666576832377,79.7445391952011,5.313921686565887,5.086727731107521,5.32404140091959,5.090965815900704
0.8,0.9,100.13666576832377,79.7445391952011,8.653937184391115,8.11375667636563,8.656513737075048,8.105581769584196
0.8,0.8,100.13666576832377,79.7445391952011,7.663910773431515,7.715737916007012,7.675414078987367,7.719077470996717
0.9,0.9,100.13666576832377,79.7445391952011,15.225015399610566,17.337722392138815,15.240758190678736,17.342021960758867
0.01,0.09,100.13666576832377,79.7445391952011,1.6368471811418717,1.6536956682414663,1.6489990372343195,1.6773072242759977
0.01,0.08,100.13666576832377,79.7445391952011,1.6129655234036129,1.514292528538746,1.6332648076189094,1.5308018391260827
0.01,0.07,100.13666576832377,79.7445391952011,1.536881148830783,1.618781580237824,1.575853018957083,1.649881228433966
0.01,0.06,100.13666576832377,79.7445391952011,1.6194674521763803,1.6222338966768153,1.639522790567559,1.6439519787631398
0.01,0.05,100.13666576832377,79.7445391952011,1.56024390989627,1.5534385527444228,1.58057875856006,1.5737551019677611
0.01,0.04,100.13666576832377,79.7445391952011,1.6354165463624517,1.5428782264386154,1.6534200642825054,1.57727117377626
0.01,0.03,100.13666576832377,79.7445391952011,1.5209608160967434,1.5559407458386298,1.5334593626312358,1.582883571098607
0.01,0.02,100.13666576832377,79.7445391952011,1.5426838140168302,1.4799211767871083,1.5676360677327703,1.5095187009562452
0.01,0.01,100.13666576832377,79.7445391952011,1.511801546222464,1.5846816692287775,1.5445160376907316,1.6199896509476344
0.02,0.09,100.13666576832377,79.7445391952011,1.592172378650518,1.6183092069818077,1.602202624202877,1.6492256220792505
0.02,0.08,100.13666576832377,79.7445391952011,1.5824205648610057,1.6340066174790508,1.6006212006372071,1.666291913985512
0.02,0.07,100.13666576832377,79.7445391952011,1.6605014023608933,1.6033780584689092,1.682895976326021,1.6255902861344094
0.02,0.06,100.13666576832377,79.7445391952011,1.6129658399349978,1.5533440942214325,1.641233323141852,1.562791263684581
0.02,0.05,100.13666576832377,79.7445391952011,1.5959910014825076,1.6063625735532576,1.6151561250264186,1.6254100459196104
0.02,0.04,100.13666576832377,79.7445391952011,1.6584879468458695,1.598530854563916,1.7009453502754053,1.615287214193642
0.02,0.03,100.13666576832377,79.7445391952011,1.5308144313091534,1.5559313952333451,1.5595270329139574,1.574731399020423
0.02,0.02,100.13666576832377,79.7445391952011,1.5440739552451364,1.5989069553235684,1.573880331023295,1.619009378472969
0.03,0.09,100.13666576832377,79.7445391952011,1.6120886243597348,1.6548766059217217,1.6547788877152334,1.6815403152021309
0.03,0.08,100.13666576832377,79.7445391952011,1.6374583587840648,1.6627506187208467,1.662021039317476,1.6856882949517873
0.03,0.07,100.13666576832377,79.7445391952011,1.5544098023531734,1.53658179554696,1.5911118656233263,1.563883686987292
0.03,0.06,100.13666576832377,79.7445391952011,1.6181224371740854,1.623434402149851,1.639738323257145,1.656387270529548
0.03,0.05,100.13666576832377,79.7445391952011,1.562036707561988,1.5845861500876917,1.582392575984938,1.6100963660644774
0.03,0.04,100.13666576832377,79.7445391952011,1.662908554784625,1.6113437078479145,1.6949305334296454,1.6328518139529482
0.03,0.03,100.13666576832377,79.7445391952011,1.616509007064199,1.577972619215537,1.6329717130711043,1.59760397870907
0.04,0.09,100.13666576832377,79.7445391952011,1.6130642628203906,1.6062386401610411,1.6423221047336969,1.6309589099642692
0.04,0.08,100.13666576832377,79.7445391952011,1.5894549104937803,1.545952650341151,1.59376264344499,1.5764129829166191
0.04,0.07,100.13666576832377,79.7445391952011,1.5565607513752893,1.70007360662138,1.572774375642379,1.7089763989212576
0.04,0.06,100.13666576832377,79.7445391952011,1.604873374372667,1.6473678381769776,1.6359361516366802,1.6734980698243371
0.04,0.05,100.13666576832377,79.7445391952011,1.6891837161642975,1.617926740192468,1.704620820198936,1.6374228463286669
0.04,0.04,100.13666576832377,79.7445391952011,1.6592729744748098,1.5439774013828735,1.6820737960682657,1.5674275844817953
0.05,0.09,100.13666576832377,79.7445391952011,1.5653834408208545,1.5835706119642623,1.596581424987031,1.6160128878754316
0.05,0.08,100.13666576832377,79.7445391952011,1.622290707939962,1.6505279268625803,1.6237268649927703,1.6787030155442386
0.05,0.07,100.13666576832377,79.7445391952011,1.6097102343703455,1.6256932684523644,1.6527848179866051,1.6525730711500528
0.05,0.06,100.13666576832377,79.7445391952011,1.5938126260652372,1.6561087322522965,1.6186654063877468,1.6688782457962448
0.05,0.05,100.13666576832377,79.7445391952011,1.6681950861284736,1.6242884303324223,1.694980945587351,1.6484991131920903
0.06,0.09,100.13666576832377,79.7445391952011,1.721074687276178,1.6271171165231977,1.7442703485257047,1.657865227091728
0.06,0.08,100.13666576832377,79.7445391952011,1.6287176140298272,1.549429769937073,1.6538878870711649,1.5813986537109126
0.06,0.07,100.13666576832377,79.7445391952011,1.695862955055398,1.6818835557382126,1.7146951434885458,1.697714237879108
0.06,0.06,100.13666576832377,79.7445391952011,1.5727059401971846,1.7177986646059626,1.5825301156415812,1.744278806662694
0.07,0.09,100.13666576832377,79.7445391952011,1.709595800194179,1.6338838859438063,1.7383893069792962,1.657925561440299
0.07,0.08,100.13666576832377,79.7445391952011,1.6164939645933694,1.7444832970201216,1.6420212865351858,1.763403378623061
0.07,0.07,100.13666576832377,79.7445391952011,1.668422236045923,1.6811898791302378,1.7144143919892998,1.7077632511567649
0.08,0.09,100.13666576832377,79.7445391952011,1.700000053665587,1.742358304128073,1.7116270108045175,1.7616512330133318
0.08,0.08,100.13666576832377,79.7445391952011,1.7310603974708074,1.6880613595278624,1.748047632885095,1.7205093450916142
0.09,0.09,100.13666576832377,79.7445391952011,1.600022842229087,1.623844707146516,1.6258995239614351,1.6431599322198969
