m,M,delta_suppression,epsilon_suppression,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,8.946242031631923e-07,8.195987029498752,1503.489986337656,200.1541735914337,0.4841325139001985,0.4865209480931763,3.5028616640296213,3.502943420348851
0.1,0.8,8.946242031631923e-07,7.295394529120346,1503.489986337656,200.1541735914337,0.5222216138260699,0.5274189721292774,3.535465712114382,3.4876257115668468
0.1,0.7,8.946242031631923e-07,6.415735221843628,1503.489986337656,200.1541735914337,0.6368001165429054,0.6256162882069147,3.5156293699100427,3.490837051830487
0.1,0.6,8.946242031631923e-07,5.523137163611585,1503.489986337656,200.1541735914337,0.6489753174225569,0.7048579800916402,3.495439281773384,3.5468450652728847
0.1,0.5,8.946242031631923e-07,4.620114506958276,1503.489986337656,200.1541735914337,0.8992687731535426,0.8043432047785521,3.487052297580239,3.530503654017892
0.1,0.4,8.946242031631923e-07,3.7085130668623134,1503.489986337656,200.1541735914337,0.9783396161888532,1.0662400078475358,3.404459778192857,3.5581144855313567
0.1,0.3,8.946242031631923e-07,2.789728043577632,1503.489986337656,200.1541735914337,1.4066760299543566,1.3917776895303395,3.63172782964202,3.6514064543151754
0.1,0.2,8.946242031631923e-07,1.8648397251631903,1503.489986337656,200.1541735914337,2.2452517990306298,2.0476595196967016,3.750245616839132,3.719530815797739
0.1,0.1,8.946242031631923e-07,0.9347016640011662,1503.489986337656,200.1541735914337,4.069396986343965,4.35497940115684,5.0090278174046095,5.214696117021898
0.2,0.9,7.952215139228375e-07,4.536418382828267,1503.489986337656,200.1541735914337,0.8958598018842967,0.9271804394790256,3.508825034330128,3.5390064599513
0.2,0.8,7.952215139228375e-07,3.335993124944124,1503.489986337656,200.1541735914337,1.2072583378938246,1.1469106195277965,3.574591289496858,3.461411902555061
0.2,0.7,7.952215139228375e-07,2.915735221843628,1503.489986337656,200.1541735914337,1.3830539463267704,1.2827484177294028,3.7780198594909833,3.6399759191185694
0.2,0.6,7.952215139228375e-07,2.5231371636115854,1503.489986337656,200.1541735914337,1.6108352364872107,1.57079224827429,3.651111883846744,3.670528502426013
0.2,0.5,7.952215139228375e-07,2.1201145069582776,1503.489986337656,200.1541735914337,1.8728079165009297,1.860762253224882,3.8536494875439313,3.725054439464577
0.2,0.4,7.952215139228375e-07,1.7085130668623156,1503.489986337656,200.1541735914337,2.267739068664786,2.4598135365086558,3.802838918208017,4.037471817153
0.2,0.3,7.952215139228375e-07,1.289728043577631,1503.489986337656,200.1541735914337,2.937400731209441,3.358159304384255,4.369725747614851,4.426098146029519
0.2,0.2,7.952215139228375e-07,0.86483972516319,1503.489986337656,200.1541735914337,4.823131048088146,4.347860998701608,5.785629907886701,5.149861153675494
0.3,0.9,6.958188246824828e-07,3.555753648618441,1503.489986337656,200.1541735914337,1.140507044580841,1.074125706156488,3.4361299100900413,3.609910193941675
0.3,0.8,6.958188246824828e-07,2.1802663867405028,1503.489986337656,200.1541735914337,1.8317952013527057,1.6361914793428485,3.791319299589049,3.5544344437400834
0.3,0.7,6.958188246824828e-07,1.780454024800658,1503.489986337656,200.1541735914337,2.20443284096975,2.0522844608285875,3.907223035365313,3.646068141440039
0.3,0.6,6.958188246824828e-07,1.5238551221072782,1503.489986337656,200.1541735914337,2.6539958701646307,2.483653936831658,4.135610203050263,4.099632412952449
0.3,0.5,6.958188246824828e-07,1.2867811736249446,1503.489986337656,200.1541735914337,2.953804222199483,3.042665244987528,4.318356885759267,4.215264973751649
0.3,0.4,6.958188246824828e-07,1.041846400195649,1503.489986337656,200.1541735914337,3.6995647001015977,3.79636896884658,4.857456464577148,5.079182851604628
0.3,0.3,6.958188246824828e-07,0.7897280435776313,1503.489986337656,200.1541735914337,4.81398490051456,5.003663881612229,5.68252915049169,5.793090405394223
0.4,0.9,5.964161354421282e-07,2.970877397374573,1503.489986337656,200.1541735914337,1.354628718689666,1.2794305553593497,3.5267074787892034,3.59445535613377
0.4,0.8,5.964161354421282e-07,1.621924354411025,1503.489986337656,200.1541735914337,2.4216478127364365,2.5858745345285583,4.090484413344557,4.080817504262872
0.4,0.7,5.964161354421282e-07,1.2474029062976228,1503.489986337656,200.1541735914337,2.9839694591241286,3.072679845064901,4.477152510654346,4.218632255661689
0.4,0.6,5.964161354421282e-07,1.040004453643959,1503.489986337656,200.1541735914337,3.773354130925173,3.8681494875765177,4.834312735920234,5.070433990300324
0.4,0.5,5.964161354421282e-07,0.8719887568651661,1503.489986337656,200.1541735914337,4.49195492221739,4.588082100524212,5.481129402265879,5.323436799743673
0.4,0.4,5.964161354421282e-07,0.7085130668623149,1503.489986337656,200.1541735914337,5.559950730058223,5.313012750927715,6.469431593990963,6.0189359603039465
0.5,0.9,4.970134462017736e-07,2.41573522184363,1503.489986337656,200.1541735914337,1.725397294824558,1.6082529743591103,3.63572765522308,3.598183168693121
0.5,0.8,4.970134462017736e-07,1.24047842129593,1503.489986337656,200.1541735914337,3.218519824152745,3.2019340526406204,4.559688071636514,4.469618392769082
0.5,0.7,4.970134462017736e-07,0.910918146299132,1503.489986337656,200.1541735914337,4.334567059687184,4.430611134748967,5.3663509388493775,5.412985756219671
0.5,0.6,4.970134462017736e-07,0.7441312242084209,1503.489986337656,200.1541735914337,5.341140254533304,5.215610621142525,6.240299626839121,6.045493110295397
0.5,0.5,4.970134462017736e-07,0.6201145069582774,1503.489986337656,200.1541735914337,6.361180976411871,6.130902620638686,7.032234730978933,6.79245273441725
0.6,0.9,3.976107569614187e-07,1.8573740195087889,1503.489986337656,200.1541735914337,2.041092507076765,2.1669896720479254,3.8424297047660985,3.681972871553685
0.6,0.8,3.976107569614187e-07,0.916833220754278,1503.489986337656,200.1541735914337,4.153166055206596,4.432022844536035,5.0182218777311975,5.362712737572767
0.6,0.7,3.976107569614187e-07,0.6491258279171362,1503.489986337656,200.1541735914337,5.778043703002206,5.937855192147348,6.485680371851308,6.678609657844732
0.6,0.6,3.976107569614187e-07,0.5231371636115855,1503.489986337656,200.1541735914337,7.197456430268303,7.888214280821975,7.843488340888718,8.515350562982263
0.7,0.9,2.982080677210641e-07,1.2953945291203477,1503.489986337656,200.1541735914337,2.963819849422745,2.961852888399865,4.4565584814869625,4.307148360300577
0.7,0.8,2.982080677210641e-07,0.6073740195087886,1503.489986337656,200.1541735914337,6.54039590111824,5.979875964397012,7.154161693863381,6.74559095000732
0.7,0.7,2.982080677210641e-07,0.4157352218436286,1503.489986337656,200.1541735914337,10.419184977566346,9.46520457062075,10.953342172097216,10.086079016153622
0.8,0.9,1.9880537848070934e-07,0.7293182678690189,1503.489986337656,200.1541735914337,5.451986844685122,5.466827779950641,6.121580203785727,6.264680445820453
0.8,0.8,1.9880537848070934e-07,0.2953945291203476,1503.489986337656,200.1541735914337,13.732499868893331,12.669386920084651,14.20233174130686,12.70801722949484
0.9,0.9,9.94026892403547e-08,0.1585650787404291,1503.489986337656,200.1541735914337,25.375684496865315,23.924819299949025,25.61574688061943,24.23748705641553
0.01,0.09,9.840866234795116e-07,8.941426744254743,1503.489986337656,200.1541735914337,0.4676233635275051,0.4167237284730591,3.4901309167769115,3.52240976744167
0.01,0.08,9.840866234795116e-07,7.94810689975826,1503.489986337656,200.1541735914337,0.4994242263223531,0.5298321310995546,3.5229340180475446,3.50932271264028
0.01,0.07,9.840866234795116e-07,6.954742726741888,1503.489986337656,200.1541735914337,0.5723498964447333,0.6233707861867436,3.460864230296837,3.4904511166933188
0.01,0.06,9.840866234795116e-07,5.96133480964445,1503.489986337656,200.1541735914337,0.6408573374251016,0.6353813482352121,3.458030566026681,3.495779609385955
0.01,0.05,9.840866234795116e-07,4.967883721422339,1503.489986337656,200.1541735914337,0.840885418972987,0.8035889814514408,3.529078918341281,3.5206645225036355
0.01,0.04,9.840866234795116e-07,3.974390023848344,1503.489986337656,200.1541735914337,0.951220209309508,0.9843323777644584,3.470559461903684,3.517615108627634
0.01,0.03,9.840866234795116e-07,2.9808542678008307,1503.489986337656,200.1541735914337,1.2790501590842027,1.3555873704906791,3.5361115808868373,3.588622097734132
0.01,0.02,9.840866234795116e-07,1.9872769935436303,1503.489986337656,200.1541735914337,2.007026807078133,2.1167135736098195,3.8094609045872914,3.785835780122136
0.01,0.01,9.840866234795116e-07,0.9936587309970014,1503.489986337656,200.1541735914337,4.085398781070887,4.109723291741061,5.204242341928664,5.203080144588438
0.02,0.09,9.741463545554763e-07,4.44142674425474,1503.489986337656,200.1541735914337,0.9461936714519332,0.9290241539756268,3.534129510125677,3.4811824734460126
0.02,0.08,9.741463545554763e-07,3.948106899758264,1503.489986337656,200.1541735914337,0.9267524704446972,0.97639318160748,3.437313369049986,3.5300437802236693
0.02,0.07,9.741463545554763e-07,3.45474272674189,1503.489986337656,200.1541735914337,1.1329057176101471,1.158360777740571,3.555080199584774,3.504837526700606
0.02,0.06,9.741463545554763e-07,2.96133480964445,1503.489986337656,200.1541735914337,1.3461005442730551,1.4118431448875404,3.61381786807641,3.511049509284912
