m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.010870468206362,0.0412983663945365,0.0113971714069806,0.0413450988923267
0.1,0.8,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0108749425166097,0.0405414843304789,0.0113175561727582,0.0409585665819352
0.1,0.7,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0108072876283805,0.0418439663190807,0.0114091296885408,0.041900548392191
0.1,0.6,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0101594037793227,0.0391372986314601,0.0107073949040159,0.0391214802327316
0.1,0.5,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0104860551556285,0.0399384018104377,0.0110985738265853,0.0399818372733809
0.1,0.4,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0101885471648925,0.0383148241863764,0.0105226013770991,0.0383703196169241
0.1,0.3,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0100966955713331,0.0387310755250418,0.0107252781179055,0.0388683405497192
0.1,0.2,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0099149657360667,0.0387115191163305,0.0103871213523806,0.0386092813008203
0.1,0.1,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0094661116164776,0.0373342772160048,0.009841931872632,0.0373299559114281
0.2,0.9,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0125686275951717,0.0466653447569878,0.0130961389943918,0.0469249807669255
0.2,0.8,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0119883115211127,0.0482184380432661,0.0126255264944555,0.0482025259903421
0.2,0.7,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0126746150829483,0.0465263752177076,0.0129844479004017,0.0465569797565019
0.2,0.6,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0120962125376847,0.0435351073839199,0.01260407232315,0.0438772356678938
0.2,0.5,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0113859063620413,0.0435780093765841,0.0117775622510658,0.0437444795226766
0.2,0.4,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0113984624632696,0.0427232039190739,0.0119563231112558,0.0428091208808534
0.2,0.3,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0106969588763072,0.0434656029809282,0.011223206571397,0.0434845178710991
0.2,0.2,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0111253801027977,0.0403125692731207,0.0116500628017831,0.0405570254115976
0.3,0.9,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0136689976701373,0.0557975433445787,0.0141396613919767,0.0558176996630375
0.3,0.8,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0137809955717257,0.0525935715810217,0.0140443750842973,0.0527194026921561
0.3,0.7,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0134969312836022,0.0499417073213999,0.0138506028457739,0.0501243122673471
0.3,0.6,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0131088582587177,0.0516080592250013,0.0135298736390472,0.0516778975327363
0.3,0.5,0.5,9.940268924035471e-07,1.4129256384925348,1.4142135623730956,0.0124945344133258,0.0517759014443437,0.0130097290448389,0.0518626453500861
