m,M,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,1503.489986337656,200.1541735914337,4.104307929037677,4.124634553825141,5.168571726285197,5.074345442789888
0.1,0.8,1503.489986337656,200.1541735914337,3.8825844233873776,3.873361094866093,5.009168810017844,4.808215504983033
0.1,0.7,1503.489986337656,200.1541735914337,3.839242938640141,3.677454354583968,5.093489167963649,4.779938644056329
0.1,0.6,1503.489986337656,200.1541735914337,3.9502482243698753,4.208506968169331,5.299015027282279,5.316743915525467
0.1,0.5,1503.489986337656,200.1541735914337,3.88302118904877,3.714063630731891,5.055872432372434,4.861337019283636
0.1,0.4,1503.489986337656,200.1541735914337,3.99151514026064,3.80639659357438,5.130519115023306,4.8339542634188
0.1,0.3,1503.489986337656,200.1541735914337,4.138544925407722,4.106295404450488,5.134018819685116,5.11227132182413
0.1,0.2,1503.489986337656,200.1541735914337,4.382159572809048,3.786761804681048,5.331076117220423,4.958532119739686
0.1,0.1,1503.489986337656,200.1541735914337,3.815771362852201,4.164271092342939,4.968659224300127,5.395858554899132
0.2,0.9,1503.489986337656,200.1541735914337,4.186274055693115,3.940764809405059,5.131158557635945,5.038315585724871
0.2,0.8,1503.489986337656,200.1541735914337,3.777294312645525,3.8019241267145754,4.9125243901656725,5.048154970220003
0.2,0.7,1503.489986337656,200.1541735914337,3.8698780341939103,3.949809984514812,5.078568440603238,5.08920927247774
0.2,0.6,1503.489986337656,200.1541735914337,4.115667190551413,3.9121507068529433,5.058275709617948,4.823041238676471
0.2,0.5,1503.489986337656,200.1541735914337,3.630803144930082,3.931597307835884,4.584009197452208,4.7134721403924775
0.2,0.4,1503.489986337656,200.1541735914337,3.6862567720345822,4.131371146409704,4.659621796340856,5.241289205788382
0.2,0.3,1503.489986337656,200.1541735914337,4.071897178849653,3.802897708861201,5.005732328722897,4.853069221693041
0.2,0.2,1503.489986337656,200.1541735914337,3.77094024073336,4.077382409035368,5.101864370331519,5.181853539427519
0.3,0.9,1503.489986337656,200.1541735914337,4.055052187493426,4.117866261196496,5.034456070104687,5.149762053976859
0.3,0.8,1503.489986337656,200.1541735914337,4.071531419501308,3.952889878087167,5.320221990066927,5.0598523826292405
0.3,0.7,1503.489986337656,200.1541735914337,4.153086442845015,3.890806692390039,5.317472342663676,5.027590164340669
0.3,0.6,1503.489986337656,200.1541735914337,3.9517337167506903,4.066060224366975,4.819909782174025,5.041724807558163
0.3,0.5,1503.489986337656,200.1541735914337,3.883302848523569,3.959829679707545,4.738353917224089,5.068604534027494
