m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0114001198720558,0.0445666050793106,0.011630904425914,0.0445532329396373
0.1,0.8,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0109091927862442,0.043710907107471,0.0111739381639522,0.0439806289547565
0.1,0.7,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0105322341666181,0.0434812614109266,0.0107808429306574,0.0436975504785433
0.1,0.6,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0104701108844295,0.0406894685375769,0.0106419340289102,0.0406853958388175
0.1,0.5,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0110560911686227,0.0415546747615577,0.0112388081126951,0.0416995259314343
0.1,0.4,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0107116669557896,0.04093982714189,0.0110579167088116,0.0411168239995685
0.1,0.3,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0103231196349192,0.0386449315338782,0.0106356556264707,0.0385784509019279
0.1,0.2,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0102347491616985,0.0399505496890397,0.0105307198762693,0.0400223789315644
0.1,0.1,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0103282490987093,0.0404373810376817,0.0106188579549377,0.0404232135322051
0.2,0.9,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0126914962312927,0.0494020223512078,0.0129621086394743,0.0495114334714722
0.2,0.8,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0131082193293777,0.0468592638153609,0.0132717648813609,0.0468308340187776
0.2,0.7,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0126205874957143,0.0473556043044257,0.0128857235188889,0.0475397090370316
0.2,0.6,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0125061494600041,0.0447032320940636,0.012553643582722,0.0448356048370428
0.2,0.5,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0116028888146729,0.0463707932581982,0.0117270301688693,0.0463604515831354
0.2,0.4,0.5,9.940268924035471e-07,1.416404270893029,1.4142135623730956,0.0119150407613493,0.0441334029108697,0.0122679572915675,0.0441808460670545
