m,M,epsilon_of_M,delta_of_M,L2_original,L2_realmean,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0024848014389889,,0.0025602078122335,
0.1,0.8,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0024405126691508,,0.0024853883957919,
0.1,0.7,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0024026979279388,,0.0024829571138269,
0.1,0.6,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0023386301547309,,0.0024033661443144,
0.1,0.5,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0024226235555369,,0.002466915213769,
0.1,0.4,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0025113920626962,,0.0025976365149145,
0.1,0.3,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0024783270082686,,0.002526381755968,
0.1,0.2,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.002422260238498,,0.0024607625490987,
0.1,0.1,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.002493024153335,,0.0025387636930282,
0.2,0.9,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0025148470770166,,0.0025561639608823,
0.2,0.8,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0025060818068164,,0.0025521486922528,
0.2,0.7,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0025164721311761,,0.0025765515128301,
0.2,0.6,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0024623465771168,,0.002519351805521,
0.2,0.5,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0023789464777559,,0.0024163179248396,
0.2,0.4,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.0025179601477004,,0.002575866555768,
0.2,0.3,2.0,9.940268924035471e-07,1.4136814440607743,1.4142135623730956,0.002487461302612,,0.0025330053040495,
