m,M,delta_suppression,epsilon_suppression,original_average_weight,original_average_volume,L2_laplace,L2_gaussian,L2_realmean_laplace,L2_realmean_gaussian
0.1,0.9,8.946242031631923e-07,8.069960856551647,100.13666576832377,79.7445391952011,0.0473185031412148,0.045722529680798,0.2932832776238807,0.2892042769902743
0.1,0.8,8.946242031631923e-07,7.121991283339271,100.13666576832377,79.7445391952011,0.056385540437022,0.0561096779166778,0.2948836742835706,0.2949020849474502
0.1,0.7,8.946242031631923e-07,6.177825113937635,100.13666576832377,79.7445391952011,0.0603549263453999,0.062607274137111,0.2978553140068958,0.2976119270395866
0.1,0.6,8.946242031631923e-07,5.230705692735597,100.13666576832377,79.7445391952011,0.071890769090972,0.0745102640463287,0.2980906879369432,0.2963839251779616
0.1,0.5,8.946242031631923e-07,4.280929803620162,100.13666576832377,79.7445391952011,0.0898908358125432,0.0861185624089125,0.3028770793110935,0.2941713438823004
0.1,0.4,8.946242031631923e-07,3.328751625269407,100.13666576832377,79.7445391952011,0.1180056156964007,0.1107727407426675,0.3123392962245382,0.296734237350538
0.1,0.3,8.946242031631923e-07,2.374390515085868,100.13666576832377,79.7445391952011,0.1570201607417924,0.1540495374195062,0.3197024344840671,0.3239311991108731
0.1,0.2,8.946242031631923e-07,1.4180370928606565,100.13666576832377,79.7445391952011,0.2668896938540372,0.262655897182204,0.3943272142171697,0.3851386450636428
0.1,0.1,8.946242031631923e-07,0.459858051249595,100.13666576832377,79.7445391952011,0.8130159896354319,0.8736116939183454,0.8594732890315172,0.9140010643235068
0.2,0.9,7.952215139228375e-07,4.284565468042477,100.13666576832377,79.7445391952011,0.0925232602176756,0.0920549362325487,0.3006489399257359,0.2971648843645319
0.2,0.8,7.952215139228375e-07,3.1311913858301987,100.13666576832377,79.7445391952011,0.1198932490798914,0.1267814606022818,0.3087322751246252,0.3088464035299736
0.2,0.7,7.952215139228375e-07,2.677825113937636,100.13666576832377,79.7445391952011,0.1506695789680049,0.1472330397704632,0.3204151363111724,0.3196180359763771
0.2,0.6,7.952215139228375e-07,2.230705692735597,100.13666576832377,79.7445391952011,0.1709980455919728,0.1671387521762886,0.3295031324578976,0.3253151258530946
0.2,0.5,7.952215139228375e-07,1.7809298036201613,100.13666576832377,79.7445391952011,0.2274572007927975,0.2098233287632126,0.357953701029806,0.3460025938052778
0.2,0.4,7.952215139228375e-07,1.3287516252694076,100.13666576832377,79.7445391952011,0.2978584512347085,0.3010170352056934,0.4090553961201542,0.4092124062349251
0.2,0.3,7.952215139228375e-07,0.8743905150858681,100.13666576832377,79.7445391952011,0.4262693769310805,0.4555453481370032,0.5010822205103648,0.5334768833212808
0.2,0.2,7.952215139228375e-07,0.4180370928606561,100.13666576832377,79.7445391952011,0.9367150497297192,0.9366988378207616,0.9819975810632512,0.9753627608268944
0.3,0.9,6.958188246824828e-07,3.2806469044451063,100.13666576832377,79.7445391952011,0.1216289528704834,0.1157292425588949,0.3090236152747625,0.3108701066240907
0.3,0.8,6.958188246824828e-07,1.929887714963421,100.13666576832377,79.7445391952011,0.205541274080375,0.209933531246494,0.3394254693629665,0.3536344830016456
0.3,0.7,6.958188246824828e-07,1.5192287736285803,100.13666576832377,79.7445391952011,0.2488596110822513,0.2396315899934558,0.3806728238868761,0.3818482899967614
0.3,0.6,6.958188246824828e-07,1.2307056927355975,100.13666576832377,79.7445391952011,0.3036713119113333,0.3120567727102989,0.4219496663275087,0.4197867482388291
0.3,0.5,6.958188246824828e-07,0.9475964702868284,100.13666576832377,79.7445391952011,0.4193518656008188,0.415617456756985,0.49550650372975,0.4911326190582115
0.3,0.4,6.958188246824828e-07,0.6620849586027407,100.13666576832377,79.7445391952011,0.5884277423159343,0.6143131270130107,0.6632534146054055,0.6666517883414065
0.3,0.3,6.958188246824828e-07,0.3743905150858683,100.13666576832377,79.7445391952011,1.0206646769065528,1.066294447413119,1.0462322243479074,1.1032455034783062
0.4,0.9,5.964161354421282e-07,2.7046149070688505,100.13666576832377,79.7445391952011,0.1371762199554475,0.1406126108055763,0.3159183495219978,0.319976477011092
0.4,0.8,5.964161354421282e-07,1.3625307643525733,100.13666576832377,79.7445391952011,0.2786773494615712,0.290059795922591,0.3942930924361877,0.4032573363938799
0.4,0.7,5.964161354421282e-07,0.97242167237925,100.13666576832377,79.7445391952011,0.4154996182118249,0.3912003771940793,0.4871210977745886,0.4812345572390674
0.4,0.6,5.964161354421282e-07,0.7354847533049613,100.13666576832377,79.7445391952011,0.528098118788863,0.5455782456616168,0.5907040292894427,0.6120388826964342
0.4,0.5,5.964161354421282e-07,0.5309298036201614,100.13666576832377,79.7445391952011,0.7510929874872477,0.7077317103992152,0.8131039630438859,0.7639931721348874
0.4,0.4,5.964161354421282e-07,0.3287516252694073,100.13666576832377,79.7445391952011,1.1480804696195064,1.1992634790414909,1.1805348458915506,1.2364685404934026
0.5,0.9,4.970134462017736e-07,2.177825113937637,100.13666576832377,79.7445391952011,0.180899529137127,0.1760137832292179,0.3304154095645579,0.3359942898567817
0.5,0.8,4.970134462017736e-07,0.9886300258909754,100.13666576832377,79.7445391952011,0.3815062971612592,0.3977583095289558,0.4747029796873373,0.4858632593990555
0.5,0.7,4.970134462017736e-07,0.6388931431982581,100.13666576832377,79.7445391952011,0.6082366144121389,0.5820079507548517,0.6573963453629897,0.6539489989241609
0.5,0.6,4.970134462017736e-07,0.4410405561104139,100.13666576832377,79.7445391952011,0.914138194250678,0.8871440291530048,0.9503005179944332,0.9350351547846456
0.5,0.5,4.970134462017736e-07,0.2809298036201614,100.13666576832377,79.7445391952011,1.3419682775476651,1.352117746127111,1.370384786974743,1.3733993448904367
0.6,0.9,3.976107569614187e-07,1.6502978251128062,100.13666576832377,79.7445391952011,0.2376790192017963,0.2404910991903219,0.3677753506366509,0.3720125292827236
0.6,0.8,3.976107569614187e-07,0.6829925611006017,100.13666576832377,79.7445391952011,0.563208105620984,0.5427451166714267,0.6243354829989441,0.6163410774482441
0.6,0.7,3.976107569614187e-07,0.3902683998635957,100.13666576832377,79.7445391952011,0.9923897873842774,0.9679016518558424,1.02167557182225,1.0091310578637993
0.6,0.6,3.976107569614187e-07,0.2307056927355977,100.13666576832377,79.7445391952011,1.668479813977624,1.6774131839777282,1.7059179489056575,1.6999530347762488
0.7,0.9,2.982080677210641e-07,1.1219912833392711,100.13666576832377,79.7445391952011,0.3434356187213851,0.3456715517530583,0.4359151580151037,0.4368311635035296
0.7,0.8,2.982080677210641e-07,0.4003517881780855,100.13666576832377,79.7445391952011,0.9325394261634868,0.9497803768557894,0.9691044994224464,0.9982899002528776
0.7,0.7,2.982080677210641e-07,0.1778251139376357,100.13666576832377,79.7445391952011,2.133375985402926,2.1949911600281347,2.1436225878356194,2.202445291959923
0.8,0.9,1.9880537848070934e-07,0.5928600813128483,100.13666576832377,79.7445391952011,0.6560742570384226,0.6346213826445521,0.7337306925024302,0.6903300687217218
0.8,0.8,1.9880537848070934e-07,0.1219912833392709,100.13666576832377,79.7445391952011,3.2924619835461,3.322349220340181,3.295361904161068,3.3210342290109773
0.9,0.9,9.94026892403547e-08,0.0628547234737303,100.13666576832377,79.7445391952011,6.187747643215693,6.709473932010175,6.1926804044541255,6.708752842470914
0.01,0.09,9.840866234795116e-07,8.463945538725794,100.13666576832377,79.7445391952011,0.0463890151788196,0.044791128786858,0.2931900206034702,0.2948749513547616
0.01,0.08,9.840866234795116e-07,7.468016386639051,100.13666576832377,79.7445391952011,0.0518708158512026,0.0527517246360873,0.2939036865914441,0.2931354419352667
