average weight,total_sum weight,average volume,total_sum volume,total_element,m,M,average_laplacian weight,average_gaussian weight,average_laplacian volume,average_gaussian volume,L2_laplacian_supression,L2_gaussian_supression
1503.7230442964342,1366884.2472654586,200.21751651773312,181997.7225146194,909,0.1,0.1,1508.6372017778824,1514.2437330760565,200.12452600597342,195.229778634595,8.638099401952884,15.02128302832061
1503.6822656877505,1333766.1696650344,200.12031647714232,177506.72071522524,887,0.1,0.2,1503.89264527421,1476.7189664476077,199.12948119802746,200.86630540273174,3.988795584561531,23.297145926452387
1503.1705629718172,1312267.9014743965,199.63668939394427,174282.82984091336,873,0.1,0.3,1501.1962519661076,1483.5572411535622,200.02274609467415,200.02069432265318,1.1964681990087809,16.442771869034036
1503.60476950321,1299114.5208507734,200.49737739850792,173229.73407231085,864,0.1,0.4,1506.2024935647723,1514.0970591150578,199.8904555470988,207.9316235137599,6.203460841192093,16.17521954279027
1498.7982914493548,1285968.9340635464,200.15614460689383,171733.9720727149,858,0.1,0.5,1506.662391682588,1479.3692826256972,199.60429357342701,193.144359424671,6.674132640894061,21.73997026392759
1504.5157506229443,1280342.9037801255,200.61293109877025,170721.60436505347,851,0.1,0.6,1505.941734092211,1503.5726059568844,201.9606861028554,199.45650580110652,6.256875739254535,3.613709903602818
1501.4860461405513,1252239.3624812197,200.77015622506983,167442.31029170824,834,0.1,0.7,1499.9296335905858,1497.9430675227395,200.80634363768095,207.40717889795056,0.8094081131310695,7.68747490677225
1504.7671814847347,1200804.2108248184,199.99037786740973,159592.32153819298,798,0.1,0.8,1497.6902856248942,1500.369137180942,200.8071050673577,198.1942323299251,2.4466710208618236,1.8431112653992532
1507.0503681483297,1196597.9923097738,200.9579426517263,159560.6064654707,794,0.1,0.9,1517.3386058493488,1505.4986997872475,200.2842469181358,202.75706861167313,17.340935646888923,6.151189046009599
1500.8827839888822,1236727.414006839,200.5349645165309,165240.81076162143,824,0.2,0.2,1493.0208339544479,1524.1655543301044,197.9688275033892,201.49751530405803,7.268728939943745,24.21190963487014
1500.8969001670014,1163195.097629426,200.5610008034629,155434.77562268378,775,0.2,0.3,1508.5178250293077,1485.4274082719576,201.08677664359672,207.5998668634698,8.586875258379376,16.435279310516044
1502.789543458485,1202231.634766788,200.26230870213047,160209.84696170437,800,0.2,0.4,1500.0877656341324,1513.3794308425706,200.76044574126504,200.38985594985576,0.7654936524510262,13.385109537570775
1507.1784261370524,1189163.7782221343,200.46219208514708,158164.66955518106,789,0.2,0.5,1501.2283321933062,1509.7116988893556,200.7588465844521,197.06461094598018,1.4438310551608897,10.145619952273504
1506.0449318876135,1126521.609051935,200.3419075318685,149855.74683383765,748,0.2,0.6,1497.2177397391115,1499.6490061014752,199.48714341888112,199.7742366302761,2.8291330884418158,0.4173317815728376
1507.0751404307225,1104686.0779357196,200.60829722515007,147045.88186603505,733,0.2,0.7,1506.705877134946,1458.0741527621133,201.06505690304402,198.98485282877903,6.789928891800875,41.938135275591975
1503.0246432976364,1044602.1270918574,199.9307268931109,138951.8551907121,695,0.2,0.8,1507.0951247759972,1467.7909020077009,199.86269713932577,197.462046094033,7.096453174827445,32.30893380330493
1496.4529404872833,1041531.2465791492,199.6449536215281,138952.88772058353,696,0.2,0.9,1492.3311057261271,1498.3371418839142,201.1264083988112,201.37272972177942,7.751176379411866,2.1562662180929633
1506.936067387589,1038278.9504300487,200.29525707691585,138003.432125995,689,0.3,0.3,1506.7962167537562,1496.618305740388,199.02994782804493,204.3107166983312,6.8650974778477245,5.478880772453818
1504.7426036390111,1047300.852132752,200.8156194643611,139767.67114719533,696,0.3,0.4,1511.7064558922364,1490.9995156091254,200.62164225532183,203.9937114292849,11.722949656570101,9.846748206935017
1509.9990520495949,1005659.3686650302,200.4981726774717,133531.78300319615,666,0.3,0.5,1508.668104925971,1517.0629340258329,198.79179834385667,198.5870997090156,8.751902321755516,17.121331864145063
1498.3683994873766,985926.4068626938,199.8164135660274,131479.20012644603,658,0.3,0.6,1490.4626316329125,1533.366873538963,200.93744862792843,205.60495172414517,9.583329551858629,33.83435729543496
1506.3994258878954,955057.2360129256,200.30145303933807,126991.12122694032,634,0.3,0.7,1511.4065131518191,1513.8258766040574,198.0250293034517,190.44678928521117,11.576227862945993,16.805317576046505
1508.5420084468913,947364.3813046478,200.4628013230104,125890.63923085052,628,0.3,0.8,1494.064624329279,1518.921119961583,197.84887205102243,191.78642868328924,6.313163692274981,20.626961346143673
1506.1731491128444,942864.3913446406,199.55047799624305,124918.59922564815,626,0.3,0.9,1509.338640733175,1481.6569885177928,199.58730114842146,199.24780928294297,9.347755403593395,18.35842752283572
1507.3215671496882,942075.9794685552,200.1792539957632,125112.033747352,625,0.4,0.4,1521.3294708109452,1529.2477259950003,200.6136855654474,204.19825433486855,21.33829737931779,29.5475009998961
1504.5918652655648,841066.8526834508,200.4258062348541,112038.02568528349,559,0.4,0.5,1504.1149440146812,1501.4756523931903,201.00642666205587,215.23557534856002,4.236231682764491,15.306871208290023
1506.5700761387957,884356.6346934731,199.4498943233949,117077.08796783283,587,0.4,0.6,1505.4153237732257,1510.4785257147043,198.92640779091178,195.3904015750022,5.520718413420372,11.447615419530068
1507.9740433723284,844465.4642885039,200.95080801746352,112532.45248977956,560,0.4,0.7,1507.0695228170166,1495.6486617914575,201.5017667051724,199.39645197139666,7.227271691107424,4.392996065096472
1505.8859013794568,816190.1585476656,200.59194915927125,108720.83644432502,542,0.4,0.8,1501.1834111782432,1497.3020794681809,201.6691256400312,206.99760811283886,2.046079768484252,7.499686293231171
1500.9790652971033,770002.2604974139,199.2399210277355,102210.07948722831,513,0.4,0.9,1497.6088282178844,1504.7983546179798,201.11994761960304,207.54061131719695,2.6404516966308194,8.937842361382703
1503.9907273587178,751995.3636793589,200.96670225032585,100483.35112516292,500,0.5,0.5,1495.7257556447373,1545.3812530856737,200.3186778797655,214.41699285992416,4.286107838067857,47.61625578254842
1496.2217768957096,773546.6586550819,199.97050449704813,103384.75082497387,517,0.5,0.6,1495.4259504350864,1503.86797630101,198.64623961368656,199.75115314609542,4.770177837967652,3.875972835543773
1501.9027583939742,701388.5881699859,200.0286265646262,93413.36860568044,467,0.5,0.7,1491.1032286563172,1428.567044835073,198.8925265712045,200.46209684924187,8.965435724897187,71.43444979204754
1507.5740797898898,744741.5954162056,199.25862759900048,98433.76203390624,494,0.5,0.8,1519.824345298211,1518.4451386652186,196.12409046498226,202.35141248721092,20.199686661588174,18.594415319233686
1505.975692958165,683712.9646030068,198.8459983948884,90276.08327127932,454,0.5,0.9,1511.080499214122,1459.7387041264576,196.90549754008774,198.45014473964554,11.504495134883665,40.29111560561423
1500.6365091820169,603255.8766911707,200.4373238975066,80575.80420679765,402,0.6,0.6,1504.1003811753028,1442.7889374383976,198.01988250769773,203.1092524613709,4.553459241730292,57.29548961564184
1510.9612140020915,610428.330456845,199.7449557009251,80696.96210317373,404,0.6,0.7,1483.724777281828,1534.6764862281607,200.6105348375926,196.19263664730227,16.286670234090725,34.88487799650851
1497.9196124218813,551234.4173712523,200.88445519444787,73925.47951155681,368,0.6,0.8,1490.1635673250005,1532.0920621589291,198.41108634654051,211.55464286978105,9.963937693901347,34.10879982439654
1499.2294274136805,563710.2647075439,200.90278159007693,75539.44587786893,376,0.6,0.9,1497.8540048885418,1505.0903198189537,196.9133349779532,187.0767893472284,3.759361112839469,13.889590686378853
1500.6767376477912,439698.2841308029,198.7197150378422,58224.87650608777,293,0.7,0.7,1473.5077628278186,1499.1207779794088,197.04533030129608,210.45597584502548,26.65649458228797,10.492876737732544
1505.3493083202766,436551.2994128802,199.90693592740087,57973.01141894628,290,0.7,0.8,1504.3038212498038,1552.2333986712206,197.89476479918383,188.69522277995824,4.791126443856237,53.442735004315075
1500.790062578909,424723.5877098313,201.14860270630777,56925.0545658851,283,0.7,0.9,1508.2769861744414,1551.8119407109941,202.73369448811295,240.03775513148554,8.716741689773364,65.47899690899645
1515.6651206212791,283429.3775561792,201.08186543917,37602.30883712478,187,0.8,0.8,1519.468571708797,1246.9787946399608,205.4368313082892,234.0601303353057,20.213471227262456,255.30339371090454
1499.2366664262258,298348.09661881893,198.5915444279119,39519.71734115447,199,0.8,0.9,1515.5499661301744,1525.7154749711187,201.3013738408904,201.8663346171265,15.604326980787272,25.783111873730817
1514.182442427539,140818.96714576113,202.2610124960584,18810.274162133424,93,0.9,0.9,1440.86255557167,1512.7915549261866,205.1309261323203,240.22468320034645,59.35961368210826,42.209584409205945
1502.834113142519,1351047.8677151247,199.91857694854207,179726.80067673937,899,0.1,0.1,1499.7641123301628,1505.756095047748,200.42732863350903,201.30183874135923,0.4881114153530198,5.901475604220742
1505.2054445115896,1365221.3381720118,199.99578108234388,181396.1734416859,907,0.1,0.2,1511.8158076284726,1527.3851672805895,200.55073649447192,205.0532718788427,11.828635618676179,27.847494387599244
1502.2650563704658,1340020.4302824554,199.97517735873552,178377.85820399207,892,0.1,0.3,1512.1476722417779,1484.2283807967924,199.15558846525158,197.34509768569308,12.176985330272695,15.993513641145235
1499.774520004181,1271808.7929635458,200.1253876123495,169706.3286952724,848,0.1,0.4,1495.036461827619,1555.6578463949975,197.4958716131568,202.2520380324632,5.55943973494432,55.703388951021594
1503.7276921606567,1287190.904489522,199.5351725560207,170802.10770795372,856,0.1,0.5,1505.8208241019781,1514.5906547545828,200.4423689192734,204.93270267477627,5.837609398281856,15.401907733952163
1505.58207695737,1263183.3625672334,200.30890688677144,168059.17287800123,839,0.1,0.6,1490.181607105219,1504.7968312220235,200.14938733575175,201.95678553699977,9.819529296884324,5.180598364126536
1504.5361157580512,1224692.3982270537,199.7569583414827,162602.16408996691,814,0.1,0.7,1499.2047132227567,1449.5698955892262,201.05135329362764,201.4162031187543,1.3182658328575882,50.449985749800895
1501.3881975304596,1223631.3809873243,200.5770695132804,163470.31165332353,815,0.1,0.8,1505.0196052816098,1482.9766280798522,201.1274066195809,194.7441203819514,5.14465575806967,17.816269589650258
1501.067024511514,1218866.423903349,200.14475796672647,162517.5434689819,812,0.1,0.9,1510.122429272658,1498.212005039945,199.94495230007746,206.75709954669867,10.122578951494157,6.989658093295915
1500.9214057035508,1245764.7667339472,199.78502719870548,165821.57257492555,830,0.2,0.2,1495.316186819953,1461.9479053109792,199.10456227399425,201.76532840033565,4.768638655500866,38.09302159954284
1505.9097863153486,1227316.475847009,200.67957650293243,163553.85484988993,815,0.2,0.3,1505.6351529477074,1496.810224449419,200.86015427445798,197.46897104538306,5.700422275579578,4.07194985629664
1502.214812632209,1162714.26497733,199.94757222455988,154759.42090180935,774,0.2,0.4,1503.143644174418,1534.6412196468527,199.40732144726218,200.06819160057788,3.1990258770799143,34.64128676472462
1505.291064369179,1156063.5374355293,200.64858150745508,154098.1105977255,768,0.2,0.5,1508.5081478887405,1524.5091420438298,200.69756440712567,206.26996858852075,8.536695882996415,25.298429789725336
1501.738061548216,1090261.832684005,200.46811713371372,145539.8530390762,726,0.2,0.6,1485.552736953151,1470.6367916573654,199.72951117689882,203.7490706526375,14.44979493793152,29.601579939784198
1505.677129633778,1094627.2732437567,200.11974357429315,145487.0535785111,727,0.2,0.7,1503.3941200595061,1511.95727449841,204.92313948981183,211.35112262825336,5.979745263344128,16.48709793602173
1507.6256862616642,1083982.8684221366,200.0863051987804,143862.05343792308,719,0.2,0.8,1517.5796237588772,1519.836888553733,200.94341950504554,196.70828215283487,17.604920103942,20.108146455567855
1502.852449615615,1067025.2392270863,200.46452571178023,142329.81325536396,710,0.2,0.9,1500.648177555823,1511.6445295443955,201.72760203505956,201.58860534589707,1.845194552185362,11.752392745960798
1503.2792989079644,1091380.771007182,200.3956062602372,145487.21014493218,726,0.3,0.3,1501.5127366170202,1489.609205011074,199.7201279374168,199.97408900682595,1.5384084125772062,10.390827295333963
1508.2575008061172,1039189.4180554148,199.2417085154084,137277.53716711636,689,0.3,0.4,1505.9526637598756,1503.732296590642,198.35035107351766,200.6131700457492,6.177017679979586,3.7823293544482994
1502.5947836400976,1035287.8059280273,200.34526684858253,138037.88885867337,689,0.3,0.5,1503.5589518339227,1503.9710136229958,200.71710729625462,204.18066007218636,3.6304794491256263,5.7660096976324295
1507.8365997003611,983109.4630046356,200.58970702986213,130784.48898347012,652,0.3,0.6,1488.4014822000222,1502.1285218738078,201.1125260390819,199.98140745171042,11.65175220059357,2.1286030748193108
1504.1036582216818,970146.8595529848,199.4520714199228,128646.58606585016,645,0.3,0.7,1503.6239135882527,1510.8156402608315,197.59489091908455,203.84035911121293,4.349402187223465,11.47721361458415
1503.2994827171626,962111.668938984,201.4250167412651,128912.01071440964,640,0.3,0.8,1517.8247160082656,1442.9007380490589,198.66964038773898,202.24958690372426,17.87429320206128,57.1435591871875
1495.2220968041984,913580.7011473652,200.5059212863879,122509.117905983,611,0.3,0.9,1499.2945702515913,1476.3020962489836,199.34257765407287,201.02515539614615,0.9642796642387209,23.72006715375578
1504.2063407069018,905532.2171055548,199.467572656635,120079.47873929428,602,0.4,0.4,1503.0433325598376,1524.4009073012226,198.8748792560441,191.05856486437753,3.2446524865149455,25.98756509193196
1506.2072685425223,875106.4230232055,200.1794634936008,116304.26828978202,581,0.4,0.5,1523.3046491098673,1485.9346509909362,202.5210283307242,196.9575112953897,23.44061121170595,14.390649056399516
1507.308900527091,871224.5445046587,200.2778581625689,115760.60201796483,578,0.4,0.6,1505.928381221594,1573.7074476599644,200.32871567863072,207.90599002660113,5.937487507854321,74.13024024544305
1504.6197986146542,823027.0298422158,200.71309419969572,109790.0625272336,547,0.4,0.7,1498.2166301554591,1441.6254859364492,200.9604555515056,198.02823909699862,2.025557421757178,58.40780541344021
1499.7525256459094,821864.3840539583,200.3533391818801,109793.6298716703,548,0.4,0.8,1502.7590326705913,1509.848713991356,204.48625011075245,201.83263110080034,5.266754345288616,10.017769414153546
1504.2150692566945,797233.9867060481,199.8992963909381,105946.6270871972,530,0.4,0.9,1506.8511356257386,1532.858185600127,201.10441020897167,197.14820129444163,6.939580770619043,32.98170882154856
1502.5047794251675,737729.8466977573,199.8312216684477,98117.12983920785,491,0.5,0.5,1509.122449226361,1487.7820168707794,198.19629052184288,194.52232967727645,9.29905628379174,13.389696931236513
1494.824195283137,720505.2621264721,200.58018071190256,96679.64710313705,482,0.5,0.6,1480.6380324722616,1410.687207662615,201.82247349579214,199.78450230203978,19.447549876219952,89.31305231800488
1500.509268122912,696236.3004090311,198.73519038466972,92213.12833848676,464,0.5,0.7,1491.8299922341741,1478.1344688333004,198.34263742046002,195.84546149009012,8.33641875230091,22.256721309128988
1496.4949940867048,703352.6472207513,201.05596815024688,94496.30503061604,470,0.5,0.8,1499.9834112900553,1479.4968146201568,203.70046876336403,194.94932462914673,3.700505945668853,21.11610599570765
1508.9636978960414,671488.8455637384,201.72783416116835,89768.88620171991,445,0.5,0.9,1516.3925931142153,1508.597280172307,201.64417656187214,207.65190655629166,16.474842201818753,11.509339699016659
1506.6053097253823,628254.4141554845,199.1781351789768,83057.28236963329,417,0.6,0.6,1501.2290713574814,1510.8919840897845,197.72489936369178,202.24123508944575,2.5858652917565714,11.120182198969655
1505.454945316238,603687.4330718115,202.1318795856808,81054.883713858,401,0.6,0.7,1511.6143780592347,1513.0156414140354,200.76923132088427,215.71619524678292,11.639823646768091,20.406021524387224
1502.385032252207,578418.2374170998,200.64366663659948,77247.8116550908,385,0.6,0.8,1483.1873373203014,1432.8227513418033,197.9565629584816,200.06952376947297,16.93638867421212,67.17728463431456
1510.2964677032653,540686.135437769,200.31483465212847,71712.71080546202,358,0.6,0.9,1500.77160055566,1561.5465300543622,201.60300913130803,201.78304781499816,1.7790462873549997,61.57235273434884
1500.1758581761385,447052.4057364892,201.5284092390008,60055.46595322224,298,0.7,0.7,1504.9493142342194,1554.4654565267467,205.7909812335919,206.882097119136,7.617819572348798,54.8985356400711
1510.4789171643297,418402.6600545193,200.96580549613503,55667.5281224294,277,0.7,0.8,1486.2183657693101,1585.5467533153194,197.88778671443657,200.7353368122776,13.942556689224295,85.54991363537196
1497.4305573321603,390829.37546369387,200.55861776352944,52345.79923628119,261,0.7,0.9,1468.0203369968206,1417.3501749337147,200.13860428278397,199.602589443476,31.97996336683533,82.65078050834123
1491.7917247838025,301341.9284063281,198.75024654466284,40147.549802021895,202,0.8,0.8,1467.1363818056293,1401.6267862754214,202.8658020540216,189.79634886127138,32.98833463875082,98.90097914107068
1520.5940992163123,261542.18506520573,201.47534362602363,34653.759103676064,172,0.8,0.9,1499.6485285265455,1318.5354265391118,194.0508598186518,204.32282045462787,5.959513494739659,181.51605493185735
1506.7007752890308,153683.47907948116,199.04464128628487,20302.553411201057,102,0.9,0.9,1501.7254653863295,1509.6039707893683,201.77301916276727,189.27037829383752,2.4740306689612854,14.400036002746404
1505.1857213522626,1341120.477724866,200.16336028366104,178345.554012742,891,0.1,0.1,1494.2186194957028,1509.7699424367854,200.52210999375683,205.5717613224901,5.804908214696296,11.247057368614113
1500.9663092561932,1355372.5772583424,200.1512630481249,180736.5905324568,903,0.1,0.2,1499.5054520376705,1533.2377217213264,200.06574993195795,206.9184202404271,0.4988995295615839,33.950120527731286
1501.9694471152725,1326239.021802785,200.0637355502447,176656.27849086607,883,0.1,0.3,1494.1455720994102,1508.69057652698,199.34463341868008,205.67022140020083,5.890995790111852,10.376778454732104
1503.76520553442,1288726.7811429978,200.30026488616065,171657.3270074397,857,0.1,0.4,1511.2507081234107,1506.740343830696,199.83041504774548,199.2439267941028,11.251986150640757,6.7826161360258
1501.6326841739613,1253863.2912852576,200.3925396210843,167327.7705836054,835,0.1,0.5,1505.811139323253,1506.022333223933,199.82322939593735,202.09435709155545,5.813827317758733,6.376113948717919
1503.5608862334743,1290055.2403883212,200.05995195369488,171651.4387762702,858,0.1,0.6,1503.6245092709946,1507.1941157736123,200.9643068240819,197.3317639311414,3.7505939671599835,7.672990647934859
1500.552277748019,1230452.8677533756,200.8413160937687,164689.87919689034,820,0.1,0.7,1494.6119905322123,1468.8576257601803,201.7310345597407,201.66649910739602,5.659251423287935,31.186931438792367
1498.2331084166683,1206077.6522754182,200.44237053104715,161356.10827749295,805,0.1,0.8,1496.5844434372596,1497.0449804694947,199.96724805048996,198.92075432875106,3.4157135892044663,3.145935734336816
1499.8336700207958,1193867.6013365537,200.4157741934109,159530.95625795508,796,0.1,0.9,1494.6445145374507,1456.5211496853701,199.92418114765343,200.92224816058516,5.35602212821677,43.48863031128589
1499.024010352936,1178232.8721374078,199.97114728947324,157177.32176952597,786,0.2,0.2,1500.754648820979,1520.459206186699,200.70835397156796,191.98083145848835,1.0350170008463366,21.974671371536676
1498.0701973033842,1198456.1578427074,200.4534487962498,160362.75903699984,800,0.2,0.3,1504.2738585205436,1502.9189122951989,200.08780251115485,202.41713579924397,4.2747603365087565,3.7898013746171384
1502.9841948356911,1149782.9090493035,199.50188025991963,152618.9383988385,765,0.2,0.4,1502.3561622921122,1452.4571270591525,200.83928889384617,194.7142325492519,2.5011810398499934,47.83580358907912
1504.4360590583085,1156911.3294158392,199.4953992041943,153411.96198802543,769,0.2,0.5,1504.7728879183285,1472.1762989295482,199.2904850670681,199.87972332351643,4.8253363116967645,27.82396103607041
1502.9115025126466,1160247.6799397632,200.9133200131648,155105.0830501632,772,0.2,0.6,1515.6063659017332,1484.4176034000777,201.477633048501,196.89705347569605,15.676162032997814,15.888340408298133
1500.5686071560783,1114922.4751169663,200.6166966762306,149058.20563043933,743,0.2,0.7,1501.975313230838,1507.2930931024011,200.24704051254577,198.69732675887474,1.990701226895402,7.408519728895574
1509.674536128788,1123197.8548798184,200.33967579338068,149052.71879027522,744,0.2,0.8,1510.8483008658245,1490.8457864710729,203.1517699341374,207.3995516743385,11.29687060177204,11.770853423367328
1501.2353147786364,1079388.1913258396,200.12523321448225,143890.0426812127,719,0.2,0.9,1516.1491755154689,1510.2940498531252,201.0349075483862,203.4244226777903,16.18230216820604,10.84869268874327
1500.9540475959086,1071681.1899834787,200.4710086709105,143136.30019103008,714,0.3,0.3,1505.1617259011755,1531.5013546011785,200.43873293868214,201.34671134348054,5.180337910826914,31.530128023080533
1502.750951709633,1011351.390500583,200.72099371117125,135085.22876761825,673,0.3,0.4,1502.9363036957657,1540.015300621948,201.12704195562625,203.98917272639244,3.14517137267733,40.213651698221376
1502.3988893136277,969047.2836072898,200.1203183286489,129077.60532197855,645,0.3,0.5,1487.9293152014816,1502.5450158708577,199.4271574487086,201.26405210185413,12.08426994459134,2.841642746567452
1503.8919064264564,1012119.2530250052,200.16637591450532,134711.9709904621,673,0.3,0.6,1501.0295330060235,1499.8575204109707,199.72699337717202,198.12353352087644,1.0651154052963887,1.8818679232518831
1502.0278527012488,956791.7421706954,200.693636508733,127841.84645606292,637,0.3,0.7,1498.4062633109365,1517.1881249952205,200.6360258916454,199.23882142235928,1.7159619951823806,17.20497119086176
1501.3102495601763,911295.3214830272,199.8885290592814,121332.3371389838,607,0.3,0.8,1509.465547504708,1491.0754925161762,199.6583222402793,195.9816918153982,9.471712266289067,9.787422259985808
1501.850464582139,910121.3815367762,200.67589656965032,121609.59332120809,606,0.3,0.9,1503.8326698559495,1479.8346512302187,199.63957004393873,200.57547226880402,3.8495802339904537,20.173558420345252
1505.324622312298,889646.8517865682,200.12819006078345,118275.760325923,591,0.4,0.4,1514.027745833715,1520.7367502949483,202.56480637516026,200.69784146127955,14.260290492040186,20.748488993180132
1497.9585716922638,841852.7172910522,200.08619531029365,112448.44176438505,562,0.4,0.5,1505.991215924625,1530.2303353746333,199.98104678113845,193.2650773666353,5.991245903815517,30.97147655085589
1505.7147520001172,847717.405376066,199.838082905882,112508.84067601156,563,0.4,0.6,1504.5050493237861,1521.2304147949917,198.01693566062667,197.07240249514467,4.922196012334331,21.431316793837883
1504.1860899381193,866411.1878043567,200.00847708163624,115204.88279902244,576,0.4,0.7,1505.0637576108916,1541.3416554708904,200.85901788943585,202.08679487801717,5.136102888010824,41.39428933967485
1506.115503699725,829869.6425385484,200.94942885923103,110723.1353014363,551,0.4,0.8,1484.151564004998,1523.4378043428217,198.90702134579922,196.2136731768202,15.886079624193519,23.741671028474826
1504.0439578063738,785110.9459749272,200.53238365041955,104677.904265519,522,0.4,0.9,1478.862615551971,1530.4741879022217,201.2369985370001,198.64527450982257,21.173549222657964,30.50428509986185
1504.3378251429444,732612.5208446139,198.2095434382757,96528.04765444023,487,0.5,0.5,1503.422122249965,1555.0944073701012,198.12150773029362,200.6813853820462,3.903799930971393,55.0986207586136
1505.086390896376,743512.6771028098,201.55591365653973,99568.62134633062,494,0.5,0.6,1514.0853878369016,1472.860083500421,201.7274496248843,199.7855038550439,14.1909207848698,27.140764104945863
1504.6354147718134,734262.082408645,199.68206437710788,97444.84741602864,488,0.5,0.7,1502.4391701319537,1561.4966301414015,201.20789148727383,205.08075478494843,2.7218656795741314,61.70615518676487
1505.7717894145037,668562.6745000395,199.90103480199505,88756.05945208578,444,0.5,0.8,1520.0708011341396,1494.575781291767,197.4021818199348,201.00203423991871,20.238224167719306,5.5159968466918
1504.917427899669,687747.2645501487,200.07274345759,91433.24376011862,457,0.5,0.9,1512.9990540663468,1538.746358530078,203.6572465544132,197.03146092903086,13.503735001086762,38.85990894942002
1511.3583056646246,601520.6056545206,199.49593436066385,79399.38187554422,398,0.6,0.6,1528.8007499668856,1595.8422614365127,201.73251539568145,196.9807258408552,28.85281283083741,95.88980703762482
1497.980041356641,563240.4955500971,199.2965687716203,74935.50985812923,376,0.6,0.7,1497.9524883335243,1407.7785416201516,198.23372298968042,196.70219912076487,2.7040781241557,92.28040353371455
1495.581925214298,544391.8207780045,199.8185321235908,72733.94569298704,364,0.6,0.8,1507.7871396862383,1480.4319764029158,195.63900515412791,196.13684046619323,8.925122998520017,19.945715055612496
1496.9432270842628,553868.9940211773,199.4165940891536,73784.1398129868,370,0.6,0.9,1485.463847441922,1417.459986376677,202.0017511416006,191.73183460417394,14.673334277682564,82.95309763927487
1518.517868957178,443407.217735496,201.26605449442755,58769.68791237284,292,0.7,0.7,1518.304750182845,1393.1609633550388,197.89914170970414,206.51003705801338,18.42491478439645,107.03719135758406
1510.74511604769,407901.1813328763,200.63864988977613,54172.43547023956,270,0.7,0.8,1498.46197743549,1414.0359681696527,203.19374477051684,192.36624367999988,3.5447875914002664,86.3023116960496
